Time,TRABUCO,SULPHURCREEK,ELTORO,PALISADES,LAGUNABEACH,DANAPOINT,TUCKER
9/27/2021 20:58,,,,,,,0.01
9/27/2021 22:06,0.01,,,,,,
9/28/2021 3:39,0.01,,,,,,
9/28/2021 4:19,,,,,,,0.01
10/4/2021 14:35,,,,0.01,,,
10/4/2021 14:36,,,,0.01,,,
10/4/2021 15:00,,,,0.01,,,
10/4/2021 15:03,,,,0.01,,,
10/4/2021 15:19,,,,,0.01,,
10/4/2021 19:09,,0.01,,,,,
10/4/2021 19:11,,,,0.01,,,
10/4/2021 19:11,,0.01,,,,,
10/4/2021 19:13,,,0.01,,,,
10/4/2021 19:13,,,0.01,,,,
10/4/2021 19:13,,,0.01,,,,
10/4/2021 19:13,,,0.01,,,,
10/4/2021 19:14,,,0.01,,,,
10/4/2021 19:14,,,0.01,,,,
10/4/2021 19:14,,,0.01,,,,
10/4/2021 19:14,,,0.01,,,,
10/4/2021 19:15,,,0.01,,,,
10/4/2021 19:15,,,0.01,,,,
10/4/2021 19:17,,,0.01,,,,
10/4/2021 19:18,,0.01,,,,,
10/4/2021 19:18,,,,,0.01,,
10/4/2021 19:19,,,,0.01,,,
10/4/2021 19:21,,,,,0.01,,
10/4/2021 19:22,,,,,0.01,,
10/4/2021 19:25,,,0.01,,,,
10/4/2021 19:25,,,,,,,0.01
10/4/2021 19:26,0.01,,,,,,
10/4/2021 19:26,,,,,0.01,,
10/4/2021 19:27,0.01,,,,,,
10/4/2021 19:28,,,,,,,0.01
10/4/2021 19:30,0.01,,,,,,
10/4/2021 19:33,,,,,0.01,,
10/4/2021 19:36,,,0.01,,,,
10/4/2021 20:29,,,,0.01,,,
10/4/2021 20:45,,,0.01,,,,
10/4/2021 20:51,,,,,,,0.01
10/4/2021 21:02,,0.01,,,,,
10/4/2021 21:02,,,,0.01,,,
10/4/2021 21:07,,,,,,0.01,
10/4/2021 21:09,,,,0.01,,,
10/4/2021 21:10,,,,,0.01,,
10/4/2021 21:11,,0.01,,,,,
10/4/2021 21:15,,,,0.01,,,
10/4/2021 21:16,,,,,,0.01,
10/4/2021 21:18,,0.01,,,,,
10/4/2021 21:19,,,,0.01,,,
10/4/2021 21:21,,,,,0.01,,
10/4/2021 21:29,,,,,0.01,,
10/4/2021 21:30,,0.01,,,,,
10/4/2021 21:33,,,0.01,,,,
10/4/2021 21:35,0.01,,,,,,
10/4/2021 21:44,,,,,,0.01,
10/4/2021 21:48,,,,0.01,,,
10/4/2021 21:54,,,0.01,,,,
10/4/2021 22:26,,,,,,0.01,
10/4/2021 22:46,,0.01,,,,,
10/4/2021 22:52,,,,0.01,,,
10/4/2021 22:55,,,,,,0.01,
10/4/2021 23:17,,,,,0.01,,
10/4/2021 23:42,,,,,,,0.01
10/4/2021 23:47,,0.01,,,,,
10/4/2021 23:48,,,,,,0.01,
10/4/2021 23:55,,,,0.01,,,
10/4/2021 23:58,,,,,0.01,,
10/5/2021 0:00,,,0.01,,,,
10/5/2021 0:01,,,,,,0.01,
10/5/2021 0:09,,,,0.01,,,
10/5/2021 0:09,,0.01,,,,,
10/5/2021 0:10,,,,,,0.01,
10/5/2021 0:14,0.01,,,,,,
10/5/2021 0:15,,,,,,0.01,
10/5/2021 0:16,,,,0.01,,,
10/5/2021 0:18,,0.01,,,,,
10/5/2021 0:18,,,,,,0.01,
10/5/2021 0:19,,,,0.01,,,
10/5/2021 0:20,,,,,0.01,,
10/5/2021 0:21,,,,0.01,,,
10/5/2021 0:21,,,,,,0.01,
10/5/2021 0:23,,,,0.01,,,
10/5/2021 0:24,,0.01,,,,0.01,
10/5/2021 0:26,,,,,0.01,,
10/5/2021 0:27,,,,,,0.01,
10/5/2021 0:28,,,,0.01,,,
10/5/2021 0:28,,,,,,0.01,
10/5/2021 0:29,,,,0.01,,,
10/5/2021 0:29,,,,0.01,,,
10/5/2021 0:29,,,,,,,0.01
10/5/2021 0:30,,,,,,0.01,
10/5/2021 0:31,,,,,0.01,,
10/5/2021 0:32,,,,0.01,,,
10/5/2021 0:33,,,,,,0.01,
10/5/2021 0:33,0.01,,,,,,
10/5/2021 0:33,,0.01,,,,,
10/5/2021 0:34,,,,,,0.01,
10/5/2021 0:35,,,,0.01,,,
10/5/2021 0:35,,,,,0.01,,
10/5/2021 0:36,,,,,,,0.01
10/5/2021 0:36,,,,,,0.01,
10/5/2021 0:37,,,,0.01,,,
10/5/2021 0:38,,,0.01,,,,
10/5/2021 0:38,,0.01,,,,,
10/5/2021 0:39,,,,,,0.01,
10/5/2021 0:39,,,,0.01,,,
10/5/2021 0:40,,,,,0.01,,
10/5/2021 0:40,,,,,,,0.01
10/5/2021 0:41,,,,0.01,,,
10/5/2021 0:41,0.01,,,,,,
10/5/2021 0:41,,,,,,0.01,
10/5/2021 0:42,,,0.01,,,,
10/5/2021 0:43,,,,,,,0.01
10/5/2021 0:43,,,,,,0.01,
10/5/2021 0:43,,0.01,,,,,
10/5/2021 0:43,,,,,0.01,,
10/5/2021 0:44,0.01,,,,,,
10/5/2021 0:46,,,,,,,0.01
10/5/2021 0:46,,,0.01,,,,
10/5/2021 0:47,,0.01,,,,0.01,
10/5/2021 0:47,0.01,,,,,,
10/5/2021 0:48,,,,,0.01,,
10/5/2021 0:48,,,,,,0.01,
10/5/2021 0:48,,,,0.01,,,
10/5/2021 0:49,,,,,,,0.01
10/5/2021 0:50,,,,,,0.01,
10/5/2021 0:50,,0.01,,,,,
10/5/2021 0:50,0.01,,,,,,
10/5/2021 0:51,,,0.01,,,,
10/5/2021 0:51,,,,,0.01,,
10/5/2021 0:51,,,,,,0.01,
10/5/2021 0:52,,,,,,,0.01
10/5/2021 0:52,,,,0.01,,,
10/5/2021 0:53,,,,,0.01,,
10/5/2021 0:53,0.01,,,,,,
10/5/2021 0:53,,,,,,0.01,
10/5/2021 0:54,,0.01,,,,,
10/5/2021 0:55,,,,,,,0.01
10/5/2021 0:55,,,0.01,,,,
10/5/2021 0:55,0.01,,,,,,
10/5/2021 0:55,,,,0.01,,,
10/5/2021 0:56,,,,,0.01,,
10/5/2021 0:57,,,,,,0.01,
10/5/2021 0:58,0.01,,,,,,
10/5/2021 0:58,,,,,0.01,,
10/5/2021 0:59,,,,0.01,,,
10/5/2021 1:01,,,0.01,,,,
10/5/2021 1:01,,,,,0.01,,
10/5/2021 1:02,,,,,,,0.01
10/5/2021 1:03,,,,,,0.01,
10/5/2021 1:03,0.01,,,,,,
10/5/2021 1:04,,,,0.01,,,
10/5/2021 1:05,,,,,0.01,,
10/5/2021 1:06,,,,,,0.01,
10/5/2021 1:07,,,,0.01,,,
10/5/2021 1:07,,0.01,,,,,
10/5/2021 1:08,,,0.01,,,,
10/5/2021 1:11,0.01,,,,,,
10/5/2021 1:14,,,,0.01,,,
10/5/2021 1:23,,,,,0.01,,
10/5/2021 1:26,,,,,,,0.01
10/5/2021 1:30,,0.01,,,,,
10/5/2021 1:31,,,,0.01,,,
10/5/2021 1:34,,,,,,0.01,
10/5/2021 1:35,,,,,,,0.01
10/5/2021 1:36,0.01,,,,,,
10/5/2021 1:36,,,,0.01,,,
10/5/2021 1:40,,,,,,0.01,
10/5/2021 1:41,,0.01,,,,,
10/5/2021 1:43,,,,0.01,,,
10/5/2021 1:50,,,,0.01,,,
10/5/2021 1:52,,,0.01,,,,
10/5/2021 1:53,,0.01,,,,,
10/5/2021 1:54,,,,,,,0.01
10/5/2021 1:56,,,,,,0.01,
10/5/2021 2:01,0.01,,,,,,
10/5/2021 2:02,,,,,0.01,,
10/5/2021 2:04,,,,0.01,,,
10/5/2021 2:09,,,0.01,,,,
10/5/2021 2:10,,,,,,,0.01
10/5/2021 2:11,0.01,,,,,,
10/5/2021 2:18,0.01,,,,,,
10/5/2021 2:19,,,,,0.01,,
10/5/2021 2:25,0.01,,,,,,
10/5/2021 2:28,,,,,,,0.01
10/5/2021 2:33,0.01,,,,,,
10/5/2021 2:36,,,0.01,,,,
10/5/2021 6:15,,,,,,,0.01
10/6/2021 0:00,,0,,,,,
10/7/2021 2:16,,,,,,,0.01
10/7/2021 2:25,,,,,,,0.01
10/7/2021 2:28,,,,0.01,,,
10/7/2021 2:29,0.01,,,,,,
10/7/2021 2:33,,0.01,,,,,
10/7/2021 2:47,0.01,,,,,,
10/7/2021 2:47,,,0.01,,,,
10/7/2021 3:03,,0.01,,,,,
10/7/2021 3:03,,,0.01,,,,
10/7/2021 3:27,0.01,,,,,,
10/7/2021 3:45,,,0.01,,,,
10/7/2021 5:29,,,,,,,0.01
10/7/2021 9:52,0.01,,,,,,
10/7/2021 16:00,,,,,,0.01,
10/8/2021 2:59,0.01,,,,,,
10/8/2021 3:00,,,,0.01,,,
10/8/2021 3:07,,,,,,,0.01
10/8/2021 3:19,,0.01,,,,,
10/8/2021 3:20,0.01,,,,,,
10/8/2021 3:31,,0.01,,,,,
10/8/2021 3:33,,,,,0.01,,
10/8/2021 3:37,,,,,,0.01,
10/8/2021 3:37,,,,,0.01,,
10/8/2021 3:42,,,,,0.01,,
10/8/2021 3:42,,0.01,,,,,
10/8/2021 3:42,,,0.01,,,,
10/8/2021 3:43,,,,,,0.01,
10/8/2021 3:46,,,,,0.01,,
10/8/2021 3:47,,,0.01,,,,
10/8/2021 3:49,,,,,0.01,,
10/8/2021 3:51,,,,,,,0.01
10/8/2021 3:51,,0.01,,,,,
10/8/2021 3:51,,,,,0.01,,
10/8/2021 3:52,,,0.01,,,,
10/8/2021 3:52,0.01,,,,,,
10/8/2021 3:55,,,,,,,0.01
10/8/2021 3:55,,,0.01,,,,
10/8/2021 3:56,,,,,0.01,,
10/8/2021 3:56,,0.01,,,,,
10/8/2021 3:57,0.01,,,,,,
10/8/2021 3:58,,,,,,0.01,
10/8/2021 3:58,,,,,,,0.01
10/8/2021 3:59,,,0.01,,,,
10/8/2021 4:00,,0.01,,,,,
10/8/2021 4:00,,,,,0.01,,
10/8/2021 4:01,,,,,,0.01,
10/8/2021 4:01,,,0.01,,,,
10/8/2021 4:01,,,,,,,0.01
10/8/2021 4:01,,,,0.01,,,
10/8/2021 4:02,,,,,,0.01,
10/8/2021 4:02,,,,0.01,,,
10/8/2021 4:03,,,,,0.01,,
10/8/2021 4:03,,,,0.01,,,
10/8/2021 4:04,,,,,,0.01,
10/8/2021 4:04,,0.01,,,,,
10/8/2021 4:04,,,,0.01,,,
10/8/2021 4:05,0.01,,,,,,
10/8/2021 4:05,,,,0.01,,,
10/8/2021 4:06,,,0.01,,0.01,,
10/8/2021 4:06,,,,,,0.01,
10/8/2021 4:06,,,,,,,0.01
10/8/2021 4:07,,,,0.01,,,
10/8/2021 4:08,,,0.01,,,,
10/8/2021 4:09,,,,0.01,,,
10/8/2021 4:09,,0.01,,,,,
10/8/2021 4:10,,,,,,0.01,
10/8/2021 4:10,,,,,,,0.01
10/8/2021 4:11,,,,0.01,,,
10/8/2021 4:11,,,,,0.01,,
10/8/2021 4:15,,,,,,,0.01
10/8/2021 4:15,,,,,0.01,,
10/8/2021 4:17,,,0.01,,,,
10/8/2021 4:17,0.01,,,,,,
10/8/2021 4:17,,0.01,,,,,
10/8/2021 4:19,,,,,0.01,,
10/8/2021 4:20,,,,,,,0.01
10/8/2021 4:21,0.01,,,,,,
10/8/2021 4:22,,,0.01,,,,
10/8/2021 4:22,,,,,,,0.01
10/8/2021 4:23,,,,,0.01,,
10/8/2021 4:24,,,,,,,0.01
10/8/2021 4:25,,,0.01,,,,
10/8/2021 4:25,0.01,,,,,,
10/8/2021 4:26,,,,,,,0.01
10/8/2021 4:29,0.01,,,,,,
10/8/2021 4:29,,,,,0.01,,
10/8/2021 4:29,,,0.01,,,,
10/8/2021 4:31,,,,,,,0.01
10/8/2021 4:32,,,,0.01,,,
10/8/2021 4:35,,,,,,,0.01
10/8/2021 4:36,,,0.01,,,,
10/8/2021 4:40,,0.01,,,,,
10/8/2021 4:45,0.01,,,,,,
10/8/2021 4:52,,,,0.01,,,
10/8/2021 4:53,,,,,,0.01,
10/8/2021 4:54,,,,0.01,,,
10/8/2021 4:54,,,,,,0.01,
10/8/2021 4:55,,,,,,0.01,
10/8/2021 4:56,0.01,,,,,,
10/8/2021 4:56,,,,0.01,,,
10/8/2021 4:56,,,,,,0.01,
10/8/2021 4:57,,,,0.01,,,
10/8/2021 5:00,,,,0.01,,,
10/8/2021 5:01,,,,,0.01,,
10/8/2021 5:05,,0.01,,,,,
10/8/2021 5:05,,,,,,0.01,
10/8/2021 5:06,,0.01,,,,,
10/8/2021 5:07,,,,,0.01,,
10/8/2021 5:08,,0.01,,,,,
10/8/2021 5:10,0.01,,,,,,
10/8/2021 5:10,,,0.01,,,,
10/8/2021 5:11,,0.01,,,,,
10/8/2021 5:11,,,,0.01,,,
10/8/2021 5:13,,,,,,,0.01
10/8/2021 5:14,,,0.01,,,,
10/8/2021 5:14,,0.01,,,,,
10/8/2021 5:15,,,0.01,,,,
10/8/2021 5:15,,,,,,0.01,
10/8/2021 5:16,,,0.01,,,,
10/8/2021 5:17,,,0.01,,,,
10/8/2021 5:17,,,,,,,0.01
10/8/2021 5:18,,0.01,,,,,
10/8/2021 5:20,,,,,,,0.01
10/8/2021 5:21,,,0.01,,,,
10/8/2021 5:21,,,,0.01,,,
10/8/2021 5:21,0.01,,,,,,
10/8/2021 5:23,,,,,,,0.01
10/8/2021 5:24,0.01,,,,,,
10/8/2021 5:24,,0.01,,,,,
10/8/2021 5:26,0.01,,,,,,
10/8/2021 5:27,,,0.01,,,,
10/8/2021 5:29,0.01,,,,,,
10/8/2021 5:32,0.01,,,,,,
10/8/2021 5:37,,,,,0.01,,
10/8/2021 5:39,0.01,,,,,,
10/8/2021 5:40,,0.01,,,,,
10/8/2021 5:48,0.01,,,,,,
10/8/2021 6:12,,0.01,,,,,
10/8/2021 6:14,,,,,,,0.01
10/8/2021 6:22,,,,,,,0.01
10/8/2021 6:24,,,,,,,0.01
10/8/2021 6:25,0.01,,,,,,
10/8/2021 6:29,0.01,,,,,,
10/8/2021 6:37,,,,,,,0.01
10/8/2021 6:39,0.01,,,,,,
10/8/2021 6:42,,,,,,,0.01
10/8/2021 6:49,,,,,,,0.01
10/8/2021 6:50,0.01,,,,,,
10/8/2021 6:52,,,,,,,0.01
10/8/2021 7:01,,,,,0.01,,
10/8/2021 7:02,,,,,,,0.01
10/8/2021 7:05,,,,,0.01,,
10/8/2021 7:07,,,,,,,0.01
10/8/2021 7:08,,,,,0.01,,
10/8/2021 7:09,,,,,,,0.01
10/8/2021 7:12,,,,,0.01,,
10/8/2021 7:14,,,,,0.01,,
10/8/2021 7:16,,,,,,,0.01
10/8/2021 7:21,,,0.01,,,,
10/8/2021 7:22,0.01,,,,,,
10/8/2021 7:36,,,,,,,0.01
10/8/2021 7:40,,,,,,,0.01
10/8/2021 7:40,,,0.01,,,,
10/8/2021 7:46,,,,,,,0.01
10/8/2021 7:48,,,0.01,,,,
10/8/2021 7:48,,,0.01,,,,
10/8/2021 7:49,,,0.01,,,,
10/8/2021 7:52,,0.01,,,,,
10/8/2021 7:52,,,0.01,,,,
10/8/2021 8:02,,,0.01,,,,
10/8/2021 8:06,,,,,0.01,,
10/8/2021 8:17,,,,,0.01,,
10/8/2021 8:17,,,,,,,0.01
10/8/2021 8:22,,,,,,,0.01
10/8/2021 8:23,,0.01,,,,,
10/8/2021 8:30,,,,,,,0.01
10/8/2021 8:33,,,0.01,,,,
10/8/2021 8:38,,0.01,,,,,
10/8/2021 8:43,,0.01,,,,,
10/8/2021 8:52,,,0.01,,,,
10/8/2021 8:58,,0.01,,,,,
10/8/2021 8:59,,,0.01,,,,
10/8/2021 9:14,,,0.01,,,,
10/8/2021 9:23,,,,,,,0.01
10/8/2021 9:47,,,,,,,0.01
10/8/2021 9:56,,,,,,,0.01
10/8/2021 10:00,,,,,,,0.01
10/18/2021 7:36,0.01,,,,,,
10/18/2021 16:39,,,,,,0.02,
10/18/2021 16:39,,,,,,0.02,
10/23/2021 2:29,,,,,0.01,,
10/23/2021 3:09,,,,,0.01,,
10/23/2021 3:27,,,,0.01,,,
10/23/2021 5:09,,0.01,,,,,
10/23/2021 5:11,,,,0.01,,,
10/23/2021 5:27,,,0.01,,,,
10/23/2021 5:32,,0.01,,,,,
10/23/2021 5:46,,,0.01,,,,
10/23/2021 7:40,,,,,,,0.01
10/23/2021 7:51,,,,,,,0.01
10/23/2021 7:59,,,,0.01,,,
10/23/2021 8:04,,,,,,0.01,
10/23/2021 8:06,,,,,,,0.01
10/23/2021 8:19,,,,,,,0.01
10/23/2021 8:30,,,,,0.01,,
10/23/2021 8:30,,,,,,,0.01
10/23/2021 8:43,,,,,,,0.01
10/23/2021 8:47,,,,,0.01,,
10/23/2021 9:15,,,,,,,0.01
10/23/2021 9:19,0.01,,,,,,
10/23/2021 9:27,,,,,,,0.01
10/23/2021 9:38,,,,,,,0.01
10/25/2021 9:09,,,,,,,0.01
10/25/2021 9:21,,,,,,,0.01
10/25/2021 9:28,0.01,,,,,,
10/25/2021 9:31,,,,,,,0.01
10/25/2021 9:47,0.01,,,,,,
10/25/2021 9:51,,,,,,,0.01
10/25/2021 10:05,0.01,,,,,,
10/25/2021 10:33,,,,,,,0.01
10/25/2021 11:05,,,,,,,0.01
10/25/2021 11:13,0.01,,,,,,
10/25/2021 11:29,0.01,,,,,,
10/25/2021 11:29,,,,,,,0.01
10/25/2021 11:54,,0.01,,,,,
10/25/2021 12:11,,,,,,,0.01
10/25/2021 12:20,0.01,,,,,,
10/25/2021 12:20,,,,,,,0.01
10/25/2021 12:23,,0.01,,,,,
10/25/2021 12:26,,,,,,,0.01
10/25/2021 12:32,,,,,,,0.01
10/25/2021 12:33,0.01,,,,,,
10/25/2021 12:35,,,0.01,,,,
10/25/2021 12:38,,,,,,,0.01
10/25/2021 12:40,,,,,,,0.01
10/25/2021 12:41,,,0.01,,,,
10/25/2021 12:42,,,,,,,0.01
10/25/2021 12:43,0.01,,,,,,
10/25/2021 12:45,,,,,,,0.01
10/25/2021 12:46,,0.01,,,,,
10/25/2021 12:46,,,0.01,,,,
10/25/2021 12:47,,,,,,,0.01
10/25/2021 12:47,,,,0.01,,,
10/25/2021 12:48,,,,,,,0.01
10/25/2021 12:51,,,,,,,0.01
10/25/2021 12:52,,,0.01,,,,
10/25/2021 12:54,0.01,,,,,,
10/25/2021 12:54,,,0.01,,,,
10/25/2021 12:55,,,,,,,0.01
10/25/2021 12:57,,,0.01,,,,
10/25/2021 12:57,0.01,,,,,,
10/25/2021 12:58,,,,,,,0.01
10/25/2021 12:58,,,,,0.01,,
10/25/2021 12:59,,0.01,,,,,
10/25/2021 12:59,,,,0.01,,,
10/25/2021 12:59,0.01,,,,,,
10/25/2021 13:00,,,,,,,0.01
10/25/2021 13:01,,,0.01,,,,
10/25/2021 13:03,,,,,,,0.01
10/25/2021 13:03,,0.01,,,,,
10/25/2021 13:05,0.01,,,,,,
10/25/2021 13:06,,,,,,0.01,
10/25/2021 13:06,,0.01,,,,,
10/25/2021 13:08,0.01,,,,,,
10/25/2021 13:08,,,,,,0.01,
10/25/2021 13:08,,,0.01,,,,
10/25/2021 13:08,,,,,,,0.01
10/25/2021 13:09,,0.01,,,,,
10/25/2021 13:10,,,,0.01,,,
10/25/2021 13:10,0.01,,,,,,
10/25/2021 13:13,0.01,,,,,,
10/25/2021 13:14,,,0.01,,,,
10/25/2021 13:15,,,,,,,0.01
10/25/2021 13:15,,0.01,,,,,
10/25/2021 13:15,,,,,0.01,,
10/25/2021 13:17,,,0.01,,,,
10/25/2021 13:18,,,,,,,0.01
10/25/2021 13:18,,,,,,0.01,
10/25/2021 13:19,0.01,,,,,,
10/25/2021 13:19,,,0.01,,,,
10/25/2021 13:20,,,,,,,0.01
10/25/2021 13:21,,0.01,,,,,
10/25/2021 13:22,,,,,,,0.01
10/25/2021 13:22,,,0.01,,,,
10/25/2021 13:23,,,,,0.01,,
10/25/2021 13:25,,0.01,,,,,
