Jurisdiction,FacilityID,ObsRecordDate,FlowCondition,PersistentFlow,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,OCFSLocation,MaintenanceIssue,FlowConnectivity,PointY,PointX
Laguna Beach,I01-11015-3,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.54793033,-117.7815464
Laguna Beach,I01-11015-3,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.54793033,-117.7815464
Laguna Beach,I01-11023-1,6/21/2022,Pooled or Ponded,Yes,Priority,43,,,,Below Average Discharge,Not present,Not present,Rust and cracks in outfall; outfall wet; insufficient flow for sampling,Moderate (11-50 Items),Within area surrounding outfall,Yes,,Other - See Comments,Direct Connection,33.54963669,-117.7803262
Laguna Beach,I01-11023-1,9/1/2022,Pooled or Ponded,Yes,Priority,43,,,,Below Average Discharge,Clear,Not present,Rusting deteriorating pipe outlining the outfall. Vines are overgrown.,Not Present (0 Items),,Yes,,Other - See Comments,,33.54963669,-117.7803262
Laguna Beach,I01-11023-1,9/7/2022,Flowing,Yes,Priority,43,,,,Below Average Discharge,Not present,Not present,Insufficient flow for sampling,Not Present (0 Items),,Yes,,,Direct Connection,33.54963669,-117.7803262
Laguna Beach,I01-11023-2,7/21/2022,Dry,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.55023025,-117.7795866
Laguna Beach,I01-11023-2,9/1/2022,Dry,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.55023025,-117.7795866
Laguna Beach,I01-11023-3,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,Sediment,None - Flow Infiltrates or Outfall is Dry,33.55073178,-117.7789163
Laguna Beach,I01-11023-3,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,Rocks and sediment inside outfall,Not Present (0 Items),,,,Sediment,None - Flow Infiltrates or Outfall is Dry,33.55073178,-117.7789163
Laguna Beach,I01-11023-4,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Abundant (>50 Items),In flow path of outfall,,,Sediment,None - Flow Infiltrates or Outfall is Dry,33.55119472,-117.7782698
Laguna Beach,I01-11023-4,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.55119472,-117.7782698
Laguna Beach,I01-11023-5,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.55124303,-117.7782669
Laguna Beach,I01-11023-5,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.55124303,-117.7782669
Laguna Beach,I01-11059-1,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.55357149,-117.7755089
Laguna Beach,I01-11059-1,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,Dampened water mark,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.55357149,-117.7755089
Laguna Beach,I01-11059-2,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.5535769,-117.7754408
Laguna Beach,I01-11059-2,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.5535769,-117.7754408
Laguna Beach,I01-11059-3,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,Sediment,None - Flow Infiltrates or Outfall is Dry,33.55369586,-117.7753481
Laguna Beach,I01-11059-3,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.55369586,-117.7753481
Laguna Beach,I01-11065-1,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.55771802,-117.7731408
Laguna Beach,I01-11065-1,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.55771802,-117.7731408
Laguna Beach,I01-11077-1,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.56321823,-117.7679944
Laguna Beach,I01-11077-1,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.56321823,-117.7679944
Laguna Beach,I01-11077-2,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,Rats,Moderate (11-50 Items),Within area surrounding outfall,,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.56314232,-117.7678685
Laguna Beach,I01-11077-2,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.56314232,-117.7678685
Laguna Beach,I01-11093-1,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.5586741,-117.7725813
Laguna Beach,I01-11093-1,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.5586741,-117.7725813
Laguna Beach,I01-11093-2,7/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.56267164,-117.7697325
Laguna Beach,I01-11093-2,9/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.56267164,-117.7697325
Aliso Viejo,I01-11216-1 (I02P13),6/28/2022,Pooled or Ponded,Yes,Not A Priority,,,,,,Not present,Not present,,,,,,,Undetermined,33.59874987,-117.7472414
Aliso Viejo,I01-11216-1 (I02P13),9/14/2022,Pooled or Ponded,Yes,Not A Priority,,,,,,Not present,"Brown ""tea"" tint",,Moderate (11-50 Items),Within area surrounding outfall,,,Overgrown,Undetermined,33.59874987,-117.7472414
Aliso Viejo,I01-11216-2 (I02P12),6/28/2022,Pooled or Ponded,Yes,Not A Priority,,,,,,Not present,"Brown ""tea"" tint",,,,,,,,33.59875002,-117.7472017
Aliso Viejo,I01-11216-2 (I02P12),9/14/2022,Pooled or Ponded,Yes,Not A Priority,,,,,,Not present,Not present,,Moderate (11-50 Items),Within area surrounding outfall,,,,Undetermined,33.59875002,-117.7472017
Aliso Viejo,I01-11216-3,6/28/2022,Pooled or Ponded,Yes,Not A Priority,,,,,,Not present,Not present,,,,,,,Undetermined,33.59871601,-117.7470641
Aliso Viejo,I01-11216-3,9/14/2022,Pooled or Ponded,Yes,Not A Priority,,,,,,Not present,"Brown ""tea"" tint",,Moderate (11-50 Items),Within area surrounding outfall,,,Overgrown,Undetermined,33.59871601,-117.7470641
Aliso Viejo,I01-11216-4 (I02P14),6/28/2022,Pooled or Ponded,Yes,Not A Priority,,,,,,Not present,Not present,,,,,,,Undetermined,33.59823241,-117.7462112
Aliso Viejo,I01-11216-4 (I02P14),9/14/2022,Pooled or Ponded,Yes,Not A Priority,,,,,,Not present,Green tint,Wet water mark; plastic bottles floating in dissipator,Sparse (<10 Items),In flow path of outfall,,,,Undetermined,33.59823241,-117.7462112
Aliso Viejo,I01-11217-1,6/28/2022,Dry,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,,,,,,None - Flow Infiltrates or Outfall is Dry,33.59737837,-117.7462887
Aliso Viejo,I01-11217-1,9/14/2022,Pooled or Ponded,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,"Brown ""tea"" tint",,Sparse (<10 Items),In flow path of outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.59737837,-117.7462887
Laguna Woods,I01-11343-1,3/21/2022,,Yes,Not A Priority,,,,,Equal,Not present,Not present,inaccessible,,,Yes,,,,33.61120531,-117.7552383
Laguna Woods,I01-11343-1,6/14/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Equal,Not present,"Brown ""tea"" tint",Leaf litter,Not Present (0 Items),,Yes,,Overgrown,None - Flow Infiltrates or Outfall is Dry,33.61120531,-117.7552383
Laguna Woods,I01-11343-1,8/23/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Equal,Not present,"Brown ""tea"" tint",,,,Yes,,Overgrown,Undetermined,33.61120531,-117.7552383
Laguna Woods,I01-11343-2 (I02P18),3/21/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",,Not Present (0 Items),,Yes,,None,Partial - Significant Distance,33.61211013,-117.7539721
Laguna Woods,I01-11343-2 (I02P18),6/14/2022,Flowing,Yes,Not A Priority,,2417.4,0.003794,,Below Average Discharge,Not present,Yellow tint,"Snails, birds nest",Not Present (0 Items),,Yes,,None,Undetermined,33.61211013,-117.7539721
Laguna Woods,I01-11343-2 (I02P18),8/23/2022,Flowing,Yes,Not A Priority,,,,0,Below Average Discharge,,,volumetric is 0.0004 cfs,,,Yes,,,,33.61211013,-117.7539721
Laguna Woods,I01-11343-2 (I02P18),8/23/2022,Flowing,Yes,Not A Priority,,4573,0.0016,,Below Average Discharge,Not present,Surface scum,Black deposits on outfall. Rust colored water.  Bubbles in dissipator.  Wet water mark.  Snails.  Bird nest.,Not Present (0 Items),,Yes,,None,Undetermined,33.61211013,-117.7539721
Laguna Beach,I01-11487-1,7/5/2022,Pooled or Ponded,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),,,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.54221573,-117.7852577
Laguna Beach,I01-11487-1,8/16/2022,Pooled or Ponded,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Moderate (11-50 Items),Within area surrounding outfall,,,,Partial - Significant Distance,33.54221573,-117.7852577
Laguna Beach,I01-11487-2,7/5/2022,Pooled or Ponded,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,,Partial - Significant Distance,33.54099301,-117.7835203
Laguna Beach,I01-11487-2,8/16/2022,Pooled or Ponded,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,Partial - Significant Distance,33.54099301,-117.7835203
Aliso Viejo,I01-11503-3,6/28/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.5934822,-117.7493187
Aliso Viejo,I01-11503-3,9/14/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,Sediment,Partial - Significant Distance,33.5934822,-117.7493187
Aliso Viejo,I01-11503-5,6/28/2022,Pooled or Ponded,Unknown,,,,,,,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.59354235,-117.7495222
Aliso Viejo,I01-11503-5,9/14/2022,Pooled or Ponded,Unknown,,,,,,,Not present,Not present,2/3 buried,Moderate (11-50 Items),Within area surrounding outfall,,,Sediment,Direct Connection,33.59354235,-117.7495222
Lake Forest,J01-10004-1 (J01P01),6/21/2022,Flowing,Yes,Priority,85,,0.125,,Below Average Discharge,,,,,,Yes,,,,33.63341124,-117.6769005
Lake Forest,J01-10004-1 (J01P01),6/21/2022,Flowing,Yes,Priority,85,2142,0.133333,,Below Average Discharge,Green tint,Not present,Small fish in scour pond.  Turb 5.29 NTU,Moderate (11-50 Items),In flow path of outfall,Yes,,None,Direct Connection,33.63341124,-117.6769005
Lake Forest,J01-10004-1 (J01P01),6/30/2022,Flowing,Yes,Priority,85,,0.12,0.026,Below Average Discharge,,,SWN meter inspected,,,Yes,,,,33.63341124,-117.6769005
Lake Forest,J01-10004-1 (J01P01),6/30/2022,Flowing,Yes,Priority,85,,0.1449,,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",1500ml/2s,Abundant (>50 Items),In flow path of outfall,Yes,,None,Direct Connection,33.63341124,-117.6769005
Lake Forest,J01-10004-1 (J01P01),8/18/2022,Pooled or Ponded,Yes,Priority,85,2076.7,0.113333,,Below Average Discharge,Not present,Not present,Took flow measurement at pressure transducer. Yellow tinted water,Moderate (11-50 Items),In flow path of outfall,Yes,,None,Direct Connection,33.63341124,-117.6769005
Lake Forest,J01-10004-2,6/21/2022,Pooled or Ponded,Yes,Not A Priority,,,,,20% Or More Above Average Discharge,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,,Partial - Significant Distance,33.63406841,-117.6746996
Lake Forest,J01-10004-2,8/18/2022,Pooled or Ponded,Yes,Not A Priority,,,,,20% Or More Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,None,Partial - Significant Distance,33.63406841,-117.6746996
Lake Forest,J01-10006-1,6/21/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.62836754,-117.6836706
Lake Forest,J01-10006-1,8/9/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Equal,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,,Direct Connection,33.62836754,-117.6836706
Aliso Viejo,J01-10017-1 (J01TBN4),6/28/2022,Flowing,Yes,Priority,43,,0,0.004,Below Average Discharge,,,,,,,,,,33.57090835,-117.7170737
Aliso Viejo,J01-10017-1 (J01TBN4),6/28/2022,Flowing,Yes,Priority,43,,0.01,,Below Average Discharge,Not present,Not present,500 mL per five sec,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.57090835,-117.7170737
Aliso Viejo,J01-10017-1 (J01TBN4),7/13/2022,Flowing,Yes,Priority,43,,0.009,0.002,Below Average Discharge,,,SWN meter inspected,,,,,,,33.57090835,-117.7170737
Aliso Viejo,J01-10017-1 (J01TBN4),7/13/2022,Flowing,Yes,Priority,43,,0.009109,,Below Average Discharge,"Brown ""tea"" tint",Not present,L/R: 0.01? 400ml/5.8s,Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.57090835,-117.7170737
Aliso Viejo,J01-10019-1 (J01P33),7/13/2022,Flowing,Yes,Priority,27,,0.002795,,20% Or More Above Average Discharge,"Brown ""tea"" tint",Not present,50ml in 5s. Same depth throughout,Not Present (0 Items),,,,Overgrown,Direct Connection,33.56456651,-117.7184508
Aliso Viejo,J01-10019-1 (J01P33),7/13/2022,Flowing,Yes,Priority,27,,0.003,0,20% Or More Above Average Discharge,,,SWN meter inspected,,,,,,,33.56456651,-117.7184508
Aliso Viejo,J01-10019-1 (J01P33),9/14/2022,Flowing,Yes,Priority,27,2130,0.0096,,20% Or More Above Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,Overgrown,Undetermined,33.56456651,-117.7184508
Laguna Niguel,J01-10041-2 (J03P13),6/28/2022,Pooled or Ponded,Yes,Priority,53,,,,20% Or More Above Average Discharge,Not present,Not present,,,,,,,Partial - Significant Distance,33.55263878,-117.7088295
Laguna Niguel,J01-9005-1 (J03P05),7/8/2022,Flowing,Yes,Priority,57,,0.019971,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,Yes,,Direct Connection,33.53991146,-117.7041702
Laguna Niguel,J01-9005-1 (J03P05),7/8/2022,Flowing,Yes,Priority,57,,0.022,0.167,Below Average Discharge,,,SWN meter inspected,,,,Yes,,,33.53991146,-117.7041702
Laguna Niguel,J01-9005-3,7/8/2022,Flowing,Yes,Priority,52,,,,20% Or More Above Average Discharge,,,SWN meter inspected,,,,,,,33.5461744,-117.7030442
Laguna Niguel,J01-9005-3,7/8/2022,Flowing,Yes,Priority,52,,,,20% Or More Above Average Discharge,Not present,Not present,No flow at surface (leaf test doesn?t work),Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.5461744,-117.7030442
Aliso Viejo,J01-9007-1 (J02P05),6/23/2022,Flowing,Yes,Priority,49,,0.06,0.025,Below Average Discharge,,,,,,Yes,Yes,,,33.55864514,-117.7378266
Aliso Viejo,J01-9007-1 (J02P05),6/23/2022,Flowing,Yes,Priority,49,1577,0.054,,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,None,Undetermined,33.55864514,-117.7378266
Aliso Viejo,J01-9007-1 (J02P05),7/13/2022,Flowing,Yes,Priority,49,,0.07,,Below Average Discharge,Not present,Not present,A lot of sediment in apron of flow path.,Abundant (>50 Items),In flow path of outfall,Yes,Yes,Sediment,Unsafe to Access,33.55864514,-117.7378266
Aliso Viejo,J01-9007-1 (J02P05),7/13/2022,Flowing,Yes,Priority,49,,0.07,0.022,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.55864514,-117.7378266
Aliso Viejo,J01-9007-1 (J02P05),9/8/2022,Flowing,Yes,Priority,49,,,0.053,Below Average Discharge,,,,,,Yes,Yes,,,33.55864514,-117.7378266
Aliso Viejo,J01-9007-1 (J02P05),9/8/2022,Flowing,Yes,Priority,49,1929,0.079481,,Below Average Discharge,Not present,Clear,Foamy water coming out of outfall.,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,None,Undetermined,33.55864514,-117.7378266
Aliso Viejo,J01-9008-1 (J01P30),6/28/2022,Flowing,Yes,Priority,62,,,0.007,Below Average Discharge,,,,,,,Yes,,,33.57677172,-117.7133093
Aliso Viejo,J01-9008-1 (J01P30),6/28/2022,Flowing,Yes,Priority,62,,0.070588,,Below Average Discharge,Not present,Not present,1000 mL per five sec,Sparse (<10 Items),In flow path of outfall,,Yes,,Direct Connection,33.57677172,-117.7133093
Aliso Viejo,J01-9008-1 (J01P30),7/1/2022,Flowing,Yes,Priority,62,,0.008506,,Below Average Discharge,Not present,Not present,Sediment accumulation.,Moderate (11-50 Items),In flow path of outfall,,Yes,Graffiti,Direct Connection,33.57677172,-117.7133093
Aliso Viejo,J01-9008-1 (J01P30),7/1/2022,Flowing,Yes,Priority,62,,0.171,0.013,Below Average Discharge,,,,,,,Yes,,,33.57677172,-117.7133093
Lake Forest,J01-9031-1,6/21/2022,Pooled or Ponded,Unknown,Priority,50,,,,20% Or More Above Average Discharge,Not present,Clear,,Abundant (>50 Items),In flow path of outfall,Yes,,Clogged,Partial - Significant Distance,33.67284809,-117.6388505
Lake Forest,J01-9031-1,8/18/2022,Other - See Comments,Unknown,Priority,50,,,,20% Or More Above Average Discharge,Not present,Not present,Deep ponding in dissipator. Ponding back into outfall. Flow coming out of seam of pipe near front of outfall,Sparse (<10 Items),In flow path of outfall,Yes,,None,Partial - Significant Distance,33.67284809,-117.6388505
Lake Forest,J01-9040-1,4/7/2022,Flowing,Yes,Not A Priority,,2390,0.48125,,Below Average Discharge,Green tint,Green tint,CHWSRS sampling.  Receiving water flowing into scour pond and ponded dissipator. Murky water at outfall and dissipator.  Sample collected at outfall.  Dried veg coming out of outfall.  Turb is 11.1 NTU.  Water runoff along curb going into manhole.,Sparse (<10 Items),In flow path of outfall,,,Clogged,Direct Connection,33.678031,-117.623537
Lake Forest,J01-9040-1,4/14/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",No visible surface velocity at pipe. Sound of flowing water back in pipe,Sparse (<10 Items),Within area surrounding outfall,,,Clogged,Direct Connection,33.678031,-117.623537
Lake Forest,J01-9040-1,4/21/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Below Average Discharge,Clear,"Brown ""tea"" tint",Mixing - back flow from dissipator (impacted by receiving water mixing),Sparse (<10 Items),Within area surrounding outfall,,,Clogged,Direct Connection,33.678031,-117.623537
Lake Forest,J01-9040-1,5/12/2022,Flowing,Yes,Not A Priority,,,0.867895,,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",Heavy sediment buildup,Sparse (<10 Items),Within area surrounding outfall,,,Sediment,Direct Connection,33.678031,-117.623537
Lake Forest,J01-9040-1,5/19/2022,Pooled or Ponded,Yes,Not A Priority,,1935,,,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",Vegetation and sand removal recommended,Sparse (<10 Items),Within area surrounding outfall,,,Sediment,None - Flow Infiltrates or Outfall is Dry,33.678031,-117.623537
Lake Forest,J01-9046-1,6/21/2022,Pooled or Ponded,Unknown,Not A Priority,,,,,20% Or More Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,None,Direct Connection,33.65453345,-117.6597977
Lake Forest,J01-9046-1,6/30/2022,Dry,Unknown,Not A Priority,,,,,20% Or More Above Average Discharge,,,SWN meter inspected,,,,,,,33.65453345,-117.6597977
Lake Forest,J01-9046-1,6/30/2022,Dry,Unknown,Not A Priority,,,,,20% Or More Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.65453345,-117.6597977
