OBJECTID,Location Description,Size 1,Last Update Date,Last Editor,Size 2,Size 3,CatchID,DrainID,Inspection Status,Facility Type,Jurisdiction,Watershed Management Area,GlobalID,PRIORITY,Flow Monitoring Status,Flow Monitoring Deploy Date,Flow Monitoring Return Date,Next Inspection Date,POINT_X,POINT_Y,Persistent Flow,Facility Identifier,Survey Link,Outfall Capture Feasibility Study,Dry Weather Samples,Accessibility,Flow Measurement Count,Last Discharge Observation,Last Discharge Measurement Trend,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,OBJECTID2,Facility ID,Collection Staff,Inspection Date,Accessibility3,Flow Condition,Flow Velocity (Sec. / 6 Feet),Flow Width,Flow Depth,Biological Condition,Vegetative Condition,Trash Condition,Structural Condition,IDIC,Maintenance Issues,COMMENTS,LASTEDITOR,LASTUPDATE,Media Link,Visit Number,Connectivity to RW,Upstream RW Condition,Downstream RW Condition,Relative Contribution to RW Flow,GlobalID4,swDischargePointGUID,Conductivity,Algae Condition,Trash Location,OBSWEATHER,RW Vegetative Condition,RW Algae Conditions,Scour Pond Water Condition,Dissipator Water Condition
17459,Strand Beach,54,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,,,,,-117.716091,33.466503,Unknown,DP01-12022-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={F1A20556-9AFE-4BFC-A5BD-765B4F16802D}&field:Station=DP01-12022-2,No,No,Difficult accessibility,,,,,,,,,,143306,,GivenS,8/28/2020 18:24,,Flowing,,,,Sparse,Not Present,Sparse (<10 Items),Good,,,Driftwood kelp feathers in ponded water.  Animal prints in moist sand.  Wet water mark inside pipe,OCPWPublisher,8/28/2020 18:32,,,Partial - Significant Distance,,,,{7D9EEDB7-29A5-4907-A7A4-D2F430C6E81D},{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,No Macroalgae,In flow path of outfall,Dry,Not Present,No Macroalgae,Not present,Not present
17459,Strand Beach,54,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,,,,,-117.716091,33.466503,Unknown,DP01-12022-2,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={F1A20556-9AFE-4BFC-A5BD-765B4F16802D}&field:Station=DP01-12022-2,No,No,Difficult accessibility,,,,,,,,,,169724,,CamilleA,6/28/2021 15:28,,Pooled or Ponded,,,,Sparse,Moderate,Sparse (<10 Items),Good,None,None,Can hear water flowing but not coming out grate. Minor ponding at gate all within riprap.,OCPWPublisher,6/28/2021 15:31,,,None - Flow Infiltrates or Outfall is Dry,,,,{20A8D556-22FB-4AB5-B332-FE91DC6691FE},{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},,No Macroalgae,Within area surrounding outfall,Dry,,,Clear,Clear
21178,Strand Beach,30,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{9B0581A6-42F8-4549-B81D-1FC9903C3D97},,,,,,-117.7177823,33.46902742,Unknown,DP01-12022-3,,,,Easily accessible,1,0.024,,0.8,0.03,6,0.024,0.024,0.024,130472,,CamilleA,6/22/2020 18:15,,Flowing,6,0.8,0.03,Sparse,Not Present,Not Present (0 Items),Good,None,None,,OCENVRESUSER,9/30/2020 20:16,,,None - Flow Infiltrates or Outfall is Dry,Flowing,Flowing,,{7FE142FB-B55F-409D-A940-5B30CCC93FA5},{9B0581A6-42F8-4549-B81D-1FC9903C3D97},2941,No Macroalgae,,Dry,,No Macroalgae,Clear,Not present
21178,Strand Beach,30,7/16/2021 18:12,OCENVRESUSER,,,12022,DP01,Verified,Outfall,Dana Point,South,{9B0581A6-42F8-4549-B81D-1FC9903C3D97},,,,,,-117.7177823,33.46902742,Unknown,DP01-12022-3,,,,Easily accessible,1,0.024,,0.8,0.03,6,0.024,0.024,0.024,143309,,GivenS,8/28/2020 19:00,,Flowing,,,,Not Present,Not Present,Sparse (<10 Items),Good,,Sediment,"Sand blocking gate, flow visible behind gate, but cannot collect sample to measure spec cond.  sparse eel grass and kelp in front of outfall.  Animal prints just outside outfall.  Flow path carved out in sand - could be from recent flow?  ",OCPWPublisher,8/28/2020 19:28,,,Partial - Significant Distance,,,,{615BAD17-88EF-4F51-AA56-C44415E400CE},{9B0581A6-42F8-4549-B81D-1FC9903C3D97},,No Macroalgae,Within area surrounding outfall,Dry,,,Not present,Not present
201,,,7/16/2021 18:12,OCENVRESUSER,4,3.4,12131,DP02,Not-Found,Box,Laguna Beach,South,{7E85DDAA-CD3F-482E-A911-5A9143B073EB},Not A Priority,,,,,-117.7482808,33.50537616,,DP02-12131-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={7E85DDAA-CD3F-482E-A911-5A9143B073EB}&field:Station=DP02-12131-1,No,No,,,,,,,,,,,150895,,GivenS,9/16/2020 19:20,,,,,,,,,,,,Bushes along beach; no outfall seen. ,OCPWPublisher,9/16/2020 22:20,,,,,,,{8C8E0F37-C29B-4A8D-91A2-BEA9F61D5727},{7E85DDAA-CD3F-482E-A911-5A9143B073EB},,,,Dry,,,Not present,Not present
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,2214,DP04-12015-1,,1/21/2016 0:20,Difficult accessibility,Pooled or Ponded,,,,Not Present,Not Present,Sparse (<10 Items),Good,Paint,None,Pipe is located up a ladder behind a metal gate. Groundwater dripping off slope above near staircase. No outflow to beach from ponded area.,OCENVRESUSER,12/11/2018 23:46,,1,,,,,{FFD3012A-6988-4108-B4B8-FE06BD625BE6},{B9E368D1-0601-4D99-B7EE-076F034D1D23},,,,,,,,
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,6635,DP04-12015-1,CurryJ,8/25/2016 21:56,Difficult accessibility,Dry,0,0,0,Not Present,Not Present,Sparse (<10 Items),Good,None,None,"Some groundwater drips off slope above, which infiltrate into the sand.",OCENVRESUSER,9/30/2020 18:38,https://ocgov.box.com/s/j80ylhqyio1hwy4ftycpjo47i0lv6epe,2,None - Flow Infiltrates or Outfall is Dry,Inaccessible,Dry,Small Fraction (<10%),{CC12E09E-94C0-463B-8122-C8654C2ED289},{B9E368D1-0601-4D99-B7EE-076F034D1D23},,,,,,,,
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,6964,DP04-12015-1,CurryJ,2/1/2017 17:54,Easily accessible,Pooled or Ponded,,,,,,Sparse (<10 Items),,,,Interesting outfall drops about 15 feet to the beach level pools out in front in the sand.there is evidence that during the last storm for the outfall flow cut a channel all the way to the beach,OCENVRESUSER,12/11/2018 23:46,,,,,,,{4C382FCB-EF22-4861-8566-F4E11FA9BA6F},{B9E368D1-0601-4D99-B7EE-076F034D1D23},,,,,,,,
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,7229,DP04-12015-1,MagsalinJ,4/5/2017 20:45,Easily accessible,Flowing,12,0.09,0.03,Not Present,Moderate,Sparse (<10 Items),Good,,,"Measures flow on ground, would get wet measuring from pipe.  Pipe drains like a waterfall ",OCENVRESUSER,9/30/2020 20:16,https://ocgov.box.com/s/ps19ux106au2cjlpekq0xp16gpw0dk25,4,None - Flow Infiltrates or Outfall is Dry,Flowing,Flowing,,{51BEB1FF-1817-4847-9F13-7B6F512D9BF9},{B9E368D1-0601-4D99-B7EE-076F034D1D23},,,,,,,,
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,44587,,GivenS,6/28/2018 19:11,Easily accessible,Flowing,30,1.3,0.02,Sparse,Moderate,Not Present (0 Items),Good,None,,Unsure of flow source.   Water flows down wall and drips from bluff.  Trash around likely from beach visitors ,OCENVRESUSER,9/30/2020 20:16,,,None - Flow Infiltrates or Outfall is Dry,,,,{B52A8A41-041D-46A1-9B64-17BE0BD1BAA8},{B9E368D1-0601-4D99-B7EE-076F034D1D23},,,,,,,,
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,58683,,MagsalinJ,9/26/2018 17:57,Easily accessible,Flowing,6,0.2,0.03,Not Present,Moderate,Sparse (<10 Items),Good,,,Had to climb ladder to drain and measure flow,OCENVRESUSER,9/30/2020 20:16,,,None - Flow Infiltrates or Outfall is Dry,Flowing,Flowing,,{4A039237-5FA2-4E04-BC5C-A0FFD2C2F025},{B9E368D1-0601-4D99-B7EE-076F034D1D23},,,,,,,,
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,66342,,GivenS,5/2/2019 18:23,Easily accessible,Flowing,4,0.9,0.03,Sparse,Moderate,Moderate (11-50 Items),Good,None,Clogged,A lot of driftwood is accumulated near gate to outfall,OCENVRESUSER,9/30/2020 20:16,,,None - Flow Infiltrates or Outfall is Dry,,,,{F168B960-EFA8-450E-AEEE-EE09E12F4E47},{B9E368D1-0601-4D99-B7EE-076F034D1D23},,,,,,,,
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,88069,,KellyK,9/3/2019 19:58,,Flowing,,,,Sparse,Moderate,Moderate (11-50 Items),Good,None,Other - See Comments,Large pile of debris and driftwood in flow path. Could not safely access outfall due to flowing water out of outfall onto ladder.,OCPWPublisher,9/3/2019 20:28,,,Partial - Significant Distance,Inaccessible,Inaccessible,,{991B2F18-6574-43D1-8D2A-ADA6DB585ADB},{B9E368D1-0601-4D99-B7EE-076F034D1D23},,Small to Moderate Macroalgae,In flow path of outfall,,,,,
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,132476,,CamilleA,7/7/2020 16:21,,Flowing,6,0.05,0.04,Not Present,Moderate,Abundant (>50 Items),Good,None,Other - See Comments,Fence around outfall is bent and rusted. Flow estimated from bottom of ladder. Wood boards on other side of stairs. Foundation construction is occurring on long time vacant lot above outfall (BMPs: straw waddles in place).,OCENVRESUSER,9/30/2020 20:16,,,None - Flow Infiltrates or Outfall is Dry,Flowing,Flowing,,{9D668E10-9FF7-4003-B3BF-407A51EDE642},{B9E368D1-0601-4D99-B7EE-076F034D1D23},3346,No Macroalgae,Within area surrounding outfall,Dry,Not Present,No Macroalgae,Not present,Clear
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,150887,,GivenS,9/16/2020 19:22,,Flowing,2,1.5,0.01,Sparse,Moderate,Moderate (11-50 Items),Poor,,Other - See Comments,RW is ocean.  Fence is bent from eroding cliff.  Metal gate is rusted.  Algae accumulation on ladder.  Water ponded at ladder.  Leaf litter. Flow est from wall,OCENVRESUSER,9/30/2020 20:16,,,None - Flow Infiltrates or Outfall is Dry,,,,{5B1B5479-C804-4BFB-AFC8-BA76B31C153A},{B9E368D1-0601-4D99-B7EE-076F034D1D23},3785,Moderate to Abundant Macroalgae,In flow path of outfall,Dry,,,Not present,Not present
436,,48,7/16/2021 18:12,OCENVRESUSER,,,12015,DP04,Verified,Outfall,Laguna Beach,South,{B9E368D1-0601-4D99-B7EE-076F034D1D23},Not A Priority,,,,,-117.7474477,33.50464905,Yes,DP04-12015-1,https://survey123.arcgis.com/share/04282b07d91c48dda7ccfd969221369a?open=menu&field:swDischargePointGUID={B9E368D1-0601-4D99-B7EE-076F034D1D23}&field:Station=DP04-12015-1,No,No,Easily accessible,7,0.00135,Below Average Discharge,0.69142857,0.02428571,9.21428571,0.015816,0.045,0.00135,170129,,KellyK,6/28/2021 16:03,,Flowing,4.5,0.8,0.01,Not Present,Not Present,Abundant (>50 Items),Good,None,None,Clear water. Sheet flow ,OCPWPublisher,6/28/2021 16:16,,,None - Flow Infiltrates or Outfall is Dry,Inaccessible,,,{519F2CB4-AE5C-4584-A89E-30EC115BBC83},{B9E368D1-0601-4D99-B7EE-076F034D1D23},3429.1,Small to Moderate Macroalgae,In flow path of outfall,Dry,,,Not present,Not present
