"jurisdicti","EMC_Group","RC","EMC_Group_Area","Area_Rainfall","Juris_LU_Volume","Stormwater Volume (acre-ft)","Constituent","Fraction","Units","EMC_WMA_LU","LU_Load","PL_M"
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.04339606748406735,0.676659373032117,1.8400832819975206
"ALISO VIEJO","business",0.414,67.45681443990236,6.7,15.59264265778343,909.9516478678008,"Zinc, Total","Total","mg/L",0.1600574539228461,2.4957186837335756,6.786768069034107
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364,909.9516478678008,"Copper, Total","Dissolved","mg/L",0.010032365405752707,0.4818361746227796,1.3102880487889617
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364,909.9516478678008,"Copper, Total","Total","mg/L",0.029394369947765984,1.4117578654937077,3.8390838138884043
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",19328.235873402406,928299.8434354033,11450410093059.27
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364,909.9516478678008,"Lead, Total","Total","mg/L",0.003914557566172833,0.1880090453985872,0.5112650693834886
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364,909.9516478678008,"TN","Total","mg/L",5.187196465843142,249.13156579060413,677.4794638179015
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364,909.9516478678008,"TP","Total","mg/L",0.49933870499831046,23.98232537657722,65.21667732336292
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364,909.9516478678008,"TSS","Total","mg/L",77.68355320177191,3730.999080673798,10145.945370906902
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.04339606748406735,2.0842338077324234,5.667790823907548
"ALISO VIEJO","business",0.422,203.84030133874364,6.7,48.02817233376364,909.9516478678008,"Zinc, Total","Total","mg/L",0.1600574539228461,7.687266980309886,20.90447870593288
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211,909.9516478678008,"Copper, Total","Dissolved","mg/L",0.010032365405752707,1.4025845899749454,3.814138336745903
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211,909.9516478678008,"Copper, Total","Total","mg/L",0.029394369947765984,4.109508441261361,11.175250179581573
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",19328.235873402406,2702202.789771808,33331180993190.707
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211,909.9516478678008,"Lead, Total","Total","mg/L",0.003914557566172833,0.5472785227435506,1.4882496281462272
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211,909.9516478678008,"TN","Total","mg/L",5.187196465843142,725.2010402244938,1972.0857544981723
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211,909.9516478678008,"TP","Total","mg/L",0.49933870499831046,69.81053265933434,189.84026405806685
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211,909.9516478678008,"TSS","Total","mg/L",77.68355320177191,10860.624609309598,29533.9938706397
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.04339606748406735,6.067029365154884,16.498462522116945
"ALISO VIEJO","business",0.486,515.2237748248427,6.7,139.8059712987211,909.9516478678008,"Zinc, Total","Total","mg/L",0.1600574539228461,22.376987809283793,60.85117979644254
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342,909.9516478678008,"Copper, Total","Dissolved","mg/L",4.4085553457464587e-4,0.051564885381222315,0.1402237038451575
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342,909.9516478678008,"Copper, Total","Total","mg/L",0.0090266475911997,1.0558062946084836,2.871121851207414
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",19495.373627451405,2280286.006919625,28126914049739.58
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342,909.9516478678008,"Lead, Total","Total","mg/L",0.001895147836689217,0.2216669029087677,0.6027930425124417
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342,909.9516478678008,"TN","Total","mg/L",5.474926321837162,640.3774618108346,1741.4195511191024
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342,909.9516478678008,"TP","Total","mg/L",0.6464029921897596,75.60684530024962,205.6025492089929
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342,909.9516478678008,"TSS","Total","mg/L",78.12325765887076,9137.725424438957,24848.803488303638
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.010494714571524367,1.227519474177472,3.338072526268168
"ALISO VIEJO","developed open space",0.217,965.3937189078367,6.7,116.965493993342,909.9516478678008,"Zinc, Total","Total","mg/L",0.01794714136300638,2.0991962552923824,5.708479168309656
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646,909.9516478678008,"Copper, Total","Dissolved","mg/L",0.023086218954965022,1.2915635126597733,3.5122315924388143
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646,909.9516478678008,"Copper, Total","Total","mg/L",0.10955179809315539,6.128899038833724,16.66670869845961
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",4668.938805513393,261204.79130020193,3221913695030.5835
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646,909.9516478678008,"Lead, Total","Total","mg/L",0.03568992667489768,1.996680667056007,5.429701946599697
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646,909.9516478678008,"TN","Total","mg/L",7.526108567663884,421.0497716093202,1144.9876799244616
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646,909.9516478678008,"TP","Total","mg/L",0.7965016337813982,44.56045617399411,121.17610974119759
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646,909.9516478678008,"TSS","Total","mg/L",172.2739058842315,9637.90092511467,26208.962844013087
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.09848436915267057,5.5097293330291794,14.982960760017633
"ALISO VIEJO","highway/arterial",0.45,222.66752750617496,6.7,55.94521628592646,909.9516478678008,"Zinc, Total","Total","mg/L",0.58597009784445,32.78222386099325,89.14680632148838
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223,909.9516478678008,"Copper, Total","Dissolved","mg/L",0.01193734375304908,2.5700250916767144,6.9888342554356475
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223,909.9516478678008,"Copper, Total","Total","mg/L",0.0231446929134595,4.98288754661605,13.550286061236072
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",21462.93950666575,4620818.015664597,56996951598040.234
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223,909.9516478678008,"Lead, Total","Total","mg/L",0.0022778102283991554,0.49039631949682605,1.3335662003996127
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223,909.9516478678008,"TN","Total","mg/L",6.349371628732227,1366.97449112614,3717.301508389643
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223,909.9516478678008,"TP","Total","mg/L",0.5809722171241416,125.07918063385917,340.135847345143
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223,909.9516478678008,"TSS","Total","mg/L",48.703478310591834,10485.512011680361,28513.92609758683
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.028403506524265307,6.115072663490968,16.629109748185964
"ALISO VIEJO","multi-family",0.485,795.0498647189866,6.7,215.29287795036223,909.9516478678008,"Zinc, Total","Total","mg/L",0.0910587841812683,19.604307709046168,53.311252763565534
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791,909.9516478678008,"Copper, Total","Dissolved","mg/L",4.5383849222810336e-4,0.005427290232437772,0.014758778820290093
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791,909.9516478678008,"Copper, Total","Total","mg/L",0.0067692263495350005,0.08095072735594795,0.2201345108185609
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",1093.7074339230464,13079.25126432799,161330190612.2112
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791,909.9516478678008,"Lead, Total","Total","mg/L",0.0014249616539121403,0.017040600562344355,0.0463395993015811
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791,909.9516478678008,"TN","Total","mg/L",2.420950642233769,28.95127231121992,78.72905378332054
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791,909.9516478678008,"TP","Total","mg/L",0.1859690057019451,2.2239360157116064,6.047692008470662
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791,909.9516478678008,"TSS","Total","mg/L",103.45130068022969,1237.136653963231,3364.2251407874082
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.010369371344090314,0.12400355804111887,0.3372108377620033
"ALISO VIEJO","open space",0.078,274.59559094128105,6.7,11.958637985492791,909.9516478678008,"Zinc, Total","Total","mg/L",0.011869975655119219,0.14194874175618336,0.38601032811487984
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206,909.9516478678008,"Copper, Total","Dissolved","mg/L",0.01047492053646517,1.3954912010928926,3.7948488288860114
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206,909.9516478678008,"Copper, Total","Total","mg/L",0.025896546493846418,3.44999302334095,9.381787555548202
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",19674.340539016797,2621057.5072074137,32330268659691.92
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206,909.9516478678008,"Lead, Total","Total","mg/L",0.0025109212365633307,0.3345102695589375,0.9096552552190386
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206,909.9516478678008,"TN","Total","mg/L",5.8323359783393665,776.9962083489603,2112.935680993697
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206,909.9516478678008,"TP","Total","mg/L",0.6373163229435632,84.90463654445463,230.8866299589577
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206,909.9516478678008,"TSS","Total","mg/L",93.2354275651122,12421.022034898799,33777.28278457657
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.014957835459302755,1.992714665298661,5.41891694336038
"ALISO VIEJO","single family",0.405,589.1525823100146,6.7,133.22212767485206,909.9516478678008,"Zinc, Total","Total","mg/L",0.08025909389387786,10.692287253798137,29.076223290703297
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888,909.9516478678008,"Copper, Total","Dissolved","mg/L",0.012949043628956136,2.2215978345522984,6.041333642307425
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888,909.9516478678008,"Copper, Total","Total","mg/L",0.02919603936894787,5.009007591457699,13.62131597636571
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888,909.9516478678008,"Fecal coliforms","Total","CFU/100 mL",16816.869832900793,2885179.9928433797,35588171584826.28
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888,909.9516478678008,"Lead, Total","Total","mg/L",0.003866052031887261,0.6632777731245952,1.803693838124345
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888,909.9516478678008,"TN","Total","mg/L",5.505199303783698,944.4974627095771,2568.4325973837936
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888,909.9516478678008,"TP","Total","mg/L",0.6931660044602971,118.92276670152853,323.394315630041
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888,909.9516478678008,"TSS","Total","mg/L",76.27630707003945,13086.316138090435,35586.4597585226
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888,909.9516478678008,"Zinc, Total","Dissolved","mg/L",0.03082256141039716,5.288061238095742,14.380164475955967
"ALISO VIEJO","surface street",0.471,652.3989982438969,6.7,171.5646265631888,909.9516478678008,"Zinc, Total","Total","mg/L",0.11216390547311601,19.243358556363958,52.32970055580475
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924,875.2466172687165,"Copper, Total","Dissolved","mg/L",0.007195275858728533,0.02789254601855076,0.075849991393891
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924,875.2466172687165,"Copper, Total","Total","mg/L",0.043760403860667124,0.16963756531910268,0.46130632395396887
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924,875.2466172687165,"Fecal coliforms","Total","CFU/100 mL",256.0234041671853,992.4768310163354,12242021587.486912
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924,875.2466172687165,"Lead, Total","Total","mg/L",0.002138367614392031,0.008289399636659383,0.022541896701827366
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924,875.2466172687165,"TN","Total","mg/L",24.552987232229672,95.17985685525522,258.82869633132157
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924,875.2466172687165,"TP","Total","mg/L",2.87445800292234,11.142860079178487,30.30149490644935
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924,875.2466172687165,"TSS","Total","mg/L",740.1407860602474,2869.1618418421317,7802.296028002164
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924,875.2466172687165,"Zinc, Total","Dissolved","mg/L",0.00620536231337152,0.024055138021918877,0.0654146814252064
"DANA POINT","agriculture",0.222,31.27477386830112,6.7,3.876508220975924,875.2466172687165,"Zinc, Total","Total","mg/L",0.10037463940221603,0.38910311482018434,1.0581130847939935
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269,875.2466172687165,"Copper, Total","Dissolved","mg/L",0.010032365405752707,0.07158335616133928,0.1946612168416718
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269,875.2466172687165,"Copper, Total","Total","mg/L",0.029394369947765984,0.2097359464102604,0.5703484264085265
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269,875.2466172687165,"Fecal coliforms","Total","CFU/100 mL",19328.235873402406,137911.64262246405,1701115082375.3552
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269,875.2466172687165,"Lead, Total","Total","mg/L",0.003914557566172833,0.027931316009755253,0.07595542112042963
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269,875.2466172687165,"TN","Total","mg/L",5.187196465843142,37.01190268452257,100.6488435378203
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269,875.2466172687165,"TP","Total","mg/L",0.49933870499831046,3.5629025578095117,9.688829702652049
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269,875.2466172687165,"TSS","Total","mg/L",77.68355320177191,554.2909604879536,1507.3190003795619
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269,875.2466172687165,"Zinc, Total","Dissolved","mg/L",0.04339606748406735,0.30964144835994817,0.8420278728830907
"DANA POINT","business",0.414,30.868449558783,6.7,7.13524211551269,875.2466172687165,"Zinc, Total","Total","mg/L",0.1600574539228461,1.1420486861320231,3.105646324179456
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981,875.2466172687165,"Copper, Total","Dissolved","mg/L",0.010032365405752707,0.1479243155349598,0.40226008958851184
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981,875.2466172687165,"Copper, Total","Total","mg/L",0.029394369947765984,0.43341145176105583,1.1786035905157564
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981,875.2466172687165,"Fecal coliforms","Total","CFU/100 mL",19328.235873402406,284989.2270103965,3515290392915.034
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981,875.2466172687165,"Lead, Total","Total","mg/L",0.003914557566172833,0.0577190149260586,0.15695902347866353
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981,875.2466172687165,"TN","Total","mg/L",5.187196465843142,76.48370605751869,207.98705297025825
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981,875.2466172687165,"TP","Total","mg/L",0.49933870499831046,7.3626042483095135,20.02160249191616
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981,875.2466172687165,"TSS","Total","mg/L",77.68355320177191,1145.4214406012834,3114.818071975335
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981,875.2466172687165,"Zinc, Total","Dissolved","mg/L",0.04339606748406735,0.6398624172728643,1.7400189574355234
"DANA POINT","business",0.422,62.57923053946657,6.7,14.744709702273981,875.2466172687165,"Zinc, Total","Total","mg/L",0.1600574539228461,2.3600006937774594,6.417701424371367
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876,875.2466172687165,"Copper, Total","Dissolved","mg/L",0.010032365405752707,0.9717446149115746,2.6425275279310094
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876,875.2466172687165,"Copper, Total","Total","mg/L",0.029394369947765984,2.8471670987064823,7.742484310691013
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876,875.2466172687165,"Fecal coliforms","Total","CFU/100 mL",19328.235873402406,1872151.6178975662,23092650432837.484
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876,875.2466172687165,"Lead, Total","Total","mg/L",0.003914557566172833,0.3791678313978246,1.0310954306300224
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876,875.2466172687165,"TN","Total","mg/L",5.187196465843142,502.43686591409966,1366.308831406497
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876,875.2466172687165,"TP","Total","mg/L",0.49933870499831046,48.36642984722124,131.52593833582128
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876,875.2466172687165,"TSS","Total","mg/L",77.68355320177191,7524.504086317709,20461.867117147096
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876,875.2466172687165,"Zinc, Total","Dissolved","mg/L",0.04339606748406735,4.203385062290583,11.430534903049212
"DANA POINT","business",0.486,356.9595247509444,6.7,96.86096704116876,875.2466172687165,"Zinc, Total","Total","mg/L",0.1600574539228461,15.503319769114183,42.15917293035805
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658,875.2466172687165,"Copper, Total","Dissolved","mg/L",4.4085553457464587e-4,0.043392279219973844,0.11799941114042989
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658,875.2466172687165,"Copper, Total","Total","mg/L",0.0090266475911997,0.8884697638548555,2.4160728782988534
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658,875.2466172687165,"Fecal coliforms","Total","CFU/100 mL",19495.373627451405,1918879.6092948886,23669031726131.883
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658,875.2466172687165,"Lead, Total","Total","mg/L",0.001895147836689217,0.186534539420246,0.5072553505972208
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658,875.2466172687165,"TN","Total","mg/L",5.474926321837162,538.8829515209753,1465.419012233445
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658,875.2466172687165,"TP","Total","mg/L",0.6464029921897596,63.62378812548483,173.01625239069915
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658,875.2466172687165,"TSS","Total","mg/L",78.12325765887076,7689.471820237957,20910.474468724056
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658,875.2466172687165,"Zinc, Total","Dissolved","mg/L",0.010494714571524367,1.0329678302913687,2.8090157487114014
"DANA POINT","developed open space",0.217,812.3868306572933,6.7,98.42743442438658,875.2466172687165,"Zinc, Total","Total","mg/L",0.01794714136300638,1.7664910796125066,4.803732620782663
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517,875.2466172687165,"Copper, Total","Dissolved","mg/L",0.023086218954965022,0.30374696254750577,0.8259986191230425
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517,875.2466172687165,"Copper, Total","Total","mg/L",0.10955179809315539,1.4413805039849152,3.9196385568339958
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517,875.2466172687165,"Fecal coliforms","Total","CFU/100 mL",4668.938805513393,61429.547352962014,757722317844.3474
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517,875.2466172687165,"Lead, Total","Total","mg/L",0.03568992667489768,0.4695748074724001,1.2769449257834433
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517,875.2466172687165,"TN","Total","mg/L",7.526108567663884,99.02152542562713,269.2755923517527
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517,875.2466172687165,"TP","Total","mg/L",0.7965016337813982,10.47962649913246,28.49792124540123
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517,875.2466172687165,"TSS","Total","mg/L",172.2739058842315,2266.619568176468,6163.764133437928
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517,875.2466172687165,"Zinc, Total","Dissolved","mg/L",0.09848436915267057,1.2957655840865816,3.523658555088547
"DANA POINT","highway/arterial",0.45,52.36644150676027,6.7,13.157068428573517,875.2466172687165,"Zinc, Total","Total","mg/L",0.58597009784445,7.709648674437347,20.96534268392254
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232,875.2466172687165,"Copper, Total","Dissolved","mg/L",0.01193734375304908,1.3813774919039463,3.756468513234458
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232,875.2466172687165,"Copper, Total","Total","mg/L",0.0231446929134595,2.678280738921959,7.283220788182813
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232,875.2466172687165,"Fecal coliforms","Total","CFU/100 mL",21462.93950666575,2483669.915011968,30635617644224.73
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232,875.2466172687165,"Lead, Total","Total","mg/L",0.0022778102283991554,0.2635859237559014,0.7167861275603526
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232,875.2466172687165,"TN","Total","mg/L",6.349371628732227,734.7429409012293,1998.0336577025046
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232,875.2466172687165,"TP","Total","mg/L",0.5809722171241416,67.22952448712331,182.82156280650068
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232,875.2466172687165,"TSS","Total","mg/L",48.703478310591834,5635.917848013653,15326.113291493766
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232,875.2466172687165,"Zinc, Total","Dissolved","mg/L",0.028403506524265307,3.286825395619959,8.93807534834533
"DANA POINT","multi-family",0.485,427.3359009687976,6.7,115.71900084984232,875.2466172687165,"Zinc, Total","Total","mg/L",0.0910587841812683,10.537231524057795,28.654570288551525
"DANA POINT","open space",0.078,136.1628092608208,6.7,5.929890343308746,875.2466172687165,"Copper, Total","Dissolved","mg/L",4.5383849222810336e-4,0.0026912124924852315,0.00731838693600703
"DANA POINT","open space",0.078,136.1628092608208,6.7,5.929890343308746,875.2466172687165,"Copper, Total","Total","mg/L",0.0067692263495350005,0.04014076996177871,0.10915737323226506
"DANA POINT","open space",0.078,136.1628092608208,6.7,5.929890343308746,875.2466172687165,"Fecal coliforms","Total","CFU/100 mL",1093.7074339230464,6485.565150825261,79998269080.14627
"DANA POINT","open space",0.078,136.1628092608208,6.7,5.929890343308746,875.2466172687165,"Lead, Total","Total","mg/L",0.0014249616539121403,0.00844986635111886,0.022978264142170118
