"jurisdicti","EMC_Group","RC","EMC_Group_Area","Area_Rainfall","Juris_LU_Volume"
"LAGUNA BEACH","developed open space",0.217,355.7116241091355,6.7,43.09742752435601
"LAGUNA BEACH","highway/arterial",0.45,57.28668115054294,6.7,14.393278639073914
"LAGUNA BEACH","multi-family",0.485,234.87001939179856,6.7,63.60084400113745
"LAGUNA BEACH","open space",0.078,2084.0995014906416,6.7,90.76253328991744
"LAGUNA BEACH","single family",0.405,1877.8150846611957,6.7,424.6209360190129
"LAGUNA BEACH","surface street",0.471,551.5925913983584,6.7,145.05506172298328
"LAGUNA BEACH","water",0.797,4.007436105841081,6.7,1.7832756717983993
"LAGUNA HILLS","agriculture",0.222,11.201015957602184,6.7,1.3883659279447909
"LAGUNA HILLS","business",0.414,7.301468432653245,6.7,1.6877344282077975
"LAGUNA HILLS","business",0.422,73.2326405853135,6.7,17.254830665909616
"LAGUNA HILLS","business",0.486,287.1573790390245,6.7,77.9201548022393
"LAGUNA HILLS","developed open space",0.217,347.40437576847,6.7,42.09093516081488
"LAGUNA HILLS","highway/arterial",0.45,99.7787458348112,6.7,25.069409890996315
"LAGUNA HILLS","multi-family",0.485,194.21609113193236,6.7,52.59209901110118
"LAGUNA HILLS","open space",0.078,134.8476536851397,6.7,5.872615317987834
"LAGUNA HILLS","single family",0.405,1721.6556194272923,6.7,389.30937694299655
"LAGUNA HILLS","surface street",0.471,621.6059754309248,6.7,163.46683138894744
"LAGUNA NIGUEL","agriculture",0.222,1.56619189939035,6.7,0.19412948592943388
"LAGUNA NIGUEL","business",0.414,65.54446404635526,6.7,15.150602864315019
"LAGUNA NIGUEL","business",0.422,97.36789873637672,6.7,22.941499740602627
"LAGUNA NIGUEL","business",0.486,588.4083428461148,6.7,159.66460383129325
"LAGUNA NIGUEL","developed open space",0.217,2273.768629900868,6.7,275.486017584406
"LAGUNA NIGUEL","highway/arterial",0.45,81.32050618965789,6.7,20.431777180151546
"LAGUNA NIGUEL","multi-family",0.485,713.0656450417872,6.7,193.0922344636073
"LAGUNA NIGUEL","open space",0.078,1601.083171284556,6.7,69.72717210944242
"LAGUNA NIGUEL","single family",0.405,2765.7103961667035,6.7,625.3962633331959
"LAGUNA NIGUEL","surface street",0.471,1230.535222676706,6.7,323.6000001834068
"LAGUNA NIGUEL","water",0.797,45.441317963141294,6.7,20.221007815948184
"LAGUNA WOODS","business",0.486,12.041827738900428,6.7,3.2675499569506314
"LAGUNA WOODS","developed open space",0.217,159.54874427870422,6.7,19.330659942234007
"LAGUNA WOODS","multi-family",0.485,513.4434853080536,6.7,139.03621712571
"LAGUNA WOODS","open space",0.078,7.606460732802005,6.7,0.33126136491352737
"LAGUNA WOODS","single family",0.405,0.02174854940853365,6.7,0.004917890735004672
"LAGUNA WOODS","surface street",0.471,63.34840427341328,6.7,16.659046613800857
"LAKE FOREST","agriculture",0.222,9.323612435697246,6.7,1.1556617614046738
"LAKE FOREST","business",0.414,176.41649416282718,6.7,40.77867262573751
"LAKE FOREST","business",0.422,31.57801829265465,6.7,7.440307410054313
"LAKE FOREST","business",0.486,446.9698423493028,6.7,121.28526672148331
"LAKE FOREST","developed open space",0.217,706.5654571516634,6.7,85.60629317940028
"LAKE FOREST","highway/arterial",0.45,65.57838499331527,6.7,16.476569229570462
"LAKE FOREST","multi-family",0.485,393.8112778265768,6.7,106.64081227478846
"LAKE FOREST","open space",0.078,239.37101783335802,6.7,10.424607826642742
"LAKE FOREST","single family",0.405,763.0034724954239,6.7,172.53416021802775
"LAKE FOREST","surface street",0.471,471.33898790216574,6.7,123.95037034357203
"MISSION VIEJO","agriculture",0.222,1.0056725477006214,6.7,0.12465311228749204
"MISSION VIEJO","business",0.414,131.66885329269357,6.7,30.435255438606116
"MISSION VIEJO","business",0.422,541.2776372046723,6.7,127.53403261937419
"MISSION VIEJO","business",0.486,967.7263810671973,6.7,262.592553502584
"MISSION VIEJO","developed open space",0.217,2358.4073845349944,6.7,285.7407080312857
"MISSION VIEJO","highway/arterial",0.45,527.0756977309144,6.7,132.42776905489225
"MISSION VIEJO","multi-family",0.485,591.6165993004826,6.7,160.20484495224318
"MISSION VIEJO","open space",0.078,458.209331553236,6.7,19.955016389143427
"MISSION VIEJO","single family",0.405,4019.2983846991287,6.7,908.8638472400906
"MISSION VIEJO","surface street",0.471,1778.868533688389,6.7,467.7979526467041
"MISSION VIEJO","water",0.797,150.82622611333196,6.7,67.11641373521512
"NEWPORT BEACH","agriculture",0.222,1.055195248223045,6.7,0.1307914510172464
"NEWPORT BEACH","developed open space",0.217,11.67269924215562,6.7,1.414244785680838
"NEWPORT BEACH","highway/arterial",0.45,5.109659281899179,6.7,1.283801894577169
"NEWPORT BEACH","multi-family",0.485,10.641947756832296,6.7,2.8817507696522124
"NEWPORT BEACH","open space",0.078,100.74877595609962,6.7,4.387609192888139
"NEWPORT BEACH","surface street",0.471,0.7810119678393895,6.7,0.20538662224256343
"ORANGE CO","agriculture",0.222,1020.3162614579069,6.7,126.46820060770756
"ORANGE CO","business",0.414,353.11185864083166,6.7,81.62180612482824
"ORANGE CO","business",0.422,154.31672747791563,6.7,36.35959293925489
"ORANGE CO","business",0.486,817.736260007596,6.7,221.89273415306118
"ORANGE CO","developed open space",0.217,5639.918138865754,6.7,683.32308184141
"ORANGE CO","highway/arterial",0.45,167.96733726491033,6.7,42.20179348780872
"ORANGE CO","multi-family",0.485,428.56775754560744,6.7,116.05257734537095
"ORANGE CO","open space",0.078,79657.55021431607,6.7,3469.0863118334646
"ORANGE CO","single family",0.405,4675.315001722693,6.7,1057.205604764544
"ORANGE CO","surface street",0.471,1765.6561276712425,6.7,464.323420174345
"ORANGE CO","water",0.797,81.08743711510509,6.7,36.08323378757914
"RANCHO SANTA MARGARITA","agriculture",0.222,21.80230699764532,6.7,2.702395952358138
"RANCHO SANTA MARGARITA","business",0.414,106.57065756257336,6.7,24.633807495588833
"RANCHO SANTA MARGARITA","business",0.422,108.94411167686872,6.7,25.66904844626488
"RANCHO SANTA MARGARITA","business",0.486,429.12782234486394,6.7,116.44383459327882
"RANCHO SANTA MARGARITA","developed open space",0.217,1571.6413066083799,6.7,190.41744130649363
"RANCHO SANTA MARGARITA","highway/arterial",0.45,362.9351177645791,6.7,91.1874483383505
"RANCHO SANTA MARGARITA","multi-family",0.485,452.88425128267505,6.7,122.63728121192105
"RANCHO SANTA MARGARITA","open space",0.078,3180.22245527831,6.7,138.4986879273704
"RANCHO SANTA MARGARITA","single family",0.405,1166.1175684021223,6.7,263.6883351549299
"RANCHO SANTA MARGARITA","surface street",0.471,812.8400055457195,6.7,213.75660045838558
"RANCHO SANTA MARGARITA","water",0.797,67.15788907267634,6.7,29.88470098826537
"SAN CLEMENTE","agriculture",0.222,5.993887585146538,6.7,0.7429423661789135
"SAN CLEMENTE","business",0.414,255.28235121673973,6.7,59.008515483749385
"SAN CLEMENTE","business",0.422,164.9993025705095,6.7,38.87658567398822
"SAN CLEMENTE","business",0.486,507.8940615064909,6.7,137.81705358978633
"SAN CLEMENTE","developed open space",0.217,3064.993591100268,6.7,371.3495151750567
"SAN CLEMENTE","highway/arterial",0.45,237.6955458490501,6.7,59.72100589457384
"SAN CLEMENTE","multi-family",0.485,678.1089996038748,6.7,183.62626618439927
"SAN CLEMENTE","open space",0.078,2127.193350077535,6.7,92.63927039587664
"SAN CLEMENTE","single family",0.405,3158.4572880766495,6.7,714.2061542663324
"SAN CLEMENTE","surface street",0.471,1537.6196005231125,6.7,404.3555144475655
"SAN CLEMENTE","water",0.797,0.8250273241319684,6.7,0.3671302840110249
"SAN JUAN CAPISTRANO","agriculture",0.222,410.85833035715393,6.7,50.925890047769236
"SAN JUAN CAPISTRANO","business",0.414,539.6326124538084,6.7,124.7360783686978
"SAN JUAN CAPISTRANO","business",0.422,201.77457956709435,6.7,47.54145385566688
"SAN JUAN CAPISTRANO","business",0.486,760.5164174726307,6.7,206.36612988119833
"SAN JUAN CAPISTRANO","developed open space",0.217,1386.4426412857074,6.7,167.97907968044086
"SAN JUAN CAPISTRANO","highway/arterial",0.45,228.47695998404564,6.7,57.40483619599147
"SAN JUAN CAPISTRANO","multi-family",0.485,429.40463662254126,6.7,116.27919722541232
"SAN JUAN CAPISTRANO","open space",0.078,1913.4187885481401,6.7,83.3293882412715
"SAN JUAN CAPISTRANO","single family",0.405,2527.578285161291,6.7,571.548639732097
"SAN JUAN CAPISTRANO","surface street",0.471,822.243247403035,6.7,216.22941798581311
