Jurisdiction,FacilityID,ObsRecordDate,FlowCondition,PersistentFlow,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,OCFSLocation,MaintenanceIssue,FlowConnectivity,PointY,PointX,Date
Aliso Viejo,J01-9082-3,7/13/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,,,SWN meter inspected,,,,,,,33.58158523,-117.7457369,2022-07-13
Aliso Viejo,J01-9082-3,7/13/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.58158523,-117.7457369,2022-07-13
Aliso Viejo,J01-9082-3,8/22/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.58158523,-117.7457369,2022-08-22
Aliso Viejo,J01-9082-4,6/23/2022,Flowing,Yes,Priority,35,2554,0.0144,NA,20% Or More Above Average Discharge,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,None,Direct Connection,33.58157074,-117.7457266,2022-06-23
Aliso Viejo,J01-9082-4,7/13/2022,Flowing,Yes,Priority,35,NA,0.005,NA,20% Or More Above Average Discharge,Not present,Not present,125ml/15s,Not Present (0 Items),,,,,Direct Connection,33.58157074,-117.7457266,2022-07-13
Aliso Viejo,J01-9082-4,7/13/2022,Flowing,Yes,Priority,35,NA,0.005,0,20% Or More Above Average Discharge,,,SWN meter inspected,,,,,,,33.58157074,-117.7457266,2022-07-13
Aliso Viejo,J01-9082-4,8/22/2022,Flowing,Yes,Priority,35,NA,NA,0.013,20% Or More Above Average Discharge,,,,,,,,,,33.58157074,-117.7457266,2022-08-22
Aliso Viejo,J01-9082-4,8/22/2022,Flowing,Yes,Priority,35,2728,0.036321,NA,20% Or More Above Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,None,Direct Connection,33.58157074,-117.7457266,2022-08-22
Aliso Viejo,J01-9131-1 (J01P28),6/23/2022,Flowing,Unknown,Priority,51,2686,0.03,NA,Above Average Discharge,Not present,Not present,Turb 11.6 NTU.  Flow estimate from above.   Flow decreases after sampling,Abundant (>50 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.57471343,-117.715865,2022-06-23
Aliso Viejo,J01-9131-1 (J01P28),7/1/2022,Dry,Unknown,Priority,51,NA,NA,NA,Above Average Discharge,Not present,Not present,iPad died so had to take photos near car. Wetted pipe but no flow present from outfall,Abundant (>50 Items),In flow path of outfall,Yes,Yes,,None - Flow Infiltrates or Outfall is Dry,33.57471343,-117.715865,2022-07-01
Aliso Viejo,J01-9131-1 (J01P28),9/8/2022,Flowing,Unknown,Priority,51,NA,NA,0.011,Above Average Discharge,,,Outfall dissipator is too deep to conduct accurate flow measurements.,,,Yes,Yes,,,33.57471343,-117.715865,2022-09-08
Aliso Viejo,J01-9131-1 (J01P28),9/8/2022,Flowing,Unknown,Priority,51,2648,0.069231,NA,Above Average Discharge,Not present,Yellow tint,White styrofoam particles in dissipator. Outfall dissipator is too deep to conduct accurate flow measurements.,Moderate (11-50 Items),Within area surrounding outfall,Yes,Yes,None,Direct Connection,33.57471343,-117.715865,2022-09-08
Aliso Viejo,J01-9144-4 (J01P26),7/13/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Below Average Discharge,,,"SWN meter inspected. Solar crushed but working at full capacity. Trash is abundant and causing ponding, would likely be dry without",,,,,,,33.5591058,-117.7186966,2022-07-13
Aliso Viejo,J01-9144-4 (J01P26),7/13/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Ponded due to trash buildup,Abundant (>50 Items),In flow path of outfall,,,Graffiti,None - Flow Infiltrates or Outfall is Dry,33.5591058,-117.7186966,2022-07-13
Aliso Viejo,J01-9144-4 (J01P26),8/31/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.5591058,-117.7186966,2022-08-31
Aliso Viejo,J01-9992-1 (J01P27),6/23/2022,Flowing,Yes,Priority,66,3165,0.039616,NA,Below Average Discharge,Not present,Not present,Turb 1.97 NTU,Abundant (>50 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.57325594,-117.7166123,2022-06-23
Aliso Viejo,J01-9992-1 (J01P27),7/1/2022,Flowing,Yes,Priority,66,NA,0,0.037,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.57325594,-117.7166123,2022-07-01
Aliso Viejo,J01-9992-1 (J01P27),7/1/2022,Flowing,Yes,Priority,66,NA,0.05125,NA,Below Average Discharge,Not present,Not present,,Abundant (>50 Items),In flow path of outfall,Yes,Yes,Graffiti,Direct Connection,33.57325594,-117.7166123,2022-07-01
Aliso Viejo,J01-9992-1 (J01P27),9/8/2022,Flowing,Yes,Priority,66,NA,NA,0.025,Below Average Discharge,,,,,,Yes,Yes,,,33.57325594,-117.7166123,2022-09-08
Aliso Viejo,J01-9992-1 (J01P27),9/8/2022,Flowing,Yes,Priority,66,3208,0.033,NA,Below Average Discharge,Not present,Yellow tint,Tiny snails and fresh water critters in outfall drain. Algae strings in outfall.,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.57325594,-117.7166123,2022-09-08
Aliso Viejo,J06-10011-1 (J06P01),6/23/2022,Flowing,Yes,Priority,98,3190.7,0.509735,NA,Below Average Discharge,Not present,Not present,Clear water,Moderate (11-50 Items),Within area surrounding outfall,Yes,Yes,None,Direct Connection,33.59504096,-117.7157622,2022-06-23
Aliso Viejo,J06-10011-1 (J06P01),7/13/2022,Flowing,Yes,Priority,98,NA,0.437,NA,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.59504096,-117.7157622,2022-07-13
Aliso Viejo,J06-10011-1 (J06P01),7/13/2022,Flowing,Yes,Priority,98,NA,0.53823,NA,Below Average Discharge,Not present,Not present,0.2 fps with handheld flowmeter,Sparse (<10 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.59504096,-117.7157622,2022-07-13
Aliso Viejo,J06-10011-1 (J06P01),8/22/2022,Flowing,Yes,Priority,98,NA,NA,0.064,Below Average Discharge,,,,,,Yes,Yes,,,33.59504096,-117.7157622,2022-08-22
Aliso Viejo,J06-10011-1 (J06P01),8/22/2022,Flowing,Yes,Priority,98,3121,0.27327,NA,Below Average Discharge,Not present,Not present,Very slow flow. Turb 0.52,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,,Direct Connection,33.59504096,-117.7157622,2022-08-22
Aliso Viejo,J06-9079-1 (J06P03),6/23/2022,Flowing,Yes,Priority,70,2124.6,0.096183,NA,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,Graffiti,Direct Connection,33.59226263,-117.7156422,2022-06-23
Aliso Viejo,J06-9079-1 (J06P03),7/13/2022,Flowing,Yes,Priority,70,NA,0.039,0.019,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.59226263,-117.7156422,2022-07-13
Aliso Viejo,J06-9079-1 (J06P03),7/13/2022,Flowing,Yes,Priority,70,NA,0.058,NA,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",L/R: 0.03? 1fps 900ml/1.63,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.59226263,-117.7156422,2022-07-13
Aliso Viejo,J06-9079-1 (J06P03),8/22/2022,Flowing,Yes,Priority,70,NA,NA,0.011,Below Average Discharge,,,,,,Yes,Yes,,,33.59226263,-117.7156422,2022-08-22
Aliso Viejo,J06-9079-1 (J06P03),8/22/2022,Flowing,Yes,Priority,70,2290,0.013333,NA,Below Average Discharge,Not present,"Brown ""tea"" tint",Downspout filter full. Turb 0.96 ntu,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,Other - See Comments,Direct Connection,33.59226263,-117.7156422,2022-08-22
Dana Point,DP01-12022-1,7/12/2022,Flowing,Yes,,NA,2985,NA,NA,Below Average Discharge,Not present,Not present,Unable to collect flow measurements,Sparse (<10 Items),In flow path of outfall,,,,Direct Connection,33.464085,-117.71479,2022-07-12
Dana Point,DP01-12022-1,9/26/2022,Flowing,Yes,,NA,2650,0.0078,NA,Below Average Discharge,Not present,Not present,Flow observed along curb .  Waves crashing on rock near outfall.,Not Present (0 Items),,,,,Direct Connection,33.464085,-117.71479,2022-09-26
Dana Point,DP01-12022-2,7/12/2022,Dry,Unknown,,NA,NA,NA,NA,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.466503,-117.716091,2022-07-12
Dana Point,DP01-12022-2,9/26/2022,Dry,Unknown,,NA,NA,NA,NA,Equal,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.466503,-117.716091,2022-09-26
Dana Point,DP06-12106-1,7/12/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.46389565,-117.688411,2022-07-12
Dana Point,DP06-12106-1,9/26/2022,Flowing,Yes,Not A Priority,NA,6540,0.09,NA,Below Average Discharge,Not present,Green tint,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.46389565,-117.688411,2022-09-26
Dana Point,K01-12126-1 (K01S01),6/22/2022,Flowing,Yes,Priority,78,5427,0.46478,NA,Above Average Discharge,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.48403393,-117.7198758,2022-06-22
Dana Point,K01-12126-1 (K01S01),9/7/2022,Flowing,Yes,Priority,78,NA,NA,NA,Above Average Discharge,,,,,,Yes,Yes,,,33.48403393,-117.7198758,2022-09-07
Dana Point,K01-12126-1 (K01S01),9/7/2022,Flowing,Yes,Priority,78,5087,0.497143,NA,Above Average Discharge,Not present,Yellow tint,Trash in dissipator pond,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,Other - See Comments,Direct Connection,33.48403393,-117.7198758,2022-09-07
Dana Point,K01-12159-2,6/22/2022,Flowing,Yes,Priority,62,NA,NA,0.088,Below Average Discharge,,,,,,Yes,,,,33.4824512,-117.7204321,2022-06-22
Dana Point,K01-12159-2,6/22/2022,Flowing,Yes,Priority,62,2927,0.114324,NA,Below Average Discharge,Not present,Not present,Vol: 5 L in 2 sec. Slippery biofilm.  Access from same side of creek.,Moderate (11-50 Items),Within area surrounding outfall,Yes,,None,Direct Connection,33.4824512,-117.7204321,2022-06-22
Dana Point,K01-12159-2,9/7/2022,Flowing,Yes,Priority,62,NA,NA,0.044,Below Average Discharge,,,,,,Yes,,,,33.4824512,-117.7204321,2022-09-07
Dana Point,K01-12159-2,9/7/2022,Flowing,Yes,Priority,62,4869,0.113233,NA,Below Average Discharge,Not present,Clear,,Not Present (0 Items),,Yes,,None,Direct Connection,33.4824512,-117.7204321,2022-09-07
Dana Point,K01-12159-3,6/22/2022,Flowing,Yes,Priority,43,NA,NA,0.007,Below Average Discharge,,,,,,,,,,33.48259382,-117.7203981,2022-06-22
Dana Point,K01-12159-3,6/22/2022,Flowing,Yes,Priority,43,3829,0.014143,NA,Below Average Discharge,Not present,Not present,3 liters in 15 sec,Sparse (<10 Items),In flow path of outfall,,,None,Direct Connection,33.48259382,-117.7203981,2022-06-22
Dana Point,K01-12159-3,9/7/2022,Flowing,Yes,Priority,43,NA,NA,0.007,Below Average Discharge,,,,,,,,,,33.48259382,-117.7203981,2022-09-07
Dana Point,K01-12159-3,9/7/2022,Flowing,Yes,Priority,43,3633,0.012935,NA,Below Average Discharge,Not present,Clear,,Not Present (0 Items),,,,,Direct Connection,33.48259382,-117.7203981,2022-09-07
Dana Point,L01-726-2,7/13/2022,Pooled or Ponded,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Yellow tint,Not present,Many water snails in receiving water,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.47487148,-117.6795156,2022-07-13
Dana Point,L01-726-2,8/29/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.47487148,-117.6795156,2022-08-29
Dana Point,L01-726-3,7/13/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,covered by manhole,Sparse (<10 Items),Within area surrounding outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.47522955,-117.6788187,2022-07-13
Dana Point,L01-726-3,8/29/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.47522955,-117.6788187,2022-08-29
Dana Point,L01-726-5,6/22/2022,Flowing,Yes,Priority,29,1674,0.0015,NA,20% Or More Above Average Discharge,Not present,Not present,Not enough flow to fill up bucket,Sparse (<10 Items),In flow path of outfall,Yes,,,Direct Connection,33.47582393,-117.6793196,2022-06-22
Dana Point,L01-726-5,8/29/2022,Flowing,Yes,Priority,29,NA,NA,0.011,20% Or More Above Average Discharge,,,,,,Yes,,,,33.47582393,-117.6793196,2022-08-29
Dana Point,L01-726-5,8/29/2022,Flowing,Yes,Priority,29,2379.5,0.060674,NA,20% Or More Above Average Discharge,Not present,Not present,Volumetric:1500 mL/4.97 sec,Sparse (<10 Items),In flow path of outfall,Yes,,None,Direct Connection,33.47582393,-117.6793196,2022-08-29
Dana Point,L01-726-5,9/7/2022,Flowing,Yes,Priority,29,NA,NA,0.004,20% Or More Above Average Discharge,,,,,,Yes,,,,33.47582393,-117.6793196,2022-09-07
Dana Point,L01-726-5,9/7/2022,Flowing,Yes,Priority,29,1327,0.015484,NA,20% Or More Above Average Discharge,Not present,Clear,Volumetric measurement: 1.1 L in 10 sec,Sparse (<10 Items),Within area surrounding outfall,Yes,,None,Direct Connection,33.47582393,-117.6793196,2022-09-07
Dana Point,L01-726-6,7/13/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.47619715,-117.6792461,2022-07-13
Dana Point,L01-726-6,8/29/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.47619715,-117.6792461,2022-08-29
Dana Point,L01-726-7,7/13/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,metal gate,Sparse (<10 Items),Within area surrounding outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.47686584,-117.678454,2022-07-13
Dana Point,L01-726-7,8/29/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.47686584,-117.678454,2022-08-29
Dana Point,L01-727-1 (L01S04),7/12/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.47115503,-117.6810116,2022-07-12
Dana Point,L01-727-1 (L01S04),8/29/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.47115503,-117.6810116,2022-08-29
Dana Point,L01-727-2,7/12/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.47419329,-117.6797341,2022-07-12
Dana Point,L01-727-2,8/29/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Sparse (<10 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.47419329,-117.6797341,2022-08-29
Dana Point,L01-727-3,7/12/2022,Pooled or Ponded,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.47155114,-117.6801375,2022-07-12
Dana Point,L01-727-3,9/14/2022,Pooled or Ponded,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.47155114,-117.6801375,2022-09-14
Dana Point,L01-728-2,7/12/2022,Flowing,Yes,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Film on water surface; trickling flow; unable to measure flow and conductivity,Moderate (11-50 Items),In flow path of outfall,,,,Direct Connection,33.46469611,-117.6822051,2022-07-12
Dana Point,L01-728-2,8/29/2022,Flowing,Yes,Not A Priority,NA,NA,NA,NA,Below Average Discharge,"Brown ""tea"" tint",Not present,"Lots of snails and flies, flow too little to measure volumetric, large pieces of trash in path, water has bronze tint",Moderate (11-50 Items),In flow path of outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.46469611,-117.6822051,2022-08-29
Dana Point,L01-728-3 (L01S02),7/12/2022,Flowing,Yes,Not A Priority,NA,11965,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,Yes,,None - Flow Infiltrates or Outfall is Dry,33.46552248,-117.6821413,2022-07-12
Dana Point,L01-728-3 (L01S02),8/29/2022,Flowing,Yes,Not A Priority,NA,NA,NA,0.017,Below Average Discharge,,,,,,,Yes,,,33.46552248,-117.6821413,2022-08-29
Dana Point,L01-728-3 (L01S02),8/29/2022,Flowing,Yes,Not A Priority,NA,8049.4,0.210526,NA,Below Average Discharge,Not present,Not present,Volumetric: 2500 mL/5.12 secs,Moderate (11-50 Items),Within area surrounding outfall,,Yes,Graffiti,Direct Connection,33.46552248,-117.6821413,2022-08-29
Dana Point,L01-728-4,7/12/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.46675048,-117.6825898,2022-07-12
