FacilityID,Date,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,rain_gage,wet_within_72,GlobalID,QInscfs
I01-11023-1,2022-09-07,Direct Connection,Flowing,Yes,Yes,NA,NA,LAGUNABEACH,FALSE,{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},NA
I01-11023-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{038D9EF3-E345-4A2B-A2E8-4C86B0814F1F},0
I01-11023-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{038D9EF3-E345-4A2B-A2E8-4C86B0814F1F},0
I01-11023-3,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{B1E7A48B-1DC2-43B1-BE7B-17B6936EF467},0
I01-11023-3,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{B1E7A48B-1DC2-43B1-BE7B-17B6936EF467},0
I01-11023-4,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{4299039A-0613-47FF-B808-7CF8CD065E00},0
I01-11023-4,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{4299039A-0613-47FF-B808-7CF8CD065E00},0
I01-11023-5,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{37C6F748-E62C-4DCD-89A7-0CB6EFB76B47},0
I01-11023-5,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{37C6F748-E62C-4DCD-89A7-0CB6EFB76B47},0
I01-11059-1,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{C71E52F8-AC08-4469-BA89-8E02697C744D},0
I01-11059-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{C71E52F8-AC08-4469-BA89-8E02697C744D},0
I01-11059-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{8A75D24A-9302-4837-9C8D-5CEE11DCAB92},0
I01-11059-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{8A75D24A-9302-4837-9C8D-5CEE11DCAB92},0
I01-11059-3,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{DB859266-5BF1-4E9B-91AB-9674CD92B469},0
I01-11059-3,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{DB859266-5BF1-4E9B-91AB-9674CD92B469},0
I01-11065-1,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{343D946F-618A-4C8F-BECA-AAD6427C9CAA},0
I01-11065-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{343D946F-618A-4C8F-BECA-AAD6427C9CAA},0
I01-11077-1,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{ED3BCD26-6F4E-4AE2-9C8B-80EDA743C061},0
I01-11077-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{ED3BCD26-6F4E-4AE2-9C8B-80EDA743C061},0
I01-11077-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{B9DC0E18-53B8-47A3-A9E6-B022A6119F8C},0
I01-11077-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{B9DC0E18-53B8-47A3-A9E6-B022A6119F8C},0
I01-11093-1,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{A6CD0460-3E4D-434A-8EED-4ABA7D87A2EB},0
I01-11093-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{A6CD0460-3E4D-434A-8EED-4ABA7D87A2EB},0
I01-11093-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{50B8F0F5-D3AB-43AA-9466-0350D018EEA8},0
I01-11093-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,LAGUNABEACH,FALSE,{50B8F0F5-D3AB-43AA-9466-0350D018EEA8},0
I01-11216-1 (I02P13),2022-06-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{407CFB17-3B6F-4280-9700-B0FD229A0C5E},NA
I01-11216-1 (I02P13),2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{407CFB17-3B6F-4280-9700-B0FD229A0C5E},NA
I01-11216-2 (I02P12),2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{3E6152B4-AA12-4483-A315-F2A09982301C},NA
I01-11216-3,2022-06-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{DB80E054-4D2C-4D53-8065-26F13D35FE95},NA
I01-11216-3,2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{DB80E054-4D2C-4D53-8065-26F13D35FE95},NA
I01-11216-4 (I02P14),2022-06-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},NA
I01-11216-4 (I02P14),2022-09-14,Undetermined,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},NA
I01-11217-1,2022-06-28,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,ELTORO,FALSE,{6731B5BE-BAEC-490D-90D1-2CBFABE191C3},0
I01-11217-1,2022-09-14,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,ELTORO,FALSE,{6731B5BE-BAEC-490D-90D1-2CBFABE191C3},NA
I01-11343-1,2022-06-14,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},NA
I01-11343-1,2022-08-23,Undetermined,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},NA
I01-11343-2 (I02P18),2022-06-14,Undetermined,Flowing,Yes,Yes,0.003794,NA,ELTORO,FALSE,{9A50D575-FFD5-41A9-B523-61D9221779CD},0.003794
I01-11343-2 (I02P18),2022-08-23,Undetermined,Flowing,Yes,Yes,NA,0,ELTORO,FALSE,{9A50D575-FFD5-41A9-B523-61D9221779CD},0
I01-11487-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{5950041F-4A9F-49ED-994B-C50CD46C105C},NA
I01-11487-1,2022-08-16,Partial - Significant Distance,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{5950041F-4A9F-49ED-994B-C50CD46C105C},NA
I01-11487-2,2022-07-05,Partial - Significant Distance,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{04035718-9418-4D9D-BE25-7FB1C35BC0A0},NA
I01-11487-2,2022-08-16,Partial - Significant Distance,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{04035718-9418-4D9D-BE25-7FB1C35BC0A0},NA
I01-11503-3,2022-06-28,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,LAGUNABEACH,FALSE,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},NA
I01-11503-3,2022-09-14,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,LAGUNABEACH,FALSE,{8617AFA3-52A5-463C-8916-03BC38AAFBC4},NA
I01-11503-5,2022-06-28,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{CEFC14D7-9ED9-43A9-BA53-748978BC75CB},NA
I01-11503-5,2022-09-14,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,LAGUNABEACH,FALSE,{CEFC14D7-9ED9-43A9-BA53-748978BC75CB},NA
J01-10004-1 (J01P01),2022-06-21,Direct Connection,Flowing,Yes,Yes,0.12916650000000002,NA,ELTORO,FALSE,{2B86E2C7-7931-456A-BDF6-8E5B829C36D2},0.12916650000000002
J01-10004-1 (J01P01),2022-06-30,Direct Connection,Flowing,Yes,Yes,0.13245,0.026,ELTORO,FALSE,{2B86E2C7-7931-456A-BDF6-8E5B829C36D2},0.079225
J01-10004-1 (J01P01),2022-08-18,Direct Connection,Pooled or Ponded,Yes,Yes,0.113333,NA,ELTORO,FALSE,{2B86E2C7-7931-456A-BDF6-8E5B829C36D2},0.113333
J01-10004-2,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},NA
J01-10004-2,2022-08-18,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},NA
J01-10006-1,2022-06-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},NA
J01-10006-1,2022-08-09,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},NA
J01-10017-1 (J01TBN4),2022-06-28,None - Flow Infiltrates or Outfall is Dry,Flowing,Yes,,0.005,0.004,SULPHURCREEK,FALSE,{3A09A49C-9DAA-4A66-898F-7D6115463F96},0.0045000000000000005
J01-10017-1 (J01TBN4),2022-07-13,Direct Connection,Flowing,Yes,,0.0090545,0.002,SULPHURCREEK,FALSE,{3A09A49C-9DAA-4A66-898F-7D6115463F96},0.00552725
J01-10019-1 (J01P33),2022-07-13,Direct Connection,Flowing,Yes,,0.0028975,0,SULPHURCREEK,FALSE,{65AB7468-482A-4869-8212-F73F5CC03224},0.00144875
J01-10019-1 (J01P33),2022-09-14,Undetermined,Flowing,Yes,,0.0096,NA,SULPHURCREEK,FALSE,{65AB7468-482A-4869-8212-F73F5CC03224},0.0096
J01-10041-2 (J03P13),2022-06-28,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{30268716-5276-44DF-9485-87949570FB12},NA
J01-9005-1 (J03P05),2022-07-08,Direct Connection,Flowing,Yes,,0.020985499999999997,0.167,SULPHURCREEK,FALSE,{BEADF14B-536C-491F-AF1C-E6C6959F66BD},0.09399275
J01-9005-3,2022-07-08,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{8D0A255A-DAB2-4BAC-A4E1-414D7DD8EA41},NA
J01-9007-1 (J02P05),2022-06-23,Undetermined,Flowing,Yes,Yes,0.056999999999999995,0.025,SULPHURCREEK,FALSE,{6367FF6D-1FC8-4E27-B1F3-A8005D44345E},0.040999999999999995
J01-9007-1 (J02P05),2022-07-13,Unsafe to Access,Flowing,Yes,Yes,0.07,0.022,SULPHURCREEK,FALSE,{6367FF6D-1FC8-4E27-B1F3-A8005D44345E},0.046
J01-9007-1 (J02P05),2022-09-08,Undetermined,Flowing,Yes,Yes,NA,0.053,SULPHURCREEK,FALSE,{6367FF6D-1FC8-4E27-B1F3-A8005D44345E},0.053
J01-9008-1 (J01P30),2022-06-28,Direct Connection,Flowing,Yes,,NA,0.007,SULPHURCREEK,FALSE,{87FF3E7F-0CD3-43AB-8A99-DD46A197D6A4},0.007
J01-9008-1 (J01P30),2022-07-01,Direct Connection,Flowing,Yes,,0.089753,0.013,SULPHURCREEK,FALSE,{87FF3E7F-0CD3-43AB-8A99-DD46A197D6A4},0.0513765
J01-9031-1,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Unknown,Yes,NA,NA,TUCKER,FALSE,{845D0596-F79C-47AB-8A96-2BF5F46A5F2D},NA
J01-9031-1,2022-08-18,Partial - Significant Distance,Other - See Comments,Unknown,Yes,NA,NA,TUCKER,FALSE,{845D0596-F79C-47AB-8A96-2BF5F46A5F2D},NA
J01-9040-1,2022-04-07,Direct Connection,Flowing,Yes,,0.48125,NA,TUCKER,FALSE,{7E5CB88D-6665-452A-804A-655CBEAB830F},0.48125
J01-9040-1,2022-04-14,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TUCKER,FALSE,{7E5CB88D-6665-452A-804A-655CBEAB830F},NA
J01-9040-1,2022-04-21,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TUCKER,FALSE,{7E5CB88D-6665-452A-804A-655CBEAB830F},NA
J01-9040-1,2022-05-12,Direct Connection,Flowing,Yes,,0.867895,NA,TUCKER,FALSE,{7E5CB88D-6665-452A-804A-655CBEAB830F},0.867895
J01-9040-1,2022-05-19,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,TUCKER,FALSE,{7E5CB88D-6665-452A-804A-655CBEAB830F},NA
J01-9046-1,2022-06-21,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,ELTORO,FALSE,{7B37BD5E-90A3-4DC7-8721-402EFF48BB71},NA
J01-9046-1,2022-06-30,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,ELTORO,FALSE,{7B37BD5E-90A3-4DC7-8721-402EFF48BB71},0
J01-9046-1,2022-08-18,Direct Connection,Flowing,Unknown,,0.0082,NA,ELTORO,FALSE,{7B37BD5E-90A3-4DC7-8721-402EFF48BB71},0.0082
J01-9046-2,2022-06-21,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},NA
J01-9046-2,2022-06-30,Direct Connection,Flowing,Yes,,0.0040535,0,ELTORO,FALSE,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},0.00202675
J01-9046-2,2022-08-18,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},NA
J01-9066-1 (J01P04),2022-06-21,Direct Connection,Flowing,Yes,,0.0037784999999999997,0.001,ELTORO,FALSE,{44FB9709-D45F-44FA-A0BF-A0B51C5584F8},0.00238925
J01-9066-1 (J01P04),2022-07-01,Direct Connection,Flowing,Yes,,9.75e-5,0,ELTORO,FALSE,{44FB9709-D45F-44FA-A0BF-A0B51C5584F8},4.875e-5
J01-9066-1 (J01P04),2022-08-09,Direct Connection,Flowing,Yes,,NA,0.007,ELTORO,FALSE,{44FB9709-D45F-44FA-A0BF-A0B51C5584F8},0.007
J01-9066-2 (J01P03),2022-06-21,Direct Connection,Flowing,Yes,,NA,NA,ELTORO,FALSE,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},NA
J01-9066-2 (J01P03),2022-07-01,Direct Connection,Flowing,Yes,,NA,0.002,ELTORO,FALSE,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},0.002
J01-9066-2 (J01P03),2022-08-09,Direct Connection,Flowing,Yes,,NA,0.015,ELTORO,FALSE,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},0.015
J01-9082-2,2022-06-23,Direct Connection,Flowing,Yes,Yes,0.1,NA,SULPHURCREEK,FALSE,{D7F5B54C-C817-44EE-AD28-FD7E7AE69350},0.1
J01-9082-2,2022-07-13,Direct Connection,Flowing,Yes,Yes,0.0720715,0.013,SULPHURCREEK,FALSE,{D7F5B54C-C817-44EE-AD28-FD7E7AE69350},0.04253575
J01-9082-2,2022-08-22,Direct Connection,Flowing,Yes,Yes,NA,0.032,SULPHURCREEK,FALSE,{D7F5B54C-C817-44EE-AD28-FD7E7AE69350},0.032
J01-9082-3,2022-06-23,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,SULPHURCREEK,FALSE,{D57375B8-DA33-4EBF-B4C6-11FF1DA7BC5E},0
J01-9082-3,2022-07-13,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,SULPHURCREEK,FALSE,{D57375B8-DA33-4EBF-B4C6-11FF1DA7BC5E},0
J01-9082-3,2022-08-22,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,SULPHURCREEK,FALSE,{D57375B8-DA33-4EBF-B4C6-11FF1DA7BC5E},0
J01-9082-4,2022-06-23,Direct Connection,Flowing,Yes,,0.0144,NA,SULPHURCREEK,FALSE,{AFB6CBDA-AC92-4821-99CD-EDC47B411745},0.0144
J01-9082-4,2022-07-13,Direct Connection,Flowing,Yes,,0.005,0,SULPHURCREEK,FALSE,{AFB6CBDA-AC92-4821-99CD-EDC47B411745},0.0025
J01-9082-4,2022-08-22,Direct Connection,Flowing,Yes,,NA,0.013,SULPHURCREEK,FALSE,{AFB6CBDA-AC92-4821-99CD-EDC47B411745},0.013
J01-9131-1 (J01P28),2022-06-23,Direct Connection,Flowing,Unknown,Yes,0.03,NA,SULPHURCREEK,FALSE,{3F8450D4-0881-4A9D-829A-4B4707912F53},0.03
J01-9131-1 (J01P28),2022-07-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,Yes,0,0,SULPHURCREEK,FALSE,{3F8450D4-0881-4A9D-829A-4B4707912F53},0
J01-9131-1 (J01P28),2022-09-08,Direct Connection,Flowing,Unknown,Yes,NA,0.011,SULPHURCREEK,FALSE,{3F8450D4-0881-4A9D-829A-4B4707912F53},0.011
J01-9144-1 (J01P23),2022-06-28,Direct Connection,Flowing,Yes,,2.85e-4,0.001,SULPHURCREEK,FALSE,{61303168-3951-41A3-9F99-5A1FBF0706F7},6.425000000000001e-4
J01-9144-1 (J01P23),2022-07-13,Direct Connection,Flowing,Yes,,NA,0,SULPHURCREEK,FALSE,{61303168-3951-41A3-9F99-5A1FBF0706F7},0
J01-9144-4 (J01P26),2022-07-13,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5},NA
J01-9144-4 (J01P26),2022-08-31,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{55C07C97-F5A8-4AD9-BDD6-F282EF1F22F5},NA
J01-9224-1 (J01P24),2022-06-15,Direct Connection,Flowing,Yes,Yes,0.010916499999999999,NA,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},0.010916499999999999
J01-9224-1 (J01P24),2022-07-13,Direct Connection,Pooled or Ponded,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},NA
J01-9224-1 (J01P24),2022-08-18,Direct Connection,Flowing,Yes,Yes,0.0165,NA,SULPHURCREEK,FALSE,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},0.0165
J01-9224-2 (J01P25),2022-06-15,Direct Connection,Flowing,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{7BFD7882-593A-4F10-AAF7-CC4B57726763},NA
J01-9224-2 (J01P25),2022-07-13,Direct Connection,Flowing,Yes,Yes,NA,NA,SULPHURCREEK,FALSE,{7BFD7882-593A-4F10-AAF7-CC4B57726763},NA
J01-9224-2 (J01P25),2022-08-18,Direct Connection,Flowing,Yes,Yes,NA,0.019,SULPHURCREEK,FALSE,{7BFD7882-593A-4F10-AAF7-CC4B57726763},0.019
J01-9259-3,2022-06-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{E9D08FC2-7F70-4A86-8EF6-2A8BE2A5E6F4},NA
J01-9259-3,2022-08-09,None - Flow Infiltrates or Outfall is Dry,,Yes,,0.013396,NA,ELTORO,FALSE,{E9D08FC2-7F70-4A86-8EF6-2A8BE2A5E6F4},0.013396
J01-9264-1 (J01P06),2022-06-30,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{86AB9BCD-9766-418C-889A-A078524BE271},NA
J01-9264-1 (J01P06),2022-09-21,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{86AB9BCD-9766-418C-889A-A078524BE271},NA
J01-9273-1,2022-06-14,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{1B614B52-1204-4A36-9937-3895C916CE39},NA
J01-9273-1,2022-07-01,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{1B614B52-1204-4A36-9937-3895C916CE39},NA
J01-9273-1,2022-08-23,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,Yes,NA,NA,ELTORO,FALSE,{1B614B52-1204-4A36-9937-3895C916CE39},NA
J01-9275-2,2022-06-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,ELTORO,FALSE,{8DD9934B-1D0A-4A08-9886-1E1C2EF93E40},0
J01-9275-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,ELTORO,FALSE,{8DD9934B-1D0A-4A08-9886-1E1C2EF93E40},0
J01-9349-1,2022-06-21,Direct Connection,Pooled or Ponded,Unknown,Yes,NA,NA,ELTORO,FALSE,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},NA
J01-9349-1,2022-06-30,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,Yes,0,0,ELTORO,FALSE,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},0
J01-9349-1,2022-08-18,Direct Connection,Pooled or Ponded,Unknown,Yes,NA,NA,ELTORO,FALSE,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},NA
J01-9364-3 (J01P21),2022-06-28,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},NA
J01-9364-3 (J01P21),2022-07-08,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{45DC9F7E-3DD3-44F6-A4A9-350A8C32653C},NA
