FACILITYID,JURISDICTI,PRIORITY,LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,Shape_Area,AREA,PERCENTAGE,JTribArea,EMCgroupArea,PerCentLU,,,,,,Agriculture ,Business ,Developed Open Space ,Highway/ Arterial ,Multi-Family ,Open Space ,Single Family ,Surface Street ,Water ,,,
J01-9313-1,ALISO VIEJO,1,RESMF,52,Multi-family Residential,multi-family,0.485,332075.012,7.623423791,5.549281409,844.0407733,163.1791047,19.33308318,,,,LAGUNA WOODS,1,TRANS,60,Streets and Roads,surface street,0.471,200544.027,4.603875784,9.835012497,110.8414016,9.374335422,8.457431326,
J01-9313-1,ALISO VIEJO,1,TRANS,60,Streets and Roads,surface street,0.471,1102352.844,25.30664035,18.42133832,844.0407733,145.4622325,17.2340291,,,,LAGUNA WOODS,1,OSDEV,75,Developed Open Space,developed open space,0.217,47549.94816,1.091600972,2.331928512,110.8414016,8.100873407,7.308526677,
J01-9313-1,ALISO VIEJO,1,OSAGNI,71,Agriculture,agriculture,0.222,6750.295936,0.154966091,0.112803705,844.0407733,0.385679586,0.045694426,,,,LAGUNA WOODS,1,RESMF,52,Multi-family Residential,multi-family,0.485,1222486.833,28.06454827,91.44679551,110.8414016,93.36619279,84.234042,
J01-9313-1,ALISO VIEJO,1,OSDEV,75,Developed Open Space,developed open space,0.217,891503.184,20.46617883,14.89784496,844.0407733,194.3175186,23.02229048,,,,LAGUNA WOODS,1,TRANS,60,Streets and Roads,surface street,0.471,114333.3958,2.624744102,8.552585094,110.8414016,9.374335422,8.457431326,
J01-9313-1,ALISO VIEJO,1,OSLOW,77,Open Space,open space,0.078,197315.2828,4.529753721,3.297321362,844.0407733,40.46825577,4.79458541,,,,LAGUNA WOODS,1,OSDEV,75,Developed Open Space,developed open space,0.217,8.299722386,1.91E-04,6.21E-04,110.8414016,8.100873407,7.308526677,
J01-9313-1,ALISO VIEJO,1,OSVAC,9999,Developed Open Space,developed open space,0.217,243759.8286,5.595978045,4.073452792,844.0407733,194.3175186,23.02229048,,,,LAGUNA WOODS,1,RESMF,52,Multi-family Residential,multi-family,0.485,1053539.642,24.18603894,72.54178831,110.8414016,93.36619279,84.234042,
I01-11503-3,ALISO VIEJO,1,RESSFH,50,Single Family Residential,single family,0.405,948151.8027,21.76665738,23.92454405,844.0407733,228.6655408,27.09176476,,,,LAGUNA WOODS,1,TRANS,60,Streets and Roads,surface street,0.471,93466.99489,2.145715536,6.43569799,110.8414016,9.374335422,8.457431326,
I01-11503-3,ALISO VIEJO,1,TRANS,60,Streets and Roads,surface street,0.471,541594.6552,12.4333522,13.66596061,844.0407733,145.4622325,17.2340291,,,,LAGUNA WOODS,1,OSDEV,75,Developed Open Space,developed open space,0.217,78878.00847,1.810797153,5.431168951,110.8414016,8.100873407,7.308526677,
I01-11503-3,ALISO VIEJO,1,TRFWY,61,Freeway,highway/arterial,0.45,159944.0041,3.671823779,4.035838312,844.0407733,3.671823779,0.435029195,,,,LAGUNA WOODS,1,OSIRR,76,Developed Open Space,developed open space,0.217,226436.3777,5.198284745,15.59134476,110.8414016,8.100873407,7.308526677,
I01-11503-3,ALISO VIEJO,1,OSDEV,75,Developed Open Space,developed open space,0.217,402006.8849,9.228845109,10.14376748,844.0407733,194.3175186,23.02229048,,,,,,,,,,,,,,,,,
I01-11503-3,ALISO VIEJO,1,OSIRR,76,Developed Open Space,developed open space,0.217,1780958.872,40.88535343,44.93861516,844.0407733,194.3175186,23.02229048,,,,,,,,,,,,,,,,,
I01-11503-3,ALISO VIEJO,1,OSLOW,77,Open Space,open space,0.078,130436.154,2.994414043,3.291272034,844.0407733,40.46825577,4.79458541,,,,,,,,,,,,,,,,,
I01-11502-1,ALISO VIEJO,1,RESMF,52,Multi-family Residential,multi-family,0.485,917231.4317,21.05682049,81.22190313,844.0407733,163.1791047,19.33308318,,,,,,,,,,,,,,,,,
I01-11502-1,ALISO VIEJO,1,TRANS,60,Streets and Roads,surface street,0.471,16999.78897,0.390263016,1.505350957,844.0407733,145.4622325,17.2340291,,,,,,,,,,,,,,,,,
I01-11502-1,ALISO VIEJO,1,OSDEV,75,Developed Open Space,developed open space,0.217,26837.0848,0.616097157,2.376454869,844.0407733,194.3175186,23.02229048,,,,L01-749-3,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,1306890.463,30.00219674,71.55279323,3464.826613,1070.297336,30.89035773
I01-11502-1,ALISO VIEJO,1,OSIRR,76,Developed Open Space,developed open space,0.217,61543.33337,1.412846179,5.449733282,844.0407733,194.3175186,23.02229048,,,,L01-749-3,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,346405.439,7.952406442,18.96584102,3464.826613,388.6333127,11.21652989
I01-11502-1,ALISO VIEJO,1,OSLOW,77,Open Space,open space,0.078,106679.0194,2.449023096,9.44655043,844.0407733,40.46825577,4.79458541,,,,L01-749-3,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,155324.5228,3.565774659,8.504081853,3464.826613,389.15702,11.23164485
I01-11216-1 (I02P13),ALISO VIEJO,1,RESSFH,50,Single Family Residential,single family,0.405,2748350.32,63.09369407,27.27619839,844.0407733,228.6655408,27.09176476,,,,L01-749-3,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,17849.99924,0.409781236,0.977294839,3464.826613,700.1696999,20.20792894
I01-11216-1 (I02P13),ALISO VIEJO,1,RESMF,52,Multi-family Residential,multi-family,0.485,2869391.229,65.87242209,28.47747751,844.0407733,163.1791047,19.33308318,,,,L01-556-1,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,1975157.1,45.34354913,46.87307079,3464.826613,1070.297336,30.89035773
I01-11216-1 (I02P13),ALISO VIEJO,1,TRANS,60,Streets and Roads,surface street,0.471,1963298.11,45.0713031,19.48489185,844.0407733,145.4622325,17.2340291,,,,L01-556-1,SAN JUAN CAPISTRANO,1,RESMF,52,Multi-family Residential,multi-family,0.485,1411514.993,32.40405509,33.49710371,3464.826613,321.5490378,9.280378896
I01-11216-1 (I02P13),ALISO VIEJO,1,TROTH,62,Streets and Roads,surface street,0.471,37.12059045,8.52E-04,3.68E-04,844.0407733,145.4622325,17.2340291,,,,L01-556-1,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,598468.8988,13.73901039,14.20245259,3464.826613,388.6333127,11.21652989
I01-11216-1 (I02P13),ALISO VIEJO,1,OSDEV,75,Developed Open Space,developed open space,0.217,2482370.753,56.98761897,24.63646524,844.0407733,194.3175186,23.02229048,,,,L01-556-1,SAN JUAN CAPISTRANO,1,OSAGIR,70,Agriculture,agriculture,0.222,140664.5899,3.229227561,3.338155372,3464.826613,217.2805725,6.271037393
I01-11216-1 (I02P13),ALISO VIEJO,1,OSLOW,77,Open Space,open space,0.078,1740.548661,0.039957659,0.017274199,844.0407733,40.46825577,4.79458541,,,,L01-556-1,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,51778.35712,1.188672274,1.228768385,3464.826613,389.15702,11.23164485
I01-11216-3,ALISO VIEJO,1,RESMF,52,Multi-family Residential,multi-family,0.485,39911.02293,0.916234678,18.7976698,844.0407733,163.1791047,19.33308318,,,,L01-556-1,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,36258.03685,0.832373321,0.860450811,3464.826613,700.1696999,20.20792894
I01-11216-3,ALISO VIEJO,1,TRANS,60,Streets and Roads,surface street,0.471,153939.0938,3.533969458,72.5036855,844.0407733,145.4622325,17.2340291,,,,L01-748-1,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,3437626.241,78.91735517,78.98209507,3464.826613,1070.297336,30.89035773
I01-11216-3,ALISO VIEJO,1,OSDEV,75,Developed Open Space,developed open space,0.217,18468.87888,0.423988814,8.698646669,844.0407733,194.3175186,23.02229048,,,,L01-748-1,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,680488.7989,15.62193574,15.6347512,3464.826613,388.6333127,11.21652989
I01-11217-1,ALISO VIEJO,1,IND,30,Light Industrial,business,0.414,434185.0124,9.967556225,27.94814304,844.0407733,67.89061753,8.043523451,,,,L01-748-1,SAN JUAN CAPISTRANO,1,OSAGIR,70,Agriculture,agriculture,0.222,22611.8763,0.519099328,0.519525172,3464.826613,217.2805725,6.271037393
I01-11217-1,ALISO VIEJO,1,UTIL,40,Commercial,business,0.486,52597.52889,1.207477945,3.385660994,844.0407733,67.89061753,8.043523451,,,,L01-748-1,SAN JUAN CAPISTRANO,1,OSAGNI,71,Agriculture,agriculture,0.222,8115.157557,0.186299128,0.186451959,3464.826613,217.2805725,6.271037393
I01-11217-1,ALISO VIEJO,1,RESSFH,50,Single Family Residential,single family,0.405,83281.91116,1.911897252,5.360790213,844.0407733,228.6655408,27.09176476,,,,L01-748-1,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,36074.02748,0.828149031,0.828828403,3464.826613,389.15702,11.23164485
I01-11217-1,ALISO VIEJO,1,TRANS,60,Streets and Roads,surface street,0.471,64394.01862,1.478289169,4.144991631,844.0407733,145.4622325,17.2340291,,,,L01-748-1,SAN JUAN CAPISTRANO,1,OSIRR,76,Developed Open Space,developed open space,0.217,110803.228,2.543702278,2.545789005,3464.826613,389.15702,11.23164485
I01-11217-1,ALISO VIEJO,1,OSDEV,75,Developed Open Space,developed open space,0.217,256191.7637,5.881377146,16.49085955,844.0407733,194.3175186,23.02229048,,,,L01-748-1,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,56692.85573,1.301494089,1.30256177,3464.826613,700.1696999,20.20792894
I01-11217-1,ALISO VIEJO,1,OSIRR,76,Developed Open Space,developed open space,0.217,549878.5545,12.62352512,35.39524409,844.0407733,194.3175186,23.02229048,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,COMM,10,Commercial,business,0.486,78113.162,1.793238624,0.4562875,3464.826613,327.3389305,9.447483729
I01-11217-1,ALISO VIEJO,1,OSLOW,77,Open Space,open space,0.078,113009.1578,2.59434366,7.274309376,844.0407733,40.46825577,4.79458541,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,EDU,20,Education,business,0.422,74189.17588,1.703155938,0.433366065,3464.826613,327.3389305,9.447483729
J01-9082-3,ALISO VIEJO,1,RESSFH,50,Single Family Residential,single family,0.405,2113873.433,48.52805069,38.92805365,844.0407733,228.6655408,27.09176476,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,IND,30,Light Industrial,business,0.414,1682.619284,0.038627778,0.009828794,3464.826613,327.3389305,9.447483729
J01-9082-3,ALISO VIEJO,1,RESMF,52,Multi-family Residential,multi-family,0.485,25715.65476,0.590352563,0.473566853,844.0407733,163.1791047,19.33308318,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,UTIL,40,Commercial,business,0.486,70628.41399,1.621411766,0.412566354,3464.826613,327.3389305,9.447483729
J01-9082-3,ALISO VIEJO,1,TRANS,60,Streets and Roads,surface street,0.471,1056996.607,24.26540026,19.46512975,844.0407733,145.4622325,17.2340291,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,3937933.55,90.40287654,23.0029077,3464.826613,1070.297336,30.89035773
J01-9082-3,ALISO VIEJO,1,OSDEV,75,Developed Open Space,developed open space,0.217,1275509.013,29.28177491,23.48914676,844.0407733,194.3175186,23.02229048,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,RESMF,52,Multi-family Residential,multi-family,0.485,41278.36667,0.947624697,0.241122011,3464.826613,321.5490378,9.280378896
J01-9082-3,ALISO VIEJO,1,OSIRR,76,Developed Open Space,developed open space,0.217,3600.052743,0.08264617,0.066296801,844.0407733,194.3175186,23.02229048,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,1479580.807,33.96663741,8.642771726,3464.826613,388.6333127,11.21652989
J01-9082-3,ALISO VIEJO,1,OSLOW,77,Open Space,open space,0.078,944824.2125,21.69026611,17.39941809,844.0407733,40.46825577,4.79458541,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,OSAGIR,70,Agriculture,agriculture,0.222,26243.26301,0.60246483,0.153296481,3464.826613,217.2805725,6.271037393
J01-9082-3,ALISO VIEJO,1,OSFOR,78,Open Space,open space,0.078,9686.755506,0.222378197,0.178386526,844.0407733,40.46825577,4.79458541,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,2295427.303,52.69597073,13.40842899,3464.826613,389.15702,11.23164485
L01-727-1 (L01S04),DANA POINT,1,COMM,10,Commercial,business,0.486,591825.7585,13.58650427,2.963877014,6870.546566,793.4168463,11.5480892,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,OSIRR,76,Developed Open Space,developed open space,0.217,3249.1323,0.074590112,0.018979368,3464.826613,389.15702,11.23164485
L01-727-1 (L01S04),DANA POINT,1,UTIL,40,Commercial,business,0.486,39393.02705,0.904343081,0.197281186,6870.546566,793.4168463,11.5480892,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,9109208.771,209.1194951,53.21021442,3464.826613,700.1696999,20.20792894
L01-727-1 (L01S04),DANA POINT,1,RESSFH,50,Single Family Residential,single family,0.405,7803776.496,179.1507739,39.08149222,6870.546566,1983.434442,28.86865583,,,,L01-618-5 (L01S09),SAN JUAN CAPISTRANO,1,OSWET,79,Open Space,open space,0.078,1751.384647,0.04020642,0.010230477,3464.826613,700.1696999,20.20792894
L01-727-1 (L01S04),DANA POINT,1,RESMF,52,Multi-family Residential,multi-family,0.485,3656461.841,83.94114938,18.31164502,6870.546566,309.9360715,4.511083195,,,,L01-618-4,SAN JUAN CAPISTRANO,1,EDU,20,Education,business,0.422,359203.5792,8.246212489,7.587639802,3464.826613,327.3389305,9.447483729
L01-727-1 (L01S04),DANA POINT,1,TRANS,60,Streets and Roads,surface street,0.471,3402081.445,78.10135568,17.03770214,6870.546566,823.2169389,11.98182606,,,,L01-618-4,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,2076777.396,47.67643946,43.86882465,3464.826613,1070.297336,30.89035773
L01-727-1 (L01S04),DANA POINT,1,OSAGIR,70,Agriculture,agriculture,0.222,33288.21834,0.764195397,0.166708163,6870.546566,26.58323837,0.386915919,,,,L01-618-4,SAN JUAN CAPISTRANO,1,RESMF,52,Multi-family Residential,multi-family,0.485,166350.6212,3.81890006,3.513908735,3464.826613,321.5490378,9.280378896
L01-727-1 (L01S04),DANA POINT,1,OSDEV,75,Developed Open Space,developed open space,0.217,3149673.579,72.30684522,15.77363775,6870.546566,1045.101272,15.21132652,,,,L01-618-4,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,431551.733,9.907104207,9.115886633,3464.826613,388.6333127,11.21652989
L01-727-1 (L01S04),DANA POINT,1,OSIRR,76,Developed Open Space,developed open space,0.217,181960.5282,4.177255649,0.911262512,6870.546566,1045.101272,15.21132652,,,,L01-618-4,SAN JUAN CAPISTRANO,1,OSAGIR,70,Agriculture,agriculture,0.222,1148578.393,26.36783717,24.26200526,3464.826613,217.2805725,6.271037393
L01-727-1 (L01S04),DANA POINT,1,OSLOW,77,Open Space,open space,0.078,1109498.601,25.470685,5.556394518,6870.546566,1707.051202,24.84593017,,,,L01-618-4,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,503297.8286,11.55417451,10.63141588,3464.826613,389.15702,11.23164485
L01-728-4,DANA POINT,1,COMM,10,Commercial,business,0.486,456572.8022,10.48151122,13.2310549,6870.546566,793.4168463,11.5480892,,,,L01-618-4,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,48302.67023,1.108881163,1.020321858,3464.826613,700.1696999,20.20792894
L01-728-4,DANA POINT,1,IND,30,Light Industrial,business,0.414,53843.83133,1.236089227,1.560344123,6870.546566,793.4168463,11.5480892,,,,L01-618-3,SAN JUAN CAPISTRANO,1,COMM,10,Commercial,business,0.486,689.2618558,0.015823338,0.228396628,3464.826613,327.3389305,9.447483729
L01-728-4,DANA POINT,1,RESSFH,50,Single Family Residential,single family,0.405,1230476.56,28.24796791,35.65806559,6870.546566,1983.434442,28.86865583,,,,L01-618-3,SAN JUAN CAPISTRANO,1,EDU,20,Education,business,0.422,268526.5128,6.164545155,88.98004362,3464.826613,327.3389305,9.447483729
L01-728-4,DANA POINT,1,RESMF,52,Multi-family Residential,multi-family,0.485,331744.5846,7.615838191,9.613649329,6870.546566,309.9360715,4.511083195,,,,L01-618-3,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,32567.05138,0.747639615,10.79155135,3464.826613,388.6333127,11.21652989
L01-728-4,DANA POINT,1,TRANS,60,Streets and Roads,surface street,0.471,419644.5148,9.633750995,12.1609075,6870.546566,823.2169389,11.98182606,,,,L01-618-2,SAN JUAN CAPISTRANO,1,COMM,10,Commercial,business,0.486,177941.5485,4.0849922,1.022545541,3464.826613,327.3389305,9.447483729
L01-728-4,DANA POINT,1,OSDEV,75,Developed Open Space,developed open space,0.217,567726.1516,13.0332512,16.45217552,6870.546566,1045.101272,15.21132652,,,,L01-618-2,SAN JUAN CAPISTRANO,1,UTIL,40,Commercial,business,0.486,87773.58028,2.015012199,0.504393066,3464.826613,327.3389305,9.447483729
L01-728-4,DANA POINT,1,OSIRR,76,Developed Open Space,developed open space,0.217,390758.0992,8.97060749,11.32380606,6870.546566,1045.101272,15.21132652,,,,L01-618-2,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,4013092.64,92.12829873,23.06133683,3464.826613,1070.297336,30.89035773
SC11-026-1 (M00P01),DANA POINT,1,COMM,10,Commercial,business,0.486,200767.4375,4.609004605,1.509227192,6870.546566,793.4168463,11.5480892,,,,L01-618-2,SAN JUAN CAPISTRANO,1,RESMF,52,Multi-family Residential,multi-family,0.485,1894812.859,43.49909179,10.8885893,3464.826613,321.5490378,9.280378896
SC11-026-1 (M00P01),DANA POINT,1,UTIL,40,Commercial,business,0.486,18213.32158,0.418122003,0.136914833,6870.546566,793.4168463,11.5480892,,,,L01-618-2,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,1446038.344,33.19660534,8.30969537,3464.826613,388.6333127,11.21652989
SC11-026-1 (M00P01),DANA POINT,1,RESSFH,50,Single Family Residential,single family,0.405,8489454.351,194.8918345,63.81769628,6870.546566,1983.434442,28.86865583,,,,L01-618-2,SAN JUAN CAPISTRANO,1,OSAGIR,70,Agriculture,agriculture,0.222,38541.7006,0.884799237,0.221480843,3464.826613,217.2805725,6.271037393
SC11-026-1 (M00P01),DANA POINT,1,RESMF,52,Multi-family Residential,multi-family,0.485,264387.0069,6.069514794,1.987473989,6870.546566,309.9360715,4.511083195,,,,L01-618-2,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,4426505.662,101.6189938,25.43702506,3464.826613,389.15702,11.23164485
SC11-026-1 (M00P01),DANA POINT,1,TRANS,60,Streets and Roads,surface street,0.471,2976733.414,68.33666944,22.37697042,6870.546566,823.2169389,11.98182606,,,,L01-618-2,SAN JUAN CAPISTRANO,1,OSIRR,76,Developed Open Space,developed open space,0.217,1269230.506,29.13763963,7.293664719,3464.826613,389.15702,11.23164485
SC11-026-1 (M00P01),DANA POINT,1,TRFWY,61,Freeway,highway/arterial,0.45,591208.352,13.57233051,4.444285049,6870.546566,180.9170504,2.633226464,,,,L01-618-2,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,3912440.065,89.81762431,22.4829343,3464.826613,700.1696999,20.20792894
SC11-026-1 (M00P01),DANA POINT,1,TROTH,62,Streets and Roads,surface street,0.471,31922.27753,0.732837585,0.23996904,6870.546566,823.2169389,11.98182606,,,,L01-618-2,SAN JUAN CAPISTRANO,1,OSFOR,78,Open Space,open space,0.078,135444.3184,3.109386138,0.77833415,3464.826613,700.1696999,20.20792894
SC11-026-1 (M00P01),DANA POINT,1,OSAGIR,70,Agriculture,agriculture,0.222,454.3670604,0.010430874,0.003415609,6870.546566,26.58323837,0.386915919,,,,L01-618-1,SAN JUAN CAPISTRANO,1,COMM,10,Commercial,business,0.486,988291.6683,22.68814558,24.49516548,3464.826613,327.3389305,9.447483729
SC11-026-1 (M00P01),DANA POINT,1,OSDEV,75,Developed Open Space,developed open space,0.217,382864.6289,8.789397621,2.878104716,6870.546566,1045.101272,15.21132652,,,,L01-618-1,SAN JUAN CAPISTRANO,1,EDU,20,Education,business,0.422,216061.017,4.960098284,5.355150239,3464.826613,327.3389305,9.447483729
SC11-026-1 (M00P01),DANA POINT,1,OSIRR,76,Developed Open Space,developed open space,0.217,126650.9436,2.907517222,0.952071961,6870.546566,1045.101272,15.21132652,,,,L01-618-1,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,1391395.636,31.94217634,34.48624271,3464.826613,1070.297336,30.89035773
SC11-026-1 (M00P01),DANA POINT,1,OSLOW,77,Open Space,open space,0.078,192520.4232,4.41967845,1.447231988,6870.546566,1707.051202,24.84593017,,,,L01-618-1,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,785434.8176,18.03117446,19.46728526,3464.826613,388.6333127,11.21652989
SC11-026-1 (M00P01),DANA POINT,1,OSVAC,9999,Developed Open Space,developed open space,0.217,27488.31908,0.631047498,0.206637686,6870.546566,1045.101272,15.21132652,,,,L01-618-1,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,618476.2044,14.19831677,15.32915581,3464.826613,389.15702,11.23164485
M01-060-3,DANA POINT,1,COMM,10,Commercial,business,0.486,2171459.137,49.85004184,1.096623515,6870.546566,793.4168463,11.5480892,,,,L01-618-1,SAN JUAN CAPISTRANO,1,OSIRR,76,Developed Open Space,developed open space,0.217,2190.933747,0.050297119,0.054303083,3464.826613,389.15702,11.23164485
M01-060-3,DANA POINT,1,EDU,20,Education,business,0.422,1293082.158,29.68520041,0.653028315,6870.546566,793.4168463,11.5480892,,,,L01-618-1,SAN JUAN CAPISTRANO,1,OSVAC,9999,Developed Open Space,developed open space,0.217,32789.39107,0.752743853,0.812696885,3464.826613,389.15702,11.23164485
M01-060-3,DANA POINT,1,IND,30,Light Industrial,business,0.414,19660772.77,451.3510424,9.929022089,6870.546566,793.4168463,11.5480892,,,,L01-602-2,SAN JUAN CAPISTRANO,1,COMM,10,Commercial,business,0.486,660625.6073,15.16593778,24.29525696,3464.826613,327.3389305,9.447483729
M01-060-3,DANA POINT,1,UTIL,40,Commercial,business,0.486,1159613.619,26.62117212,0.58562445,6870.546566,793.4168463,11.5480892,,,,L01-602-2,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,373882.7286,8.583200737,13.74996195,3464.826613,1070.297336,30.89035773
M01-060-3,DANA POINT,1,RESSFH,50,Single Family Residential,single family,0.405,55295835.31,1269.422785,27.92533014,6870.546566,1983.434442,28.86865583,,,,L01-602-2,SAN JUAN CAPISTRANO,1,RESMF,52,Multi-family Residential,multi-family,0.485,943940.9021,21.66998801,34.71449868,3464.826613,321.5490378,9.280378896
M01-060-3,DANA POINT,1,RESMF,52,Multi-family Residential,multi-family,0.485,5961056.628,136.8475774,3.01043421,6870.546566,309.9360715,4.511083195,,,,L01-602-2,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,330367.5119,7.584224824,12.14964044,3464.826613,388.6333127,11.21652989
M01-060-3,DANA POINT,1,TRANS,60,Streets and Roads,surface street,0.471,18883208.08,433.500542,9.536338798,6870.546566,823.2169389,11.98182606,,,,L01-602-2,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,25945.74064,0.595634629,0.954184078,3464.826613,389.15702,11.23164485
M01-060-3,DANA POINT,1,TRFWY,61,Freeway,highway/arterial,0.45,3312854.818,76.05298598,1.673047599,6870.546566,180.9170504,2.633226464,,,,L01-602-2,SAN JUAN CAPISTRANO,1,OSIRR,76,Developed Open Space,developed open space,0.217,380859.4983,8.743365973,14.00654058,3464.826613,389.15702,11.23164485
