Station,Sample Type,Parameter,Qualifier,ResultAvg,Units
L02-374-1 (L02P50),Dissolved,"Cadmium, Total",NA,0.725,ug/L
L01-404-1,Total,"Cadmium, Total",<,0.1,ug/L
L01-340-1,Total,"Cadmium, Total",<,0.1,ug/L
L01-404-1,Dissolved,"Cadmium, Total",<,0.1,ug/L
L01-340-1,Dissolved,"Cadmium, Total",<,0.1,ug/L
L02-246-1 (L11P01),Total,"Cadmium, Total",<,0.1,ug/L
L02-641-1,Total,"Cadmium, Total",<,0.1,ug/L
L02-641-2,Total,"Cadmium, Total",<,0.1,ug/L
L01-731-1 (L08TBN2),Total,"Cadmium, Total",<,0.1,ug/L
L02-166-3 (L02P26),Total,"Cadmium, Total",NA,0.16999999999999998,ug/L
L02-246-1 (L11P01),Dissolved,"Cadmium, Total",<,0.1,ug/L
L02-641-1,Dissolved,"Cadmium, Total",<,0.1,ug/L
L02-641-2,Dissolved,"Cadmium, Total",<,0.1,ug/L
L01-731-1 (L08TBN2),Dissolved,"Cadmium, Total",<,0.1,ug/L
L02-166-3 (L02P26),Dissolved,"Cadmium, Total",NA,0.16999999999999998,ug/L
L04-672-1,Total,"Cadmium, Total",NA,1.35,ug/L
L04-672-1,Dissolved,"Cadmium, Total",NA,0.65,ug/L
M01-042-1 (M01S01),Total,"Cadmium, Total",NA,205,ug/L
M02-032-1,Total,"Cadmium, Total",NA,0.525,ug/L
SC1-2,Total,"Cadmium, Total",NA,5.5,ug/L
M02-085-1 (M02P06),Total,"Cadmium, Total",NA,45,ug/L
M02-085-2,Total,"Cadmium, Total",NA,0.9750000000000001,ug/L
M01-042-1 (M01S01),Dissolved,"Cadmium, Total",NA,205,ug/L
M02-032-1,Dissolved,"Cadmium, Total",NA,0.44,ug/L
SC1-2,Dissolved,"Cadmium, Total",NA,4.9,ug/L
M02-085-1 (M02P06),Dissolved,"Cadmium, Total",NA,45.5,ug/L
M02-085-2,Dissolved,"Cadmium, Total",NA,0.64,ug/L
L03-662-3 (L03P16),Total,"Cadmium, Total",NA,0.22999999999999998,ug/L
L03-662-3 (L03P16),Dissolved,"Cadmium, Total",NA,0.165,ug/L
J01-9224-2 (J01P25),Dissolved,"Cadmium, Total",<,0.325,ug/L
I01-11343-2 (I02P18),Dissolved,"Cadmium, Total",NA,0.15000000000000002,ug/L
L02-166-3 (L02P26),Total,"Cadmium, Total",<,0.16999999999999998,ug/L
L02-166-3 (L02P26),Dissolved,"Cadmium, Total",<,0.16999999999999998,ug/L
L01-726-5,Total,"Cadmium, Total",<,0.1,ug/L
L01-726-5,Dissolved,"Cadmium, Total",<,0.1,ug/L
L04-266-5,Total,"Calcium, Total",NA,387.5,ug/L
I01-11343-2 (I02P18),Total,"Calcium, Total",NA,140,ug/L
L03-418-8,Total,"Calcium, Total",NA,270,ug/L
K01-12177-1 (K01P07),Total,"Calcium, Total",NA,142,ug/L
J03-9221-1 (J03P02),Total,"Calcium, Total",NA,358.5,ug/L
J01-9224-1 (J01P24),Total,"Calcium, Total",NA,225,ug/L
J01-9224-2 (J01P25),Total,"Calcium, Total",NA,149.5,ug/L
L03-662-3 (L03P16),Total,"Calcium, Total",NA,177.5,ug/L
L03-214-2 (L03P18),Total,"Calcium, Total",NA,329,ug/L
L03-316-3 (L03P12),Total,"Calcium, Total",NA,334.5,ug/L
J01-9992-1 (J01P27),Total,"Calcium, Total",NA,265,ug/L
J01-9131-1 (J01P28),Total,"Calcium, Total",NA,192,ug/L
J01-9007-1 (J02P05),Total,"Calcium, Total",NA,145.5,ug/L
J06-10011-1 (J06P01),Total,"Calcium, Total",NA,268,ug/L
J06-9079-1 (J06P03),Total,"Calcium, Total",NA,166,ug/L
J01-9082-2,Total,"Calcium, Total",NA,106,ug/L
I01-11010-1,Total,"Calcium, Total",NA,186,ug/L
I00-11468-1,Total,"Calcium, Total",NA,421,ug/L
J01-10004-1 (J01P01),Total,"Calcium, Total",NA,231.5,ug/L
L01-749-2,Total,"Calcium, Total",NA,280.5,ug/L
L05-503-1,Total,"Calcium, Total",NA,311,ug/L
L01-724-4 (L01P03),Total,"Calcium, Total",NA,166,ug/L
L01-724-1 (L01S01),Total,"Calcium, Total",NA,250,ug/L
L01-728-5 (L01-DP),Total,"Calcium, Total",NA,83.30000000000001,ug/L
K01-12126-1 (K01S01),Total,"Calcium, Total",NA,298,ug/L
K01-12159-2,Total,"Calcium, Total",NA,187.5,ug/L
K01-12159-3,Total,"Calcium, Total",NA,130.5,ug/L
L05-489-3,Total,"Calcium, Total",NA,167,ug/L
L05-049-1,Total,"Calcium, Total",NA,180.5,ug/L
L02-374-1 (L02P50),Total,"Calcium, Total",NA,204.5,ug/L
L01-404-1,Total,"Calcium, Total",NA,152,ug/L
L01-340-1,Total,"Calcium, Total",NA,141,ug/L
L02-246-1 (L11P01),Total,"Calcium, Total",NA,126.5,ug/L
L02-641-1,Total,"Calcium, Total",NA,92.65,ug/L
L02-641-2,Total,"Calcium, Total",NA,105.5,ug/L
L01-731-1 (L08TBN2),Total,"Calcium, Total",NA,155,ug/L
L02-166-3 (L02P26),Total,"Calcium, Total",NA,187,ug/L
L04-672-1,Total,"Calcium, Total",NA,380.5,ug/L
M01-042-1 (M01S01),Total,"Calcium, Total",NA,412,ug/L
M02-032-1,Total,"Calcium, Total",NA,197,ug/L
SC1-2,Total,"Calcium, Total",NA,257.5,ug/L
M02-085-1 (M02P06),Total,"Calcium, Total",NA,485,ug/L
M02-085-2,Total,"Calcium, Total",NA,145,ug/L
L01-726-5,Total,"Calcium, Total",NA,85.1,ug/L
L04-266-5,Total,Chromium 6+,<,0.01,ug/L
I01-11343-2 (I02P18),Total,Chromium 6+,<,0.01,ug/L
L04-266-5,Dissolved,Chromium 6+,<,0.01,ug/L
I01-11343-2 (I02P18),Dissolved,Chromium 6+,<,0.01,ug/L
L03-418-8,Total,Chromium 6+,NA,0.031,ug/L
K01-12177-1 (K01P07),Total,Chromium 6+,NA,0.893,ug/L
J03-9221-1 (J03P02),Total,Chromium 6+,<,0.01,ug/L
J01-9224-1 (J01P24),Total,Chromium 6+,NA,0.0315,ug/L
J01-9224-2 (J01P25),Total,Chromium 6+,<,0.01,ug/L
L03-418-8,Dissolved,Chromium 6+,<,0.01,ug/L
K01-12177-1 (K01P07),Dissolved,Chromium 6+,NA,0.88,ug/L
J03-9221-1 (J03P02),Dissolved,Chromium 6+,<,0.01,ug/L
J01-9224-1 (J01P24),Dissolved,Chromium 6+,NA,0.029,ug/L
J01-9224-2 (J01P25),Dissolved,Chromium 6+,<,0.01,ug/L
L03-662-3 (L03P16),Total,Chromium 6+,<,0.01,ug/L
L03-214-2 (L03P18),Total,Chromium 6+,<,0.01,ug/L
L03-316-3 (L03P12),Total,Chromium 6+,<,0.115,ug/L
L03-662-3 (L03P16),Dissolved,Chromium 6+,<,0.01,ug/L
L03-214-2 (L03P18),Dissolved,Chromium 6+,<,0.01,ug/L
L03-316-3 (L03P12),Dissolved,Chromium 6+,<,0.01,ug/L
J01-9992-1 (J01P27),Total,Chromium 6+,NA,0.885,ug/L
J01-9131-1 (J01P28),Total,Chromium 6+,NA,0.0835,ug/L
J01-9007-1 (J02P05),Total,Chromium 6+,NA,1.5,ug/L
J01-9992-1 (J01P27),Dissolved,Chromium 6+,NA,0.855,ug/L
J01-9131-1 (J01P28),Dissolved,Chromium 6+,NA,0.079,ug/L
J01-9007-1 (J02P05),Dissolved,Chromium 6+,NA,1.45,ug/L
J06-10011-1 (J06P01),Total,Chromium 6+,NA,0.22499999999999998,ug/L
J06-9079-1 (J06P03),Total,Chromium 6+,NA,0.48,ug/L
J01-9082-2,Total,Chromium 6+,NA,0.54,ug/L
J06-10011-1 (J06P01),Dissolved,Chromium 6+,NA,0.21200000000000002,ug/L
J06-9079-1 (J06P03),Dissolved,Chromium 6+,NA,0.51,ug/L
J01-9082-2,Dissolved,Chromium 6+,NA,0.5,ug/L
I01-11010-1,Total,Chromium 6+,<,0.0185,ug/L
I00-11468-1,Total,Chromium 6+,<,0.1,ug/L
I01-11010-1,Dissolved,Chromium 6+,<,0.01,ug/L
I00-11468-1,Dissolved,Chromium 6+,<,0.1,ug/L
J01-10004-1 (J01P01),Total,Chromium 6+,NA,0.27,ug/L
J01-10004-1 (J01P01),Dissolved,Chromium 6+,NA,0.22,ug/L
L01-749-2,Total,Chromium 6+,<,0.1,ug/L
L05-503-1,Total,Chromium 6+,<,0.01,ug/L
L01-724-4 (L01P03),Total,Chromium 6+,NA,0.21,ug/L
L01-724-1 (L01S01),Total,Chromium 6+,<,0.055,ug/L
L01-749-2,Dissolved,Chromium 6+,<,0.1,ug/L
L05-503-1,Dissolved,Chromium 6+,<,0.01,ug/L
L01-724-4 (L01P03),Dissolved,Chromium 6+,NA,0.22000000000000003,ug/L
L01-724-1 (L01S01),Dissolved,Chromium 6+,<,0.055,ug/L
L01-728-5 (L01-DP),Total,Chromium 6+,NA,0.115,ug/L
K01-12126-1 (K01S01),Total,Chromium 6+,<,0.0515,ug/L
K01-12159-2,Total,Chromium 6+,NA,0.0815,ug/L
K01-12159-3,Total,Chromium 6+,NA,0.355,ug/L
L01-728-5 (L01-DP),Dissolved,Chromium 6+,NA,0.0935,ug/L
K01-12126-1 (K01S01),Dissolved,Chromium 6+,<,0.0185,ug/L
K01-12159-2,Dissolved,Chromium 6+,NA,0.08650000000000001,ug/L
K01-12159-3,Dissolved,Chromium 6+,NA,0.29000000000000004,ug/L
L05-489-3,Total,Chromium 6+,<,0.01,ug/L
L05-049-1,Total,Chromium 6+,NA,0.0775,ug/L
L02-374-1 (L02P50),Total,Chromium 6+,<,0.01,ug/L
L05-489-3,Dissolved,Chromium 6+,<,0.01,ug/L
L05-049-1,Dissolved,Chromium 6+,NA,0.0805,ug/L
L02-374-1 (L02P50),Dissolved,Chromium 6+,<,0.01,ug/L
L01-404-1,Total,Chromium 6+,NA,0.11549999999999999,ug/L
L01-340-1,Total,Chromium 6+,NA,0.04,ug/L
L01-404-1,Dissolved,Chromium 6+,NA,0.115,ug/L
L01-340-1,Dissolved,Chromium 6+,NA,0.0615,ug/L
L02-246-1 (L11P01),Total,Chromium 6+,NA,0.053000000000000005,ug/L
L02-641-1,Total,Chromium 6+,<,0.065,ug/L
L02-641-2,Total,Chromium 6+,NA,0.07,ug/L
L01-731-1 (L08TBN2),Total,Chromium 6+,<,0.022000000000000002,ug/L
L02-166-3 (L02P26),Total,Chromium 6+,NA,0.152,ug/L
L02-246-1 (L11P01),Dissolved,Chromium 6+,NA,0.025500000000000002,ug/L
L02-641-1,Dissolved,Chromium 6+,NA,0.0475,ug/L
L02-641-2,Dissolved,Chromium 6+,NA,0.0445,ug/L
L01-731-1 (L08TBN2),Dissolved,Chromium 6+,<,0.01,ug/L
L02-166-3 (L02P26),Dissolved,Chromium 6+,NA,0.11449999999999999,ug/L
L04-672-1,Total,Chromium 6+,NA,0.0875,ug/L
L04-672-1,Dissolved,Chromium 6+,NA,0.0905,ug/L
M01-042-1 (M01S01),Total,Chromium 6+,<,0.125,ug/L
M02-032-1,Total,Chromium 6+,<,0.01,ug/L
SC1-2,Total,Chromium 6+,<,0.055,ug/L
M02-085-1 (M02P06),Total,Chromium 6+,<,0.055,ug/L
M02-085-2,Total,Chromium 6+,<,0.06,ug/L
M01-042-1 (M01S01),Dissolved,Chromium 6+,<,0.1,ug/L
M02-032-1,Dissolved,Chromium 6+,<,0.01,ug/L
SC1-2,Dissolved,Chromium 6+,<,0.055,ug/L
M02-085-1 (M02P06),Dissolved,Chromium 6+,<,0.055,ug/L
M02-085-2,Dissolved,Chromium 6+,<,0.048499999999999995,ug/L
L03-316-3 (L03P12),Total,Chromium 6+,NA,0.115,ug/L
L03-418-8,Total,Chromium 6+,<,0.031,ug/L
J01-9224-1 (J01P24),Total,Chromium 6+,<,0.0315,ug/L
J01-9224-1 (J01P24),Dissolved,Chromium 6+,<,0.029,ug/L
L01-340-1,Total,Chromium 6+,<,0.04,ug/L
L02-641-1,Total,Chromium 6+,NA,0.065,ug/L
L01-731-1 (L08TBN2),Total,Chromium 6+,NA,0.022000000000000002,ug/L
L02-246-1 (L11P01),Dissolved,Chromium 6+,<,0.025500000000000002,ug/L
L01-726-5,Total,Chromium 6+,NA,0.62,ug/L
K01-12126-1 (K01S01),Total,Chromium 6+,NA,0.0515,ug/L
L01-726-5,Dissolved,Chromium 6+,NA,0.61,ug/L
K01-12126-1 (K01S01),Dissolved,Chromium 6+,NA,0.0185,ug/L
I01-11010-1,Total,Chromium 6+,NA,0.0185,ug/L
M02-085-2,Total,Chromium 6+,NA,0.06,ug/L
M02-085-2,Dissolved,Chromium 6+,NA,0.048499999999999995,ug/L
L04-266-5,Total,"Chromium, Total",NA,0.395,ug/L
I01-11343-2 (I02P18),Total,"Chromium, Total",NA,0.36,ug/L
L04-266-5,Dissolved,"Chromium, Total",<,0.175,ug/L
I01-11343-2 (I02P18),Dissolved,"Chromium, Total",<,0.15000000000000002,ug/L
L03-418-8,Total,"Chromium, Total",NA,0.21000000000000002,ug/L
K01-12177-1 (K01P07),Total,"Chromium, Total",NA,1.01,ug/L
J03-9221-1 (J03P02),Total,"Chromium, Total",NA,0.335,ug/L
J01-9224-1 (J01P24),Total,"Chromium, Total",NA,0.46499999999999997,ug/L
J01-9224-2 (J01P25),Total,"Chromium, Total",<,0.1,ug/L
L03-418-8,Dissolved,"Chromium, Total",NA,0.16,ug/L
K01-12177-1 (K01P07),Dissolved,"Chromium, Total",NA,0.8500000000000001,ug/L
J03-9221-1 (J03P02),Dissolved,"Chromium, Total",NA,0.26,ug/L
J01-9224-1 (J01P24),Dissolved,"Chromium, Total",NA,0.19,ug/L
J01-9224-2 (J01P25),Dissolved,"Chromium, Total",<,0.1,ug/L
L03-662-3 (L03P16),Total,"Chromium, Total",NA,0.21500000000000002,ug/L
L03-214-2 (L03P18),Total,"Chromium, Total",NA,0.64,ug/L
L03-316-3 (L03P12),Total,"Chromium, Total",NA,0.6749999999999999,ug/L
L03-662-3 (L03P16),Dissolved,"Chromium, Total",NA,0.28,ug/L
L03-214-2 (L03P18),Dissolved,"Chromium, Total",NA,0.4,ug/L
L03-316-3 (L03P12),Dissolved,"Chromium, Total",NA,0.20500000000000002,ug/L
J01-9992-1 (J01P27),Total,"Chromium, Total",NA,1.35,ug/L
J01-9131-1 (J01P28),Total,"Chromium, Total",NA,1.3199999999999998,ug/L
J01-9007-1 (J02P05),Total,"Chromium, Total",NA,1.45,ug/L
J01-9992-1 (J01P27),Dissolved,"Chromium, Total",NA,1.1,ug/L
J01-9131-1 (J01P28),Dissolved,"Chromium, Total",NA,0.44,ug/L
J01-9007-1 (J02P05),Dissolved,"Chromium, Total",NA,1.2999999999999998,ug/L
J06-10011-1 (J06P01),Total,"Chromium, Total",NA,0.41000000000000003,ug/L
J06-9079-1 (J06P03),Total,"Chromium, Total",NA,0.78,ug/L
J01-9082-2,Total,"Chromium, Total",NA,0.815,ug/L
J06-10011-1 (J06P01),Dissolved,"Chromium, Total",NA,0.4,ug/L
J06-9079-1 (J06P03),Dissolved,"Chromium, Total",NA,0.6699999999999999,ug/L
J01-9082-2,Dissolved,"Chromium, Total",NA,0.8200000000000001,ug/L
I01-11010-1,Total,"Chromium, Total",<,0.185,ug/L
I00-11468-1,Total,"Chromium, Total",<,0.1,ug/L
I01-11010-1,Dissolved,"Chromium, Total",<,0.1,ug/L
I00-11468-1,Dissolved,"Chromium, Total",<,0.1,ug/L
J01-10004-1 (J01P01),Total,"Chromium, Total",NA,0.54,ug/L
J01-10004-1 (J01P01),Dissolved,"Chromium, Total",NA,0.18,ug/L
L01-749-2,Total,"Chromium, Total",NA,0.29500000000000004,ug/L
L05-503-1,Total,"Chromium, Total",NA,0.195,ug/L
L01-724-4 (L01P03),Total,"Chromium, Total",NA,0.56,ug/L
L01-724-1 (L01S01),Total,"Chromium, Total",NA,0.285,ug/L
L01-749-2,Dissolved,"Chromium, Total",<,0.1,ug/L
L05-503-1,Dissolved,"Chromium, Total",NA,0.19,ug/L
L01-724-4 (L01P03),Dissolved,"Chromium, Total",NA,0.47,ug/L
L01-724-1 (L01S01),Dissolved,"Chromium, Total",<,0.175,ug/L
L01-728-5 (L01-DP),Total,"Chromium, Total",<,0.21000000000000002,ug/L
K01-12126-1 (K01S01),Total,"Chromium, Total",NA,0.585,ug/L
K01-12159-2,Total,"Chromium, Total",NA,0.595,ug/L
K01-12159-3,Total,"Chromium, Total",NA,0.72,ug/L
L01-728-5 (L01-DP),Dissolved,"Chromium, Total",<,0.18,ug/L
K01-12126-1 (K01S01),Dissolved,"Chromium, Total",NA,0.31000000000000005,ug/L
K01-12159-2,Dissolved,"Chromium, Total",NA,0.4,ug/L
K01-12159-3,Dissolved,"Chromium, Total",NA,0.595,ug/L
L05-489-3,Total,"Chromium, Total",NA,0.4,ug/L
L05-049-1,Total,"Chromium, Total",NA,0.345,ug/L
L02-374-1 (L02P50),Total,"Chromium, Total",NA,0.38999999999999996,ug/L
L05-489-3,Dissolved,"Chromium, Total",NA,0.165,ug/L
L05-049-1,Dissolved,"Chromium, Total",NA,0.295,ug/L
L02-374-1 (L02P50),Dissolved,"Chromium, Total",NA,0.15000000000000002,ug/L
L01-404-1,Total,"Chromium, Total",NA,0.365,ug/L
L01-340-1,Total,"Chromium, Total",NA,0.195,ug/L
L01-404-1,Dissolved,"Chromium, Total",NA,0.265,ug/L
L01-340-1,Dissolved,"Chromium, Total",NA,0.21500000000000002,ug/L
L02-246-1 (L11P01),Total,"Chromium, Total",NA,0.31,ug/L
L02-641-1,Total,"Chromium, Total",NA,0.325,ug/L
L02-641-2,Total,"Chromium, Total",NA,0.375,ug/L
L01-731-1 (L08TBN2),Total,"Chromium, Total",NA,0.255,ug/L
L02-166-3 (L02P26),Total,"Chromium, Total",NA,0.41000000000000003,ug/L
L02-246-1 (L11P01),Dissolved,"Chromium, Total",NA,0.265,ug/L
L02-641-1,Dissolved,"Chromium, Total",NA,0.28,ug/L
L02-641-2,Dissolved,"Chromium, Total",NA,0.29000000000000004,ug/L
L01-731-1 (L08TBN2),Dissolved,"Chromium, Total",<,0.1,ug/L
L02-166-3 (L02P26),Dissolved,"Chromium, Total",NA,0.345,ug/L
L04-672-1,Total,"Chromium, Total",NA,0.45,ug/L
L04-672-1,Dissolved,"Chromium, Total",NA,0.325,ug/L
M01-042-1 (M01S01),Total,"Chromium, Total",NA,0.8899999999999999,ug/L
M02-032-1,Total,"Chromium, Total",NA,0.665,ug/L
SC1-2,Total,"Chromium, Total",NA,0.41000000000000003,ug/L
M02-085-1 (M02P06),Total,"Chromium, Total",NA,0.45,ug/L
M02-085-2,Total,"Chromium, Total",NA,0.625,ug/L
M01-042-1 (M01S01),Dissolved,"Chromium, Total",NA,0.95,ug/L
M02-032-1,Dissolved,"Chromium, Total",NA,0.335,ug/L
SC1-2,Dissolved,"Chromium, Total",NA,0.345,ug/L
M02-085-1 (M02P06),Dissolved,"Chromium, Total",NA,0.44999999999999996,ug/L
M02-085-2,Dissolved,"Chromium, Total",NA,0.32999999999999996,ug/L
L03-662-3 (L03P16),Total,"Chromium, Total",<,0.21500000000000002,ug/L
L03-662-3 (L03P16),Dissolved,"Chromium, Total",<,0.28,ug/L
L03-316-3 (L03P12),Dissolved,"Chromium, Total",<,0.20500000000000002,ug/L
J01-10004-1 (J01P01),Dissolved,"Chromium, Total",<,0.18,ug/L
L03-418-8,Total,"Chromium, Total",<,0.21000000000000002,ug/L
J01-9224-1 (J01P24),Total,"Chromium, Total",<,0.46499999999999997,ug/L
L03-418-8,Dissolved,"Chromium, Total",<,0.16,ug/L
K01-12177-1 (K01P07),Dissolved,"Chromium, Total",<,0.8500000000000001,ug/L
J01-9224-1 (J01P24),Dissolved,"Chromium, Total",<,0.19,ug/L
L04-266-5,Dissolved,"Chromium, Total",NA,0.175,ug/L
I01-11343-2 (I02P18),Dissolved,"Chromium, Total",NA,0.15000000000000002,ug/L
L01-340-1,Total,"Chromium, Total",<,0.195,ug/L
L01-731-1 (L08TBN2),Total,"Chromium, Total",<,0.255,ug/L
L05-489-3,Dissolved,"Chromium, Total",<,0.165,ug/L
L02-374-1 (L02P50),Dissolved,"Chromium, Total",<,0.15000000000000002,ug/L
L05-503-1,Total,"Chromium, Total",<,0.195,ug/L
L01-724-1 (L01S01),Total,"Chromium, Total",<,0.285,ug/L
L05-503-1,Dissolved,"Chromium, Total",<,0.19,ug/L
L01-724-1 (L01S01),Dissolved,"Chromium, Total",NA,0.175,ug/L
L01-726-5,Total,"Chromium, Total",NA,1.9,ug/L
L01-728-5 (L01-DP),Total,"Chromium, Total",NA,0.21000000000000002,ug/L
L01-726-5,Dissolved,"Chromium, Total",NA,0.67,ug/L
L01-728-5 (L01-DP),Dissolved,"Chromium, Total",NA,0.18,ug/L
I01-11010-1,Total,"Chromium, Total",NA,0.185,ug/L
L04-266-5,Total,"Copper, Total",NA,3.1,ug/L
I01-11343-2 (I02P18),Total,"Copper, Total",NA,6.7,ug/L
L04-266-5,Dissolved,"Copper, Total",NA,1.9500000000000002,ug/L
I01-11343-2 (I02P18),Dissolved,"Copper, Total",NA,7.5,ug/L
L03-418-8,Total,"Copper, Total",NA,4.05,ug/L
K01-12177-1 (K01P07),Total,"Copper, Total",NA,8.65,ug/L
J03-9221-1 (J03P02),Total,"Copper, Total",NA,3.1500000000000004,ug/L
J01-9224-1 (J01P24),Total,"Copper, Total",NA,5.199999999999999,ug/L
J01-9224-2 (J01P25),Total,"Copper, Total",NA,0.765,ug/L
L03-418-8,Dissolved,"Copper, Total",NA,2.95,ug/L
K01-12177-1 (K01P07),Dissolved,"Copper, Total",NA,6,ug/L
J03-9221-1 (J03P02),Dissolved,"Copper, Total",NA,2.5999999999999996,ug/L
J01-9224-1 (J01P24),Dissolved,"Copper, Total",NA,3.3,ug/L
J01-9224-2 (J01P25),Dissolved,"Copper, Total",NA,0.785,ug/L
L03-662-3 (L03P16),Total,"Copper, Total",NA,6.8,ug/L
L03-214-2 (L03P18),Total,"Copper, Total",NA,5.8,ug/L
L03-316-3 (L03P12),Total,"Copper, Total",NA,16.45,ug/L
L03-662-3 (L03P16),Dissolved,"Copper, Total",NA,7.8,ug/L
L03-214-2 (L03P18),Dissolved,"Copper, Total",NA,4.1,ug/L
L03-316-3 (L03P12),Dissolved,"Copper, Total",NA,4.7,ug/L
J01-9992-1 (J01P27),Total,"Copper, Total",NA,5.3,ug/L
J01-9131-1 (J01P28),Total,"Copper, Total",NA,11.5,ug/L
J01-9007-1 (J02P05),Total,"Copper, Total",NA,4.15,ug/L
J01-9992-1 (J01P27),Dissolved,"Copper, Total",NA,4.45,ug/L
J01-9131-1 (J01P28),Dissolved,"Copper, Total",NA,9.05,ug/L
J01-9007-1 (J02P05),Dissolved,"Copper, Total",NA,3.8499999999999996,ug/L
J06-10011-1 (J06P01),Total,"Copper, Total",NA,5.05,ug/L
J06-9079-1 (J06P03),Total,"Copper, Total",NA,3.1,ug/L
J01-9082-2,Total,"Copper, Total",NA,3.9,ug/L
J06-10011-1 (J06P01),Dissolved,"Copper, Total",NA,3.1,ug/L
J06-9079-1 (J06P03),Dissolved,"Copper, Total",NA,2.35,ug/L
J01-9082-2,Dissolved,"Copper, Total",NA,2.65,ug/L
I01-11010-1,Total,"Copper, Total",NA,2.45,ug/L
I00-11468-1,Total,"Copper, Total",NA,1.4,ug/L
I01-11010-1,Dissolved,"Copper, Total",NA,2,ug/L
I00-11468-1,Dissolved,"Copper, Total",NA,1.5,ug/L
J01-10004-1 (J01P01),Total,"Copper, Total",NA,4.300000000000001,ug/L
J01-10004-1 (J01P01),Dissolved,"Copper, Total",NA,1.85,ug/L
L01-749-2,Total,"Copper, Total",NA,2.25,ug/L
L05-503-1,Total,"Copper, Total",NA,3.35,ug/L
L01-724-4 (L01P03),Total,"Copper, Total",NA,6.7,ug/L
L01-724-1 (L01S01),Total,"Copper, Total",NA,10.6,ug/L
L01-749-2,Dissolved,"Copper, Total",NA,1.4,ug/L
L05-503-1,Dissolved,"Copper, Total",NA,2.3499999999999996,ug/L
L01-724-4 (L01P03),Dissolved,"Copper, Total",NA,5.8,ug/L
L01-724-1 (L01S01),Dissolved,"Copper, Total",NA,7.75,ug/L
L01-728-5 (L01-DP),Total,"Copper, Total",NA,5.35,ug/L
K01-12126-1 (K01S01),Total,"Copper, Total",NA,8.45,ug/L
K01-12159-2,Total,"Copper, Total",NA,6.3,ug/L
K01-12159-3,Total,"Copper, Total",NA,9.8,ug/L
L01-728-5 (L01-DP),Dissolved,"Copper, Total",NA,4.3,ug/L
K01-12126-1 (K01S01),Dissolved,"Copper, Total",NA,5.199999999999999,ug/L
K01-12159-2,Dissolved,"Copper, Total",NA,4.449999999999999,ug/L
K01-12159-3,Dissolved,"Copper, Total",NA,5.05,ug/L
L05-489-3,Total,"Copper, Total",NA,2.1500000000000004,ug/L
L05-049-1,Total,"Copper, Total",NA,3.3499999999999996,ug/L
L02-374-1 (L02P50),Total,"Copper, Total",NA,3.35,ug/L
L05-489-3,Dissolved,"Copper, Total",NA,1.15,ug/L
L05-049-1,Dissolved,"Copper, Total",NA,3.25,ug/L
L02-374-1 (L02P50),Dissolved,"Copper, Total",NA,2.95,ug/L
L01-404-1,Total,"Copper, Total",NA,4.3,ug/L
L01-340-1,Total,"Copper, Total",NA,5.1,ug/L
L01-404-1,Dissolved,"Copper, Total",NA,4.2,ug/L
L01-340-1,Dissolved,"Copper, Total",NA,4.45,ug/L
L02-246-1 (L11P01),Total,"Copper, Total",NA,4.6,ug/L
L02-641-1,Total,"Copper, Total",NA,5.15,ug/L
L02-641-2,Total,"Copper, Total",NA,6.5,ug/L
L01-731-1 (L08TBN2),Total,"Copper, Total",NA,4.05,ug/L
L02-166-3 (L02P26),Total,"Copper, Total",NA,5.9,ug/L
L02-246-1 (L11P01),Dissolved,"Copper, Total",NA,4.2,ug/L
L02-641-1,Dissolved,"Copper, Total",NA,3.8,ug/L
L02-641-2,Dissolved,"Copper, Total",NA,6,ug/L
L01-731-1 (L08TBN2),Dissolved,"Copper, Total",NA,3.25,ug/L
L02-166-3 (L02P26),Dissolved,"Copper, Total",NA,3.85,ug/L
L04-672-1,Total,"Copper, Total",NA,2.9,ug/L
L04-672-1,Dissolved,"Copper, Total",NA,1.95,ug/L
M01-042-1 (M01S01),Total,"Copper, Total",NA,5.75,ug/L
M02-032-1,Total,"Copper, Total",NA,3.4000000000000004,ug/L
SC1-2,Total,"Copper, Total",NA,4.75,ug/L
M02-085-1 (M02P06),Total,"Copper, Total",NA,3.05,ug/L
M02-085-2,Total,"Copper, Total",NA,5.9,ug/L
M01-042-1 (M01S01),Dissolved,"Copper, Total",NA,5.95,ug/L
M02-032-1,Dissolved,"Copper, Total",NA,2.7,ug/L
SC1-2,Dissolved,"Copper, Total",NA,3.55,ug/L
M02-085-1 (M02P06),Dissolved,"Copper, Total",NA,2.9000000000000004,ug/L
M02-085-2,Dissolved,"Copper, Total",NA,4.85,ug/L
L01-726-5,Total,"Copper, Total",NA,6.3,ug/L
L01-726-5,Dissolved,"Copper, Total",NA,4.6,ug/L
L04-266-5,Total,Dissolved Organic Carbon,NA,6.35,ug/L
I01-11343-2 (I02P18),Total,Dissolved Organic Carbon,NA,39.5,ug/L
L03-418-8,Total,Dissolved Organic Carbon,NA,8.6,ug/L
K01-12177-1 (K01P07),Total,Dissolved Organic Carbon,NA,6.75,ug/L
J03-9221-1 (J03P02),Total,Dissolved Organic Carbon,NA,8.95,ug/L
J01-9224-1 (J01P24),Total,Dissolved Organic Carbon,NA,7.05,ug/L
J01-9224-2 (J01P25),Total,Dissolved Organic Carbon,NA,1.8,ug/L
L03-662-3 (L03P16),Total,Dissolved Organic Carbon,NA,12.5,ug/L
