OBJECTID,LOCDESC,SIZE1,LASTUPDATE,LASTEDITOR,SIZE2,SIZE3,CatchID,DrainID,INSPECTED,FACTYPE,JURISDICTI,MANAGEMENT,GlobalID,PRIORITY,FLOWMONITSTATUS,FLOWMONITDEPLOY,FLOWMONITRETURN,NEXTINSPECTION,POINT_X,POINT_Y,PERSISTENTFLOW,FACILITYID,SURVEYLINK,ACCESSIBILITY,FLOWMEASCOUNT,LASTDISCHARGE,LASTDISCHARGETREND,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,PRIORITIZATIONSCORE2022,SAMPLECHWSRSDRY,SAMPLECHWSRSWET,SAMPLEDRY,SAMPLEWET,OCFSLOCATION
16,Avenida la Pata and Avenida Pico,120,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,032,M02,Verified,Outfall,SAN CLEMENTE,SOUTH,{2B10F0C1-0E21-4FE4-B6F6-8806D0E7CC45},Priority,NA,NA,NA,NA,-117.6008317,33.45754739,Yes,M02-032-1,NA,Easily accessibility,14,0.285,20% Or More Above Average Discharge,1.78928571,0.07235714,3.49571428,0.234014,0.54,0.075,70,NA,NA,Yes,NA,NA
17,K01P02,84,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12159,K01,Not-Found,Outfall,DANA POINT,SOUTH,{AC155FA3-6D39-4C35-9CD7-023EE0F33BB8},NA,NA,NA,NA,NA,-117.71529073,33.48078094,Unknown,K01-12159-1 (K01P02),NA,Unaccessible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,L01-DP,60,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,728,L01,Verified,Outfall,DANA POINT,SOUTH,{239C7351-6675-4B26-B959-1D8B4D6371A5},Priority,3,2016-12-12T00:00:00Z,2017-01-26T00:00:00Z,NA,-117.68222336,33.46822415,Yes,L01-728-5 (L01-DP),NA,Easily accessibility,18,0.005312,Below Average Discharge,0.65777777,0.02433333,13.42222222,0.012099,0.087273,0.00159,22,NA,NA,Yes,NA,NA
19,NA,30,2022-11-17T16:51:46Z,OCPWPublisher,NA,NA,728,L01,Verified,Outfall,DANA POINT,SOUTH,{87F2F346-2A95-465B-9529-A030D3DAEC5F},NA,NA,NA,NA,NA,-117.68258983,33.46675048,Unknown,L01-728-4,NA,Easily accessibility,3,0.021,20% Or More Above Average Discharge,0.23333333,0.01,2,0.007,0.021,0,NA,NA,NA,NA,NA,NA
20,M00P01,NA,2022-05-19T15:43:40Z,OCENVRESUSER,4,6,026,SC11,Verified,Box,DANA POINT,SOUTH,{7BC19F3E-F96A-4680-97D9-CFCD38CE4F28},NA,NA,NA,NA,NA,-117.66648411,33.45392453,Unknown,SC11-026-1 (M00P01),NA,Easily accessibility,11,0.099,20% Or More Above Average Discharge,1.97727272,0.024,4.54545454,0.060573,0.18,0,NA,NA,NA,NA,NA,NA
21,LB2,24,2022-10-04T00:37:42Z,OCENVRESUSER,NA,NA,11019,LC06,Verified,Outfall,LAGUNA BEACH,SOUTH,{4234D10E-D9CC-4748-92EA-FECEEAEBE008},NA,NA,NA,NA,NA,-117.78946047,33.54303857,Yes,LC06-11019-1,NA,Easily accessibility,9,0.00265,Below Average Discharge,0.52222222,0.08111111,11.81777777,0.028496,0.12,0.002,NA,NA,NA,NA,NA,NA
22,Divers cove,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,11508,LC02,Verified,Outfall,LAGUNA BEACH,SOUTH,{7A79C33A-1E84-41B0-AAFC-7A7C54A33C8A},NA,NA,NA,NA,NA,-117.7946238,33.54503213,Unknown,LC02-11508-3,NA,Easily accessibility,11,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
23,NA,66,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9040,J01,Verified,Outfall,LAKE FOREST,SOUTH,{7E5CB88D-6665-452A-804A-655CBEAB830F},NA,NA,NA,NA,NA,-117.623537,33.678031,Yes,J01-9040-1,NA,Easily accessibility,3,0,Below Average Discharge,3.7,3.03333333,74.01333333,0.449715,0.867895,0,NA,NA,NA,NA,NA,NA
24,Daylight of Glass Creek,54,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9031,J01,Verified,Outfall,LAKE FOREST,SOUTH,{845D0596-F79C-47AB-8A96-2BF5F46A5F2D},Priority,NA,NA,NA,NA,-117.63885049,33.67284809,Unknown,J01-9031-1,NA,Difficult accessibility,3,0.048,20% Or More Above Average Discharge,0.66666666,0.03333333,5,0.037166,0.056,0.0075,50,NA,NA,Yes,NA,NA
25,Daylight of Glass Creek,72,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9264,J01,Verified,Outfall,LAKE FOREST,SOUTH,{86AB9BCD-9766-418C-889A-A078524BE271},NA,NA,NA,NA,NA,-117.65406845,33.66346514,Yes,J01-9264-1 (J01P06),NA,Easily accessibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,J01TBN8,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9377,J01,Verified,Outfall,LAKE FOREST,SOUTH,{0F35296A-ECE2-4C19-BD75-E6442A50F57C},NA,NA,NA,NA,NA,-117.65341104,33.66001815,Unknown,J01-9377-2 (J01TBN8),NA,Easily accessibility,10,0,Below Average Discharge,0.03,0.001,4.2,4.2e-5,4.29e-4,0,NA,NA,NA,NA,NA,NA
27,NA,36,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9377,J01,Verified,Outfall,LAKE FOREST,SOUTH,{3B4E9F27-523C-4F6B-A986-26E060B631EF},Priority,NA,NA,NA,NA,-117.65776843,33.65809197,Unknown,J01-9377-1,NA,Easily accessibility,9,0.001,Below Average Discharge,0.18444444,0.00944444,42,0.001959,0.012,0,22,NA,NA,Yes,NA,NA
28,NA,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9048,J01,Verified,Outfall,LAKE FOREST,SOUTH,{19DDAD1C-5EA4-48A5-A6BA-E9E51C3D07EA},NA,NA,NA,NA,NA,-117.66596472,33.64470606,Unknown,J01-9048-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,El Toro Rd and Raintree,36,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9349,J01,Verified,Outfall,LAKE FOREST,SOUTH,{0C4B2C1F-221A-4822-9ED8-4F1AF591803F},NA,NA,NA,NA,NA,-117.66581629,33.64412251,Unknown,J01-9349-1,NA,Easily accessibility,6,0,Below Average Discharge,0.23333333,0.01,8.16666666,0.00615,0.024,0,NA,NA,NA,Yes,NA,NA
30,J01-Normandale,42,2022-10-05T21:17:43Z,OCENVRESUSER,NA,NA,9046,J01,Verified,Outfall,LAKE FOREST,SOUTH,{2E617AF1-4DE3-4D23-81BF-39FAD4E9D040},NA,3,2016-12-12T00:00:00Z,2017-01-26T00:00:00Z,NA,-117.65968666,33.65446074,Unknown,J01-9046-2,NA,Easily accessibility,13,0.008,Below Average Discharge,0.46423076,0.03584615,7.88923076,0.107098,1.227273,0,NA,NA,NA,NA,Yes,NA
31,"Normandale - 30"" drain",24,2022-10-04T23:29:24Z,OCENVRESUSER,NA,NA,9046,J01,Verified,Outfall,LAKE FOREST,SOUTH,{7B37BD5E-90A3-4DC7-8721-402EFF48BB71},NA,NA,NA,NA,NA,-117.65979766,33.65453345,Unknown,J01-9046-1,NA,Easily accessibility,10,0.0082,20% Or More Above Average Discharge,0.291,0.012,6,0.00512,0.0246,0,NA,NA,NA,NA,NA,NA
32,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9046,J01,Verified,Outfall,LAKE FOREST,SOUTH,{C52723D5-88DF-4B27-A94D-AEE8BFE85FDF},NA,NA,NA,NA,NA,-117.65941801,33.65614256,Yes,J01-9046-3,NA,Easily accessibility,9,0.003,Above Average Discharge,0.27444444,0.00888888,5.44444444,0.002881,0.005333,0,NA,NA,NA,NA,NA,NA
33,J01P30,84,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9008,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{87FF3E7F-0CD3-43AB-8A99-DD46A197D6A4},Priority,3,2016-09-27T07:00:00Z,2016-11-16T08:00:00Z,NA,-117.71330932,33.576771720000004,Yes,J01-9008-1 (J01P30),NA,Easily accessibility,18,0.008506,Below Average Discharge,1.86361111,0.09,20.96944444,0.0542,0.131461,0.008506,62,NA,NA,NA,NA,Yes
34,J01TBN4,48,2022-10-04T00:13:38Z,OCENVRESUSER,NA,NA,10017,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{3A09A49C-9DAA-4A66-898F-7D6115463F96},Priority,NA,NA,NA,NA,-117.71707369,33.57090835,Yes,J01-10017-1 (J01TBN4),NA,Easily accessibility,14,0.009109,Below Average Discharge,1.15357142,0.05350714,29.02857142,0.015398,0.0364,0.005143,43,NA,NA,NA,NA,NA
35,J01TBN5,15,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,10018,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{15C5F8AF-5C9F-49A2-B6CA-F2EC6030B5F9},NA,NA,NA,NA,NA,-117.71797761,33.56881722,Unknown,J01-10018-1 (J01TBN5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,J01TBN6,0,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,10019,J01,Not-Found,Outfall,ALISO VIEJO,SOUTH,{A628C928-7504-463F-B71A-9F28537FB823},NA,NA,NA,NA,NA,-117.71823984,33.56532946,Unknown,J01-10019-2 (J01TBN6),NA,Difficult accessibility,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
37,J01TBN7,18,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9224,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{DC61B3B6-6D40-47F8-92D7-8FE7CB907294},NA,NA,NA,NA,NA,-117.71663865,33.56108035,Unknown,J01-9224-3 (J01TBN7),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,J01P25 - Laguna Niguel Skate and Soccer Park @ Alicia Pkwy,39,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9224,J01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{7BFD7882-593A-4F10-AAF7-CC4B57726763},Priority,3,2016-07-27T07:00:00Z,2016-08-11T07:00:00Z,NA,-117.71767994,33.55761613,Yes,J01-9224-2 (J01P25),NA,Easily accessibility,17,0.041236,Below Average Discharge,0.98588235,0.10052941,12.04882352,0.097083,0.23504,0.041236,79,NA,NA,Yes,NA,NA
39,J01P24 - Laguna Skate and Soccer Park at Alicia Pkwy,54,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,9224,J01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{0066DC99-7D9F-42BE-ABDB-C06A68E52A0F},Priority,3,2016-07-20T07:00:00Z,2016-08-03T07:00:00Z,NA,-117.71779825,33.55648201,Yes,J01-9224-1 (J01P24),NA,Easily accessibility,16,0.0165,Below Average Discharge,1.00475,0.06828125,23.08125,0.024552,0.09,0.0014,62,NA,NA,Yes,NA,NA
40,NA,18,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9144,J01,Verified,Outfall,ALISO VIEJO,SOUTH,{8CD95760-1A01-4B7C-B21E-1F16C78F6B04},NA,NA,NA,NA,NA,-117.71839378,33.55580697,Unknown,J01-9144-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,J01P23,96,2022-10-04T00:15:17Z,OCENVRESUSER,NA,NA,9144,J01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{61303168-3951-41A3-9F99-5A1FBF0706F7},Priority,NA,NA,NA,NA,-117.71895089,33.554894,Yes,J01-9144-1 (J01P23),NA,Easily accessibility,15,5.63e-4,Below Average Discharge,0.768,0.01703333,17.37333333,0.018688,0.146484,5.63e-4,52,NA,NA,NA,NA,NA
42,NA,18,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9144,J01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{E435F82E-ECA0-4BFB-A8EB-0142E98A9855},NA,NA,NA,NA,NA,-117.71887601,33.55499918,Unknown,J01-9144-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,18,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,10041,J01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{F1A86142-DBA4-42BB-8221-72A6C95051FD},NA,NA,NA,NA,NA,-117.71865639,33.55488534,Unknown,J01-10041-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9096,J01,Not-Found,Outfall,LAGUNA HILLS,SOUTH,{7824354E-0097-4F6A-AAB4-C94D938C0884},NA,NA,NA,NA,NA,-117.70817679,33.58278435,Unknown,J01-9096-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,24,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9096,J01,Not-Found,Outfall,LAGUNA HILLS,SOUTH,{1413D2C3-58DC-45F2-B8AA-D5392651E317},NA,NA,NA,NA,NA,-117.70781918,33.58302575,Unknown,J01-9096-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9271,J05,Verified,Outfall,LAGUNA HILLS,SOUTH,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},NA,NA,NA,NA,NA,-117.70449132,33.58731405,Unknown,J05-9271-6,NA,Difficult accessibility,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
47,NA,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9800,J05,Verified,Outfall,LAGUNA HILLS,SOUTH,{61C8BB11-6A81-453E-B067-468DF1EBE6F9},NA,NA,NA,NA,NA,-117.70439493,33.58673335,Unknown,J05-9800-1,NA,Unaccessible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9800,J05,Verified,Outfall,LAGUNA HILLS,SOUTH,{B447E738-FF4A-4052-83BC-409EFD00CC89},NA,NA,NA,NA,NA,-117.70159449,33.58919536,Unknown,J05-9800-2,NA,Easily accessibility,13,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
49,NA,36,2022-10-04T00:14:35Z,OCENVRESUSER,NA,NA,9066,J01,Verified,Outfall,MISSION VIEJO,SOUTH,{44FB9709-D45F-44FA-A0BF-A0B51C5584F8},Priority,NA,NA,NA,NA,-117.69288756,33.6093405,Yes,J01-9066-1 (J01P04),NA,Easily accessibility,12,0.007772,Below Average Discharge,0.78333333,0.02648333,13.27583333,0.014702,0.052,1.95e-4,41,NA,NA,NA,NA,NA
50,J01P03,81,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,9066,J01,Verified,Outfall,MISSION VIEJO,SOUTH,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},Priority,3,2016-07-27T07:00:00Z,2016-08-11T07:00:00Z,NA,-117.69276829,33.61059435,Yes,J01-9066-2 (J01P03),NA,Easily accessibility,23,0.052529,Below Average Discharge,1.0823913,0.05540434,4.43652173,0.089177,0.365414,0.017671,64,NA,NA,NA,NA,Yes
51,NA,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9066,J01,Verified,Outfall,LAKE FOREST,SOUTH,{EA507FFF-90B9-4B7C-A25C-4FCAE97A9C80},NA,NA,NA,NA,NA,-117.69296147,33.61102628,Unknown,J01-9066-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,El Toro Park - Muirlands and Los Alisos,60,2022-10-04T23:29:17Z,OCENVRESUSER,NA,NA,9785,J01,Verified,Outfall,LAKE FOREST,SOUTH,{91338D15-19F3-4699-83FA-4C17B2C07214},NA,NA,NA,NA,NA,-117.69366498,33.61716175,Yes,J01-9785-1,NA,Easily accessibility,9,0,Below Average Discharge,1.09333333,0.01722222,33.47777777,0.005998,0.026959,0,NA,NA,NA,NA,NA,NA
53,J01P32,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9359,J01,Verified,Outfall,LAKE FOREST,SOUTH,{0C412167-0198-4A3A-BF90-BC6661F03204},NA,NA,NA,NA,NA,-117.68938656,33.62287913,Unknown,J01-9359-1 (J01P32),NA,Easily accessibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Overflow for storm flow (90% of time it is closed) - no need to inspect  ,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9359,J01,Removed from Inventory,Outfall,LAKE FOREST,SOUTH,{3331432E-118F-4592-A1B3-BE999F86DE7A},NA,NA,NA,NA,NA,-117.68928885,33.62281287,Unknown,J01-9359-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,18,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9058,J01,Verified,Outfall,LAKE FOREST,SOUTH,{E1103331-8036-4F77-BC91-180C7034DBA9},NA,NA,NA,NA,NA,-117.68456302,33.62692254,Unknown,J01-9058-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,10006,J01,Verified,Outfall,LAKE FOREST,SOUTH,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},NA,NA,NA,NA,NA,-117.68367057,33.62836754,Yes,J01-10006-1,NA,Easily accessibility,2,0,Equal,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
57,Munger - Trabuco Rd and El Toro Rd,96,2022-10-05T20:57:52Z,OCENVRESUSER,5.5,9,10004,J01,Verified,Box,LAKE FOREST,SOUTH,{2B86E2C7-7931-456A-BDF6-8E5B829C36D2},Priority,3,2016-07-19T07:00:00Z,2016-08-02T07:00:00Z,NA,-117.67690046,33.63341124,Yes,J01-10004-1 (J01P01),NA,Easily accessibility,14,0.113333,Below Average Discharge,3.77428571,0.40942857,28.68357142,0.31136,1.766091,0.113333,85,NA,NA,Yes,NA,NA
58,J01TBN3,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9782,J01,Verified,Outfall,LAKE FOREST,SOUTH,{91E48869-6AD5-41B7-8A9B-640ED2238B02},NA,NA,NA,NA,NA,-117.6769216,33.63275609,Unknown,J01-9782-1 (J01TBN3),NA,Easily accessibility,8,0.004835,20% Or More Above Average Discharge,0.11875,0.0075,3.61125,0.00112,0.004835,0,NA,NA,NA,NA,NA,NA
59,NA,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,10004,J01,Verified,Outfall,LAKE FOREST,SOUTH,{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},NA,NA,NA,NA,NA,-117.6746996,33.63406841,Yes,J01-10004-2,NA,Easily accessibility,7,0.00128,20% Or More Above Average Discharge,0.14857142,0.00714285,18,7.54e-4,0.004,0,NA,NA,NA,NA,NA,NA
60,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,9275,J01,Verified,Outfall,LAKE FOREST,SOUTH,{D1EBB0B7-3D03-4EE5-8D43-EF34E157DB50},NA,NA,NA,NA,NA,-117.66135278,33.64907787,Unknown,J01-9275-1,NA,Easily accessibility,10,0,Below Average Discharge,0.03,0.01,0.6,0.003,0.03,0,NA,NA,NA,NA,NA,NA
