FACILITYID,area_acres,JURISDICTI,AVGDISCHARGE,SAMPLEDRY,PERSISTENTFLOW
K01-12155-5,147.04555016,LAGUNA NIGUEL,0.057377,NA,Unknown
L01-125-1,362.07575558,RANCHO SANTA MARGARITA,NA,NA,Yes
L01-125-2,113.27048633,RANCHO SANTA MARGARITA,0.021,NA,Yes
L01-125-3,69.26665813,RANCHO SANTA MARGARITA,0.034201,NA,Yes
L01-218-1,66.55096754,RANCHO SANTA MARGARITA,NA,NA,Yes
L01-218-2,32.56312287,RANCHO SANTA MARGARITA,0.021185,NA,Yes
L01-218-3,58.59506433,RANCHO SANTA MARGARITA,NA,NA,Yes
L01-218-4,37.33151421,RANCHO SANTA MARGARITA,0.02282,NA,Yes
L01-223-1 (L08TBN1),136.87916674,RANCHO SANTA MARGARITA,0.049092,NA,Yes
L01-261-1,149.63865359,ORANGE CO,0.008102,NA,Yes
L01-335-1,442.4725473,ORANGE CO,0.01107,NA,Yes
L01-340-1,169.47171779,ORANGE CO,0.052773,1,Yes
L01-372-1,117.6149137,ORANGE CO,0.007224,NA,Yes
L01-391-1,29.95853952,ORANGE CO,0,NA,Yes
L01-391-3,85.50832944,ORANGE CO,0.012479,NA,Yes
L01-404-1,237.79044171,ORANGE CO,0.08469,1,Yes
L01-414-1,41.37487005,ORANGE CO,NA,NA,Yes
L01-414-2,6.92037064,ORANGE CO,0,NA,Unknown
L01-414-3,86.8482772,ORANGE CO,0.232035,NA,Yes
L01-471-1,319.331511,ORANGE CO,0.001375,NA,Unknown
L01-494-1,298.6999359,ORANGE CO,0.095255,NA,Yes
L01-517-1,163.63320429,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-517-3,603.8362612,ORANGE CO,0.001664,NA,Yes
L01-517-6,13.85397146,ORANGE CO,0.02934,NA,Yes
L01-556-1,96.73680063,SAN JUAN CAPISTRANO,0.004752,NA,Yes
L01-601-1,10.8002002,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-602-2,62.42339564,SAN JUAN CAPISTRANO,NA,NA,Yes
L01-618-1,92.62287102,SAN JUAN CAPISTRANO,0.081,NA,Yes
L01-618-2,399.49209345,SAN JUAN CAPISTRANO,NA,NA,Yes
L01-618-3,6.92800257,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-618-4,108.67944992,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-618-5 (L01S09),393.00595298,SAN JUAN CAPISTRANO,0.018739,NA,Yes
L01-726-2,2.51489735,DANA POINT,0,NA,Unknown
L01-726-3,11.88573163,DANA POINT,0,NA,Unknown
L01-726-5,68.90709888,DANA POINT,0.01097,1,Yes
L01-726-6,6.21310567,DANA POINT,0,NA,Unknown
L01-726-7,5.74416805,DANA POINT,0,NA,Unknown
L01-726-8,32.32890123,SAN JUAN CAPISTRANO,4.8e-4,NA,Unknown
L01-726-9,89.27240799,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-727-2,0.72723724,DANA POINT,0,NA,Unknown
L01-727-3,4.74021882,DANA POINT,0.007959,NA,Unknown
L01-728-2,95.97299313,DANA POINT,0.001732,NA,Yes
L01-728-3 (L01S02),1014.01862168,DANA POINT,0.438094,NA,Yes
L01-728-6,4.46590424,DANA POINT,0,NA,Unknown
L01-728-7 (L01S03),185.67562068,DANA POINT,0.153355,NA,Yes
L01-730-1,32.58238943,RANCHO SANTA MARGARITA,0.023405,NA,Yes
L01-733-2,120.42916661,ORANGE CO,0.113928,NA,Yes
L01-733-4,50.68731652,ORANGE CO,0,NA,Unknown
L01-747-1,132.61552692,SAN JUAN CAPISTRANO,0.045,NA,Yes
L01-747-2,240.61672041,SAN JUAN CAPISTRANO,0.024409,NA,Yes
L01-748-1,99.91794386,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-749-3,41.93011742,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-760-1,33.51045004,ORANGE CO,0.015615,NA,Yes
L01-760-2,32.57431395,ORANGE CO,0.072438,NA,Yes
L01-766-3,369.98019559,SAN JUAN CAPISTRANO,0.00798,NA,Unknown
L01-766-5,63.97582891,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-766-7,56.73310957,SAN JUAN CAPISTRANO,8.59e-4,NA,Unknown
L02-204-1 (L02P45),53.98208335,RANCHO SANTA MARGARITA,0.021742,NA,Yes
L02-246-1 (L11P01),228.03010278,RANCHO SANTA MARGARITA,0.046996,1,Yes
L02-344-1,178.3182714,ORANGE CO,0,NA,Unknown
L02-359-1 (L02P43),92.45754976,ORANGE CO,0.010162,NA,Yes
L02-374-2 (MVL02P20),84.33765496,ORANGE CO,0.008624,NA,Yes
L02-396-1,193.73528575,MISSION VIEJO,0.023163,NA,Yes
L02-401-1,199.48492042,ORANGE CO,0,NA,Yes
L02-502-6,39.57525956,SAN JUAN CAPISTRANO,NA,NA,Unknown
L02-541-2,7.06807992,SAN JUAN CAPISTRANO,0,NA,Unknown
L02-541-6,17.62492719,SAN JUAN CAPISTRANO,0.002091,NA,Yes
L02-541-7,24.77553865,SAN JUAN CAPISTRANO,0,NA,Unknown
L02-541-9 (L02P02),222.36515452,SAN JUAN CAPISTRANO,0.048641,NA,Yes
L02-622-1 (L02P28),256.93195174,RANCHO SANTA MARGARITA,0.014251,NA,Unknown
L02-622-2 (L02P32),571.54189287,RANCHO SANTA MARGARITA,0.103107,NA,Yes
L02-640-1 (L11P02),508.84556392,RANCHO SANTA MARGARITA,0.163333,NA,Yes
L02-641-1,926.34500026,RANCHO SANTA MARGARITA,0.055023,1,Yes
L02-641-2,926.34500026,RANCHO SANTA MARGARITA,0.384827,1,Yes
L03-142-1 (L03P24),255.6287671,RANCHO SANTA MARGARITA,0.018174,NA,Yes
L03-316-1,22.65150986,MISSION VIEJO,0.041047,NA,Yes
L03-316-2,143.04145576,MISSION VIEJO,0.013082,NA,Yes
L03-418-1,123.71430811,LAGUNA NIGUEL,0.066361,NA,Yes
L03-418-3,6.6378544,LAGUNA NIGUEL,7.22e-4,NA,Unknown
L03-418-8,210.54842175,LAGUNA NIGUEL,0.134285,1,Yes
L03-455-2,45.63681477,SAN JUAN CAPISTRANO,0.006273,NA,Yes
L03-455-3 (L03P37),72.14698507,SAN JUAN CAPISTRANO,0,NA,Unknown
L03-455-5,23.75471305,LAGUNA NIGUEL,0.006815,NA,Unknown
L03-455-6,5.33953354,LAGUNA NIGUEL,0,NA,Unknown
L03-455-7,64.2143521,LAGUNA NIGUEL,0.054716,NA,Yes
L03-497-1,45.51756325,SAN JUAN CAPISTRANO,0,NA,Unknown
L03-693-1 (L03P11),279.81210476,MISSION VIEJO,0.090433,NA,Yes
L03-708-1,108.98900254,LAGUNA NIGUEL,0.018177,NA,Yes
L03-708-11 (L03P05),171.70778799,LAGUNA NIGUEL,0.133617,NA,Yes
L03-708-13,64.06432828,LAGUNA NIGUEL,0.043565,NA,Yes
L03-708-5,28.84826742,LAGUNA NIGUEL,0.006287,NA,Unknown
L04-266-1,54.2802175,MISSION VIEJO,NA,NA,Unknown
L04-266-5,577.85257612,MISSION VIEJO,0.466571,1,Yes
L04-301-1 (L04P08),191.83607914,MISSION VIEJO,0.034968,NA,Yes
L04-702-1 (L04P02),84.3662671,MISSION VIEJO,0.022439,NA,Yes
L04-702-4,374.77459069,MISSION VIEJO,0,NA,Unknown
LC01-11446-1,178.33264473,LAGUNA BEACH,0.017,NA,Yes
LC02-11508-3,319.65476129,LAGUNA BEACH,0,NA,Unknown
LC05-11017-1,63.88315303,LAGUNA BEACH,0,NA,Unknown
LC06-11019-1,60.81426308,LAGUNA BEACH,0.028496,NA,Yes
LC06-11509-2,51.8633,LAGUNA BEACH,0.015413,NA,Yes
M00.1-070-4,137.0917445,SAN CLEMENTE,0,NA,Unknown
M00.1-071-2 (M00S04),416.85960898,SAN CLEMENTE,0.072122,NA,Unknown
M00.1-071-3 (M00S04),101.01259909,SAN CLEMENTE,0.044229,NA,Yes
M00.2-066-1 (M00S07),136.33710933,SAN CLEMENTE,0.014322,NA,Yes
M02-013-1,43.17862585,SAN CLEMENTE,NA,NA,Yes
M02-015-1,65.88798185,SAN CLEMENTE,0.020964,NA,Yes
M02-028-2 (M02P08),221.16825465,SAN CLEMENTE,0.040333,NA,Yes
M02-052-3,178.5046065,SAN CLEMENTE,0.110413,NA,Yes
M02-061-4 (SCBS@M02),90.38163929,SAN CLEMENTE,0.014396,NA,Yes
M02-061-5,3.75049186,SAN CLEMENTE,0,NA,Unknown
M02-061-6,40.9633321,SAN CLEMENTE,0.010635,NA,Yes
M02-085-1 (M02P06),372.59706323,SAN CLEMENTE,0.06651,1,Yes
M02-085-2,199.86814555,SAN CLEMENTE,0.201592,1,Yes
M02-086-1,50.74833146,SAN CLEMENTE,3.71e-4,NA,Unknown
SC01-077-1,48.74950277,SAN CLEMENTE,0.053098,NA,Yes
SC02-072-1,4.79491375,SAN CLEMENTE,0,NA,Unknown
SC03-067-1,174.71237258,SAN CLEMENTE,0,NA,Unknown
SC05-073-1,124.43649592,SAN CLEMENTE,0.006985,NA,Unknown
SC05-073-3,30.16696063,SAN CLEMENTE,0.003033,NA,Yes
SC06-146-1 (M00P02),26.41299244,SAN CLEMENTE,0.003017,NA,Yes
SC06-146-2 (M00P02),325.80676057,SAN CLEMENTE,0.056578,NA,Yes
SC07-079-4,1.06690053,SAN CLEMENTE,0.00694,NA,Yes
SC07-079-5,29.94605554,SAN CLEMENTE,0.00348,NA,Yes
SC10-075-1 (M00P05),83.2555747,DANA POINT,0.006323,NA,Yes
SC11-026-1 (M00P01),305.38811884,DANA POINT,0.060573,NA,Unknown
SC12-068-2,81.31475636,SAN CLEMENTE,0.008401,NA,Yes
SC12-068-4,16.13226718,SAN CLEMENTE,0.0089,NA,Unknown
SM01-086-1 (M03P01),219.4891214,SAN CLEMENTE,NA,NA,Yes
K01-12177-1 (K01P07),512.43104875,LAGUNA NIGUEL,0.246265,1,Yes
L01-766-4,25.87303207,SAN JUAN CAPISTRANO,0.001979,NA,Unknown
L01-766-2 (L01S06),245.40622496,SAN JUAN CAPISTRANO,0.179334,NA,Yes
L02-571-1,36.03365204,SAN JUAN CAPISTRANO,0,NA,Unknown
L02-571-3,7.43114254,SAN JUAN CAPISTRANO,6.07e-4,NA,Unknown
L02-571-5 (L02TBN2),220.78861654,SAN JUAN CAPISTRANO,0,NA,Unknown
M02-032-1,130.87560514,SAN CLEMENTE,0.234014,1,Yes
M01-060-3,4545.77136968,DANA POINT,0.743988,NA,Yes
M02-052-2,3106.39477221,SAN CLEMENTE,0.670727,NA,Yes
M02-052-4,118.71835525,SAN CLEMENTE,0.045857,NA,Yes
M02-102-1,4825.00118255,SAN CLEMENTE,0.044,NA,Yes
L03-691-1 (L03P09),505.0272419,MISSION VIEJO,0.336027,NA,Yes
M01-047-1,719.38131871,SAN CLEMENTE,0.350968,1,Yes
K01-12156-1,88.38784859,LAGUNA NIGUEL,NA,NA,Yes
K01-12126-1 (K01S01),885.25252888,DANA POINT,0.477926,1,Yes
L01-724-1 (L01S01),283.40904032,SAN JUAN CAPISTRANO,0.083773,1,Yes
L01-727-1 (L01S04),458.4026999,DANA POINT,0.065621,NA,Unknown
L01-724-4 (L01P03),349.72191376,SAN JUAN CAPISTRANO,0.124156,1,Yes
K01-12156-3,130.12073959,LAGUNA NIGUEL,0,NA,Unknown
K01-12058-2 (K01P09),303.05249515,LAGUNA NIGUEL,0.130128,NA,Yes
K01-12062-1,258.84115572,LAGUNA NIGUEL,0.122807,NA,Yes
L03-172-2,46.50852925,MISSION VIEJO,0.013291,NA,Yes
L01-458-1,600.45529611,ORANGE CO,6.75e-4,NA,Unknown
L02-374-1 (L02P50),456.48197184000003,ORANGE CO,0.192857,1,Yes
L02-401-2 (COL02P55),116.86311828,ORANGE CO,NA,NA,Yes
L02-502-1,371.7262534,SAN JUAN CAPISTRANO,0.026428,NA,Unknown
L05-489-3,1832.47249969,ORANGE CO,0.803705,1,Yes
J07-9109-4 (J07P02),394.92574829,MISSION VIEJO,0.215661,NA,Yes
J01-9377-2 (J01TBN8),98.41839547,LAKE FOREST,4.2e-5,NA,Unknown
L02-166-1 (L02PXX),77.28378749,RANCHO SANTA MARGARITA,0.041916,NA,Yes
J07-9110-2,133.39088631,MISSION VIEJO,0.003966,NA,Yes
J07-9109-2,201.64389276,MISSION VIEJO,0.068072,NA,Yes
J07-9110-3,61.67998508,MISSION VIEJO,0.010104,NA,Unknown
L02-166-2 (L02P25),363.95293383,RANCHO SANTA MARGARITA,0.243318,NA,Yes
L03-074-1 (L03B01),303.10956645,MISSION VIEJO,0.204911,NA,Yes
L02-166-3 (L02P26),494.68519995,RANCHO SANTA MARGARITA,0.176934,1,Yes
L03-141-1,161.39127863,MISSION VIEJO,0.072246,NA,Yes
L05-489-7,92.32955997,ORANGE CO,0.093024,NA,Yes
J01-9033-1,41.10421176,LAKE FOREST,0.002291,NA,Yes
L01-514-1,267.40709935,ORANGE CO,0.019417,NA,Yes
L01-517-7,141.90900182,ORANGE CO,0.001777,NA,Unknown
M01-042-1 (M01S01),195.65162657,SAN CLEMENTE,0.015022,1,Yes
L05-049-1,478.27356101,ORANGE CO,1.074799,1,Yes
L03-214-2 (L03P18),1483.91003393,MISSION VIEJO,0.566083,1,Yes
J06-10011-1 (J06P01),935.90125176,ALISO VIEJO,0.600261,1,Yes
J06-9079-1 (J06P03),365.7871229,ALISO VIEJO,0.099511,1,Yes
J03-9221-1 (J03P02),565.70937288,LAGUNA NIGUEL,0.215297,1,Yes
M01-050-4 (M01@CGV),105.0882966,SAN CLEMENTE,0.05849,NA,Yes
L05-489-3d,1930.33211516,ORANGE CO,2.136918,NA,Yes
L01-242-1 (L07P16),196.96941954,ORANGE CO,NA,NA,Yes
L03-662-3 (L03P16),436.64832448,MISSION VIEJO,0.148374,1,Yes
L01-731-1 (L08TBN2),1093.30467632,RANCHO SANTA MARGARITA,0.356639,1,Yes
J01-9131-1 (J01P28),286.38606854,ALISO VIEJO,0.068157,1,Unknown
J01-9992-1 (J01P27),553.84107572999994,ALISO VIEJO,0.171031,1,Yes
L02-366-1 (MVL02P14),198.82243813,MISSION VIEJO,0.023387,NA,Yes
L03-241-3,722.06959077,MISSION VIEJO,0.418065,NA,Unknown
L03-316-3 (L03P12),361.42380014,MISSION VIEJO,0.249529,1,Yes
L01-728-5 (L01-DP),24.72372499,DANA POINT,0.012099,1,Yes
L01-724-2,16.19787546,SAN JUAN CAPISTRANO,0,NA,Unknown
DP01-12022-1,NA,DANA POINT,0.055382,NA,Yes
DP01-12022-2,NA,DANA POINT,0,NA,Unknown
I00-11518-2,NA,LAGUNA BEACH,0.0048,NA,Yes
I01-11015-3,NA,LAGUNA BEACH,0,NA,Unknown
I01-11059-3,NA,LAGUNA BEACH,0,NA,Unknown
I01-11065-1,NA,LAGUNA BEACH,0,NA,Unknown
I01-11077-2,NA,LAGUNA BEACH,0,NA,Unknown
I01-11195-2,NA,ALISO VIEJO,0.21825,NA,Unknown
I01-11216-2 (I02P12),NA,ALISO VIEJO,NA,NA,Yes
I01-11216-4 (I02P14),NA,ALISO VIEJO,NA,NA,Yes
I01-11503-5,NA,ALISO VIEJO,NA,NA,Unknown
J03-9216-5,NA,LAGUNA NIGUEL,NA,NA,Yes
J03-9234-8,NA,LAGUNA NIGUEL,0.301604,NA,Yes
J05-9271-6,NA,LAGUNA HILLS,0,NA,Unknown
J07-9022-6,NA,MISSION VIEJO,0.001776,NA,Yes
J07-9109-1,NA,MISSION VIEJO,0.008731,NA,Yes
K01-12156-6,NA,LAGUNA NIGUEL,0.430708,NA,Yes
K01-12159-2,NA,DANA POINT,0.154127,1,Yes
K01-12159-3,NA,DANA POINT,0.021493,1,Yes
L01-303-1,NA,ORANGE CO,NA,NA,Yes
L01-303-2,NA,ORANGE CO,0.07,NA,Yes
L01-303-3,NA,ORANGE CO,NA,NA,Yes
L01-303-4,NA,ORANGE CO,0.020775,NA,Yes
L01-303-5,NA,ORANGE CO,0.010906,NA,Yes
L01-335-2,NA,ORANGE CO,0,NA,Unknown
L01-399-1,NA,ORANGE CO,0,NA,Unknown
L01-399-2,NA,ORANGE CO,0.001,NA,Unknown
L01-404-2,NA,ORANGE CO,0.06365,NA,Yes
L01-517-2,NA,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-517-8,NA,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-613-1,NA,DANA POINT,0.0058,NA,Unknown
L01-728-4,NA,DANA POINT,0.007,NA,Unknown
L01-728-8d,NA,DANA POINT,0,NA,Unknown
L01-728-9,NA,DANA POINT,0,NA,Unknown
L01-733-7,NA,ORANGE CO,0.0588,NA,Unknown
L01-733-5,NA,ORANGE CO,0,NA,Unknown
L01-748-2,NA,SAN JUAN CAPISTRANO,0,NA,Yes
L01-749-2d,NA,SAN JUAN CAPISTRANO,0.081752,NA,Yes
L01-749-5,NA,SAN JUAN CAPISTRANO,0.008383,NA,Unknown
L01-766-8,NA,SAN JUAN CAPISTRANO,0,NA,Unknown
L01-766-9,NA,SAN JUAN CAPISTRANO,0.173904,1,Yes
L02-198-1 (L02P29),NA,RANCHO SANTA MARGARITA,0.00835,NA,Yes
L02-344-2,NA,ORANGE CO,0.408144,NA,Yes
L02-502-5,NA,SAN JUAN CAPISTRANO,0,NA,Unknown
L03-074-2,NA,MISSION VIEJO,0.020268,NA,Yes
L03-141-2,NA,MISSION VIEJO,0.005866,NA,Yes
L03-141-3,NA,MISSION VIEJO,0.01245,NA,Yes
L03-172-3,NA,MISSION VIEJO,NA,NA,Yes
L03-240-1,NA,NA,NA,NA,NA
L03-241-4 (L03P14),NA,NA,NA,NA,NA
L03-316-4 (L03P12),NA,NA,NA,NA,NA
L03-418-2,NA,LAGUNA NIGUEL,0.007904,NA,Yes
L03-455-4,NA,SAN JUAN CAPISTRANO,0,NA,Unknown
L03-708-9,NA,LAGUNA NIGUEL,0.045486,NA,Yes
L04-136-1u (L04P07),NA,MISSION VIEJO,0.228296,NA,Yes
L04-672-1,NA,MISSION VIEJO,0.200871,1,Yes
L05-049-2,NA,ORANGE CO,0.293041,NA,Yes
L05-489-4,NA,ORANGE CO,0.028916,NA,Yes
L05-503-1,NA,SAN JUAN CAPISTRANO,0.057778,1,Yes
LC01-11480-1,NA,ORANGE CO,NA,NA,Yes
LC02-11508-2,NA,LAGUNA BEACH,0.02265,NA,Yes
LC03-11515-1,NA,LAGUNA BEACH,0.008369,NA,Yes
LC04-11199-1,NA,LAGUNA BEACH,NA,NA,Unknown
LC05-11017-2,NA,LAGUNA BEACH,0.033808,NA,Unknown
M00.1-070-6,NA,SAN CLEMENTE,0,NA,Unknown
M01-002-1,NA,ORANGE CO,0,NA,Unknown
M01-003-1,NA,ORANGE CO,0,NA,Unknown
M01-003-2,NA,ORANGE CO,0,NA,Unknown
M01-008-1,NA,SAN CLEMENTE,0,NA,Unknown
M01-038-3,NA,SAN CLEMENTE,0.005304,NA,Yes
M01-038-6,NA,SAN CLEMENTE,0.013791,NA,Yes
M01-050-7,NA,SAN CLEMENTE,4e-6,NA,Unknown
M01-099-1,NA,SAN CLEMENTE,0.03559,NA,Yes
M01-124-2,NA,SAN CLEMENTE,0.019404,NA,Yes
M01-124-4,NA,SAN CLEMENTE,6e-4,NA,Unknown
M01-168-1d (M00P03),NA,DANA POINT,0,NA,Unknown
M01-168-2d (M00P03),NA,DANA POINT,NA,NA,Unknown
M02-061-7,NA,SAN CLEMENTE,0.5,NA,Yes
M02-142-1,NA,SAN CLEMENTE,0,NA,Unknown
SC01-077-2,NA,SAN CLEMENTE,0.0075,NA,Unknown
SC02-072-4,NA,SAN CLEMENTE,NA,NA,Unknown
SC09-081-2d,NA,SAN CLEMENTE,0.039,NA,Unknown
SC10-075-3 (M00S01),NA,DANA POINT,0.36,NA,Unknown
SC11-035-1d,NA,DANA POINT,0,NA,Unknown
SC11-035-2d,NA,DANA POINT,0,NA,Unknown
SC11-035-3d,NA,DANA POINT,0,NA,Unknown
SC11-130-2,NA,DANA POINT,0.013885,NA,Unknown
SM01-086-2,NA,SAN CLEMENTE,0.02,NA,Unknown
SM01-086-2,NA,SAN CLEMENTE,0.02,NA,Unknown
