FACILITYID,Date,FlowConnectivity
J01-9040-1,2022-04-21,Direct Connection
J01-9040-1,2022-05-12,Direct Connection
J01-9040-1,2022-05-19,None - Flow Infiltrates or Outfall is Dry
J01-9031-1,2022-06-21,Partial - Significant Distance
J01-9031-1,2022-08-18,Partial - Significant Distance
J01-9264-1 (J01P06),2022-06-30,Partial - Significant Distance
J01-9264-1 (J01P06),2022-09-21,Partial - Significant Distance
J01-9377-2 (J01TBN8),2022-06-21,None - Flow Infiltrates or Outfall is Dry
J01-9377-2 (J01TBN8),2022-09-01,None - Flow Infiltrates or Outfall is Dry
J01-9377-1,2022-06-21,Direct Connection
J01-9377-1,2022-06-30,None - Flow Infiltrates or Outfall is Dry
J01-9377-1,2022-08-18,Direct Connection
J01-9349-1,2022-06-21,Direct Connection
J01-9349-1,2022-06-30,None - Flow Infiltrates or Outfall is Dry
J01-9349-1,2022-08-18,Direct Connection
J01-9046-2,2022-06-21,Direct Connection
J01-9046-2,2022-06-30,Direct Connection
J01-9046-2,2022-08-18,Direct Connection
J01-9046-1,2022-06-21,Direct Connection
J01-9046-1,2022-06-30,None - Flow Infiltrates or Outfall is Dry
J01-9046-1,2022-08-18,Direct Connection
J01-9046-3,NA,NA
J01-9008-1 (J01P30),2022-06-28,Direct Connection
J01-9008-1 (J01P30),2022-07-01,Direct Connection
J01-10017-1 (J01TBN4),2022-06-28,None - Flow Infiltrates or Outfall is Dry
J01-10017-1 (J01TBN4),2022-07-13,Direct Connection
J01-9224-2 (J01P25),2022-06-15,Direct Connection
J01-9224-2 (J01P25),2022-07-13,Direct Connection
J01-9224-2 (J01P25),2022-08-18,Direct Connection
J01-9224-1 (J01P24),2022-06-15,Direct Connection
J01-9224-1 (J01P24),2022-07-13,Direct Connection
J01-9224-1 (J01P24),2022-08-18,Direct Connection
J01-9224-1 (J01P24),2022-08-10,NA
J01-9144-1 (J01P23),2022-06-28,Direct Connection
J01-9144-1 (J01P23),2022-07-13,Direct Connection
J05-9271-6,2022-08-02,None - Flow Infiltrates or Outfall is Dry
J05-9271-6,2022-09-21,None - Flow Infiltrates or Outfall is Dry
J05-9800-2,2022-07-01,None - Flow Infiltrates or Outfall is Dry
J05-9800-2,2022-09-21,None - Flow Infiltrates or Outfall is Dry
J01-9066-1 (J01P04),2022-06-21,Direct Connection
J01-9066-1 (J01P04),2022-07-01,Direct Connection
J01-9066-1 (J01P04),2022-08-09,Direct Connection
J01-9066-2 (J01P03),2022-06-21,Direct Connection
J01-9066-2 (J01P03),2022-07-01,Direct Connection
J01-9066-2 (J01P03),2022-08-09,Direct Connection
J01-9785-1,2022-08-01,Direct Connection
J01-9785-1,2022-09-14,Direct Connection
J01-10006-1,2022-06-21,None - Flow Infiltrates or Outfall is Dry
J01-10006-1,2022-08-09,Direct Connection
J01-10004-1 (J01P01),2022-06-21,Direct Connection
J01-10004-1 (J01P01),2022-06-30,Direct Connection
J01-10004-1 (J01P01),2022-08-18,Direct Connection
J01-9782-1 (J01TBN3),2022-06-21,Direct Connection
J01-9782-1 (J01TBN3),2022-08-18,Direct Connection
J01-10004-2,2022-06-21,Partial - Significant Distance
J01-10004-2,2022-08-18,Partial - Significant Distance
J01-9275-1,NA,NA
J01-9275-2,2022-06-21,None - Flow Infiltrates or Outfall is Dry
J01-9275-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry
J06-9079-1 (J06P03),2022-06-23,Direct Connection
J06-9079-1 (J06P03),2022-07-13,Direct Connection
J06-9079-1 (J06P03),2022-08-22,Direct Connection
J06-10011-1 (J06P01),2022-06-23,Direct Connection
J06-10011-1 (J06P01),2022-07-13,Direct Connection
J06-10011-1 (J06P01),2022-08-22,Direct Connection
J01-10041-2 (J03P13),2022-06-28,Partial - Significant Distance
J01-9005-3,2022-07-08,Direct Connection
J01-9005-1 (J03P05),2022-07-08,Direct Connection
J03-9216-1 (J03P01),2022-07-06,Direct Connection
J03-9216-1 (J03P01),2022-07-08,Direct Connection
J03-9216-1 (J03P01),2022-08-04,Direct Connection
J03-9368-1 (J03TBN1),2022-06-23,Direct Connection
J03-9368-1 (J03TBN1),2022-07-08,Direct Connection
J03-9368-1 (J03TBN1),2022-08-04,Direct Connection
J03-9215-3,2022-06-23,Direct Connection
J03-9215-3,2022-07-08,Direct Connection
J03-9215-3,2022-08-04,Direct Connection
J03-9215-1,2022-06-23,Direct Connection
J03-9215-1,2022-08-04,Direct Connection
J03-9368-2 (J03TBN2),2022-06-23,Direct Connection
J03-9368-2 (J03TBN2),2022-07-06,Direct Connection
J03-9368-2 (J03TBN2),2022-07-08,Direct Connection
J03-9368-2 (J03TBN2),2022-08-04,Direct Connection
J05-9255-1 (J05P01),2022-08-02,None - Flow Infiltrates or Outfall is Dry
J05-9255-1 (J05P01),2022-09-21,None - Flow Infiltrates or Outfall is Dry
SC01-077-2,NA,NA
SC01-077-1,NA,NA
SC03-067-1,2022-07-19,None - Flow Infiltrates or Outfall is Dry
SC03-067-1,2022-08-30,None - Flow Infiltrates or Outfall is Dry
J01-9313-1,NA,NA
J01-9082-2,2022-06-23,Direct Connection
J01-9082-2,2022-07-13,Direct Connection
J01-9082-2,2022-08-22,Direct Connection
I01-11343-2 (I02P18),2022-06-14,Undetermined
I01-11343-2 (I02P18),2022-08-23,Undetermined
I01-11503-3,2022-06-28,Partial - Significant Distance
I01-11503-3,2022-09-14,Partial - Significant Distance
I01-11093-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11093-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11015-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11015-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11487-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry
I01-11487-1,2022-08-16,Partial - Significant Distance
I01-11487-2,2022-07-05,Partial - Significant Distance
I01-11487-2,2022-08-16,Partial - Significant Distance
I00-11453-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry
I00-11453-1,2022-08-16,None - Flow Infiltrates or Outfall is Dry
LC06-11509-2,2022-06-21,None - Flow Infiltrates or Outfall is Dry
LC06-11509-2,2022-07-05,Partial - Significant Distance
LC06-11509-2,2022-08-16,Direct Connection
LC02-11508-2,2022-07-05,Direct Connection
LC02-11508-2,2022-08-16,Undetermined
I00-11518-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry
I00-11518-1,2022-08-16,None - Flow Infiltrates or Outfall is Dry
I00-11437-1,2022-06-21,None - Flow Infiltrates or Outfall is Dry
I00-11437-1,2022-09-07,Undetermined
I00-11468-1,2022-06-21,Direct Connection
I00-11468-1,2022-09-07,Direct Connection
I01-11077-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11077-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11502-1,NA,NA
I01-11216-1 (I02P13),2022-06-28,Undetermined
I01-11216-1 (I02P13),2022-09-14,Undetermined
I01-11216-2 (I02P12),2022-09-14,Undetermined
I01-11216-2 (I02P12),2022-06-28,NA
I01-11216-3,2022-06-28,Undetermined
I01-11216-3,2022-09-14,Undetermined
I01-11216-4 (I02P14),2022-06-28,Undetermined
I01-11216-4 (I02P14),2022-09-14,Undetermined
I01-11217-1,2022-06-28,None - Flow Infiltrates or Outfall is Dry
I01-11217-1,2022-09-14,None - Flow Infiltrates or Outfall is Dry
SC02-072-1,2022-07-19,None - Flow Infiltrates or Outfall is Dry
SC02-072-1,2022-08-30,None - Flow Infiltrates or Outfall is Dry
M00.1-071-2 (M00S04),2022-07-19,None - Flow Infiltrates or Outfall is Dry
M00.1-071-2 (M00S04),2022-08-30,None - Flow Infiltrates or Outfall is Dry
M00.1-070-4,NA,NA
M00.1-071-3 (M00S04),2022-07-19,Direct Connection
M00.1-071-3 (M00S04),2022-08-30,Direct Connection
SC05-073-1,2022-07-19,Direct Connection
SC05-073-3,2022-07-19,Partial - Significant Distance
SC05-073-3,2022-08-08,Direct Connection
SC12-068-4,2022-07-19,Partial - Significant Distance
SC12-068-4,2022-08-08,None - Flow Infiltrates or Outfall is Dry
SC06-146-2 (M00P02),2022-07-19,Direct Connection
SC06-146-2 (M00P02),2022-08-08,Direct Connection
SC06-146-1 (M00P02),2022-07-19,Partial - Significant Distance
SC06-146-1 (M00P02),2022-08-08,Direct Connection
SC12-068-2,2022-07-19,Partial - Significant Distance
SC12-068-2,2022-09-23,Partial - Significant Distance
M00.2-066-1 (M00S07),2022-07-19,Partial - Significant Distance
M00.2-066-1 (M00S07),2022-08-08,Partial - Significant Distance
SC07-079-5,2022-07-20,Partial - Significant Distance
SC07-079-5,2022-09-23,Direct Connection
M02-102-1,2022-07-20,Partial - Significant Distance
M02-102-1,2022-09-23,Partial - Significant Distance
M02-061-4 (SCBS@M02),2022-07-20,Direct Connection
M02-061-4 (SCBS@M02),2022-08-24,Direct Connection
M02-061-5,2022-07-20,None - Flow Infiltrates or Outfall is Dry
M02-061-5,2022-08-24,None - Flow Infiltrates or Outfall is Dry
M02-142-1,2022-07-20,None - Flow Infiltrates or Outfall is Dry
M02-142-1,2022-08-24,NA
M01-060-3,2022-07-20,Partial - Significant Distance
M01-060-3,2022-09-28,Direct Connection
M01-042-1 (M01S01),2022-06-30,Partial - Significant Distance
M01-042-1 (M01S01),2022-09-08,Partial - Significant Distance
SC10-075-1 (M00P05),2022-07-12,Partial - Significant Distance
SC10-075-1 (M00P05),2022-09-23,Direct Connection
M02-086-1,2022-07-26,None - Flow Infiltrates or Outfall is Dry
M02-086-1,2022-08-30,NA
M02-013-1,2022-07-26,Undetermined
M02-013-1,2022-08-30,Undetermined
M02-013-1,2022-09-15,Undetermined
L01-749-3,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-749-3,2022-08-10,None - Flow Infiltrates or Outfall is Dry
L01-556-1,2022-07-28,Undetermined
L01-556-1,2022-08-10,Undetermined
L01-748-1,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-748-1,2022-08-10,None - Flow Infiltrates or Outfall is Dry
L01-748-2,2022-07-13,NA
L01-748-2,2022-08-10,NA
L01-618-5 (L01S09),2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-618-5 (L01S09),2022-08-10,Direct Connection
L01-618-4,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-618-4,2022-08-10,None - Flow Infiltrates or Outfall is Dry
L01-618-3,2022-08-10,Undetermined
L01-618-2,2022-07-13,Undetermined
L01-618-2,2022-08-10,Undetermined
L01-618-1,2022-07-28,None - Flow Infiltrates or Outfall is Dry
L01-618-1,2022-08-10,None - Flow Infiltrates or Outfall is Dry
L01-602-2,2022-08-10,None - Flow Infiltrates or Outfall is Dry
L01-766-7,2022-06-28,None - Flow Infiltrates or Outfall is Dry
L01-766-7,2022-08-10,None - Flow Infiltrates or Outfall is Dry
L02-571-1,NA,NA
L02-571-3,2022-07-20,Direct Connection
L02-571-3,2022-09-14,Direct Connection
L02-571-5 (L02TBN2),2022-06-28,Direct Connection
L02-571-5 (L02TBN2),2022-09-14,Direct Connection
L02-541-2,2022-06-28,None - Flow Infiltrates or Outfall is Dry
L02-541-2,2022-09-14,None - Flow Infiltrates or Outfall is Dry
L02-541-7,2022-06-28,None - Flow Infiltrates or Outfall is Dry
L02-541-7,2022-09-14,None - Flow Infiltrates or Outfall is Dry
L02-541-6,2022-06-28,Direct Connection
L02-541-6,2022-09-14,Direct Connection
L02-541-9 (L02P02),2022-06-22,None - Flow Infiltrates or Outfall is Dry
L02-541-9 (L02P02),2022-08-11,Undetermined
L01-766-5,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-766-5,2022-08-10,None - Flow Infiltrates or Outfall is Dry
L01-766-4,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-766-4,2022-08-11,None - Flow Infiltrates or Outfall is Dry
L01-766-3,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-766-3,2022-09-28,Direct Connection
L01-766-2 (L01S06),2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-766-2 (L01S06),2022-08-10,None - Flow Infiltrates or Outfall is Dry
K01-12126-1 (K01S01),2022-06-22,Direct Connection
K01-12155-1,2022-07-06,Undetermined
K01-12155-1,2022-08-31,None - Flow Infiltrates or Outfall is Dry
K01-12036-1,2022-07-06,Undetermined
K01-12036-1,2022-08-31,Undetermined
K01-12036-5,2022-07-06,Undetermined
K01-12036-5,2022-08-31,Undetermined
K01-12032-2 (K01P11),2022-07-06,Partial - Significant Distance
K01-12032-2 (K01P11),2022-08-31,Partial - Significant Distance
K01-12156-1,NA,NA
K01-12156-3,NA,NA
K01-12177-1 (K01P07),2022-06-15,Undetermined
K01-12177-1 (K01P07),2022-08-18,Undetermined
K01-12138-1 (K01TBN1),2022-08-02,Undetermined
K01-12058-1 (K01P08),2022-08-02,Direct Connection
K01-12058-2 (K01P09),2022-08-02,Direct Connection
K01-12062-1,2022-08-02,Direct Connection
L01-728-2,2022-07-12,Direct Connection
L01-728-2,2022-08-29,None - Flow Infiltrates or Outfall is Dry
L01-728-3 (L01S02),2022-07-12,None - Flow Infiltrates or Outfall is Dry
L01-728-3 (L01S02),2022-08-29,Direct Connection
L01-728-7 (L01S03),2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-728-7 (L01S03),2022-09-28,None - Flow Infiltrates or Outfall is Dry
L01-728-6,2022-07-12,None - Flow Infiltrates or Outfall is Dry
L01-728-6,2022-08-29,None - Flow Infiltrates or Outfall is Dry
L01-727-2,2022-07-12,None - Flow Infiltrates or Outfall is Dry
L01-727-2,2022-08-29,None - Flow Infiltrates or Outfall is Dry
L01-726-2,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-726-2,2022-08-29,None - Flow Infiltrates or Outfall is Dry
L01-726-3,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-726-3,2022-08-29,None - Flow Infiltrates or Outfall is Dry
L01-726-5,2022-06-22,Direct Connection
L01-726-5,2022-08-29,Direct Connection
L01-726-6,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-726-6,2022-08-29,None - Flow Infiltrates or Outfall is Dry
L01-726-7,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-726-7,2022-08-29,None - Flow Infiltrates or Outfall is Dry
L01-726-8,2022-06-28,Partial - Significant Distance
L01-726-8,2022-09-14,None - Flow Infiltrates or Outfall is Dry
L01-726-9,2022-06-28,None - Flow Infiltrates or Outfall is Dry
L01-726-9,2022-09-14,None - Flow Infiltrates or Outfall is Dry
L01-601-1,2022-06-28,None - Flow Infiltrates or Outfall is Dry
L01-601-1,2022-09-14,None - Flow Infiltrates or Outfall is Dry
L01-724-2,NA,NA
L01-724-1 (L01S01),2022-06-22,Partial - Significant Distance
L01-724-4 (L01P03),2022-06-22,Direct Connection
L01-724-4 (L01P03),2022-09-06,Direct Connection
L01-517-1,NA,NA
L01-517-2,NA,NA
L01-514-1,2022-06-17,Undetermined
L01-514-1,2022-09-23,Undetermined
L01-517-3,2022-05-31,Undetermined
L01-517-3,2022-09-27,None - Flow Infiltrates or Outfall is Dry
L01-458-1,2022-05-31,None - Flow Infiltrates or Outfall is Dry
L01-458-1,2022-09-27,None - Flow Infiltrates or Outfall is Dry
SM01-086-1 (M03P01),2022-07-26,Undetermined
SM01-086-1 (M03P01),2022-09-15,Undetermined
SM01-086-2,2022-07-26,Undetermined
SM01-086-2,2022-09-15,Undetermined
M02-028-2 (M02P08),2022-07-26,None - Flow Infiltrates or Outfall is Dry
M02-028-2 (M02P08),2022-08-30,None - Flow Infiltrates or Outfall is Dry
M02-015-1,2022-07-20,Undetermined
M02-015-1,2022-08-24,None - Flow Infiltrates or Outfall is Dry
M02-052-2,2022-07-28,Direct Connection
M02-052-2,2022-09-08,Direct Connection
M02-052-3,2022-09-08,Direct Connection
M02-052-3,2022-09-08,Direct Connection
M02-052-3,2022-07-28,NA
M02-085-1 (M02P06),2022-06-30,Direct Connection
M02-085-1 (M02P06),2022-09-08,Direct Connection
L01-223-1 (L08TBN1),2022-06-27,Undetermined
L01-223-1 (L08TBN1),2022-08-25,Undetermined
L01-731-1 (L08TBN2),2022-06-27,Undetermined
L01-731-1 (L08TBN2),2022-08-25,Undetermined
L01-125-1,2022-07-28,Undetermined
L01-125-1,2022-09-20,Undetermined
L01-125-2,2022-07-28,Undetermined
L01-125-2,2022-09-20,Undetermined
L01-125-3,2022-07-28,Undetermined
L01-125-3,2022-09-20,Undetermined
L01-733-4,2022-08-01,None - Flow Infiltrates or Outfall is Dry
L01-733-4,2022-09-19,None - Flow Infiltrates or Outfall is Dry
L02-359-1 (L02P43),2022-06-17,Undetermined
L02-359-1 (L02P43),2022-09-26,Undetermined
L02-344-1,2022-07-26,Undetermined
L02-344-1,2022-09-19,None - Flow Infiltrates or Outfall is Dry
L02-622-1 (L02P28),2022-07-27,Undetermined
L02-622-1 (L02P28),2022-09-20,Undetermined
L02-166-1 (L02PXX),2022-07-27,Undetermined
L02-622-2 (L02P32),NA,NA
L02-198-1 (L02P29),2022-07-27,None - Flow Infiltrates or Outfall is Dry
L02-198-1 (L02P29),2022-09-20,Partial - Significant Distance
L02-641-1,2022-06-27,Direct Connection
L02-641-1,2022-08-25,Direct Connection
L02-166-3 (L02P26),2022-06-27,Undetermined
L02-166-3 (L02P26),2022-08-25,Undetermined
L01-261-1,NA,NA
L03-455-2,2022-07-06,Direct Connection
L03-455-2,2022-08-11,Direct Connection
L03-455-3 (L03P37),2022-07-06,None - Flow Infiltrates or Outfall is Dry
L03-455-3 (L03P37),2022-08-11,None - Flow Infiltrates or Outfall is Dry
L03-455-4,2022-07-06,None - Flow Infiltrates or Outfall is Dry
L03-455-4,2022-08-11,None - Flow Infiltrates or Outfall is Dry
L03-455-6,2022-07-06,None - Flow Infiltrates or Outfall is Dry
L03-455-6,2022-09-21,None - Flow Infiltrates or Outfall is Dry
L03-455-7,2022-07-06,Direct Connection
L03-455-7,2022-09-21,Direct Connection
L03-418-1,2022-07-06,Direct Connection
L03-418-1,2022-09-21,Direct Connection
L03-418-2,2022-06-23,Partial - Significant Distance
L03-418-2,2022-08-04,Partial - Significant Distance
L03-418-3,2022-06-23,Partial - Significant Distance
L03-418-3,2022-08-04,None - Flow Infiltrates or Outfall is Dry
L03-418-8,2022-06-15,Direct Connection
L03-418-8,2022-08-18,Direct Connection
L03-708-1,2022-06-15,Direct Connection
L03-708-1,2022-06-15,Direct Connection
L03-708-1,2022-08-18,Direct Connection
L03-708-5,2022-06-23,None - Flow Infiltrates or Outfall is Dry
L03-708-5,2022-08-04,None - Flow Infiltrates or Outfall is Dry
L04-702-1 (L04P02),2022-08-02,Direct Connection
L04-702-1 (L04P02),2022-09-01,Direct Connection
L04-702-4,2022-08-02,None - Flow Infiltrates or Outfall is Dry
L04-702-4,2022-09-01,None - Flow Infiltrates or Outfall is Dry
L04-301-1 (L04P08),2022-06-22,NA
L04-266-1,NA,NA
L04-266-5,2022-06-14,Direct Connection
L04-266-5,2022-08-23,Direct Connection
J07-9022-1,2022-06-21,Direct Connection
J07-9022-1,2022-08-09,Partial - Significant Distance
J07-9110-1,2022-06-21,Partial - Significant Distance
J07-9110-2,2022-06-21,Direct Connection
J07-9110-2,2022-06-30,Direct Connection
J07-9110-2,2022-08-09,Direct Connection
J07-9109-1,2022-06-21,Partial - Significant Distance
J07-9109-1,2022-08-09,None - Flow Infiltrates or Outfall is Dry
J07-9110-3,2022-06-21,Partial - Significant Distance
J07-9110-3,2022-06-30,None - Flow Infiltrates or Outfall is Dry
J07-9110-3,2022-08-09,Direct Connection
J07-9109-2,2022-06-21,Partial - Significant Distance
J07-9109-2,2022-08-09,None - Flow Infiltrates or Outfall is Dry
J07-9109-4 (J07P02),2022-06-21,Partial - Significant Distance
J07-9109-4 (J07P02),2022-06-30,Partial - Significant Distance
J07-9109-4 (J07P02),2022-08-09,Partial - Significant Distance
L03-691-1 (L03P09),2022-07-06,Partial - Significant Distance
L03-316-1,2022-08-02,Direct Connection
L03-316-1,2022-09-01,Direct Connection
L03-316-3 (L03P12),2022-06-14,Direct Connection
L03-316-3 (L03P12),2022-08-23,Direct Connection
L03-693-1 (L03P11),2022-07-06,Direct Connection
L03-693-1 (L03P11),2022-08-23,Direct Connection
L03-662-3 (L03P16),2022-06-14,Partial - Significant Distance
L03-662-3 (L03P16),2022-08-23,Partial - Significant Distance
L03-214-2 (L03P18),2022-06-14,Direct Connection
L03-214-2 (L03P18),2022-08-23,Direct Connection
L03-074-1 (L03B01),2022-06-22,Direct Connection
L03-074-1 (L03B01),2022-08-09,Direct Connection
L03-172-2,2022-06-22,NA
L03-172-2,2022-08-09,NA
L03-141-1,2022-06-22,Direct Connection
L03-141-1,2022-08-09,Direct Connection
L03-142-1 (L03P24),2022-07-27,Undetermined
L03-142-1 (L03P24),2022-09-01,Undetermined
L03-241-4,2022-06-22,Direct Connection
L03-241-4,2022-08-09,Direct Connection
L03-240-1 (L03P14),2022-06-22,Direct Connection
L03-240-1 (L03P14),2022-08-09,Direct Connection
L05-049-1,2022-06-16,Direct Connection
L05-049-1,2022-09-06,Direct Connection
L01-414-1,2022-09-19,None - Flow Infiltrates or Outfall is Dry
L01-414-1,2022-07-21,NA
L01-404-1,2022-06-16,Undetermined
L01-404-1,2022-08-24,Undetermined
L01-414-3,2022-06-16,None - Flow Infiltrates or Outfall is Dry
L01-414-3,2022-08-24,Undetermined
L01-414-2,2022-08-01,None - Flow Infiltrates or Outfall is Dry
L01-414-2,2022-09-19,None - Flow Infiltrates or Outfall is Dry
L01-760-1,2022-08-01,Undetermined
L01-760-1,2022-08-24,None - Flow Infiltrates or Outfall is Dry
L01-760-2,2022-08-01,Undetermined
L01-760-2,2022-08-24,Undetermined
L01-391-1,2022-08-01,Direct Connection
L01-391-1,2022-09-19,Direct Connection
L01-391-3,2022-08-01,Direct Connection
L01-391-3,2022-09-19,Direct Connection
L01-340-1,2022-06-16,Undetermined
L01-340-1,2022-08-24,Undetermined
L01-733-2,2022-08-01,Direct Connection
L01-733-2,2022-09-19,Direct Connection
L02-374-2 (MVL02P20),2022-06-17,Undetermined
L02-374-2 (MVL02P20),2022-09-26,Undetermined
L02-401-1,2022-06-08,Direct Connection
L02-401-1,2022-09-19,Direct Connection
J01-9273-1,2022-06-14,None - Flow Infiltrates or Outfall is Dry
J01-9273-1,2022-07-01,None - Flow Infiltrates or Outfall is Dry
J01-9273-1,2022-08-23,None - Flow Infiltrates or Outfall is Dry
SC07-079-4,2022-07-20,Direct Connection
SC07-079-4,2022-09-23,Direct Connection
M02-061-6,2022-07-20,Direct Connection
M02-061-6,2022-08-24,Direct Connection
M01-003-1,NA,NA
M01-003-2,NA,NA
M01-002-1,NA,NA
M01-050-4 (M01@CGV),2022-07-26,Direct Connection
M01-050-4 (M01@CGV),2022-09-15,Direct Connection
M01-050-4 (M01@CGV),2022-09-15,Direct Connection
DP06-12106-1,2022-07-12,Partial - Significant Distance
DP06-12106-1,2022-09-26,None - Flow Infiltrates or Outfall is Dry
L01-766-8,2022-06-28,None - Flow Infiltrates or Outfall is Dry
L01-766-8,2022-08-10,None - Flow Infiltrates or Outfall is Dry
L01-747-1,2022-07-28,None - Flow Infiltrates or Outfall is Dry
L01-747-1,2022-08-10,None - Flow Infiltrates or Outfall is Dry
L01-747-2,2022-07-28,Undetermined
L01-747-2,2022-08-10,Partial - Significant Distance
L05-489-3,2022-06-16,Direct Connection
L05-489-3,2022-09-06,Direct Connection
L05-489-4,2022-06-16,None - Flow Infiltrates or Outfall is Dry
L05-489-4,2022-09-06,Direct Connection
L05-489-7,2022-06-16,Direct Connection
L05-489-7,2022-06-16,Direct Connection
L05-489-7,2022-09-06,Direct Connection
L05-049-2,2022-09-06,Direct Connection
L01-372-1,NA,NA
L01-733-5,2022-08-01,None - Flow Infiltrates or Outfall is Dry
L01-733-5,2022-09-19,None - Flow Infiltrates or Outfall is Dry
L01-730-1,2022-07-28,Direct Connection
L01-730-1,2022-09-20,Direct Connection
L01-218-1,NA,NA
L01-218-2,NA,NA
L01-218-3,2022-07-26,Undetermined
L01-218-4,2022-07-26,Partial - Significant Distance
L02-641-2,2022-06-27,Direct Connection
L02-641-2,2022-06-27,Direct Connection
L02-641-2,2022-08-25,Direct Connection
L03-455-5,2022-07-06,None - Flow Infiltrates or Outfall is Dry
L03-455-5,2022-09-21,None - Flow Infiltrates or Outfall is Dry
L03-708-9,2022-06-23,Direct Connection
L03-708-9,2022-08-04,Direct Connection
L03-708-11 (L03P05),2022-06-23,Direct Connection
L03-708-11 (L03P05),2022-08-04,None - Flow Infiltrates or Outfall is Dry
J01-9033-1,NA,NA
J01-10012-3,NA,NA
L03-241-3,2022-08-09,Direct Connection
LC01-11446-1,2022-07-05,Direct Connection
LC01-11446-1,2022-09-07,Partial - Significant Distance
I01-11010-1,2022-06-21,Direct Connection
I01-11010-1,2022-09-07,Direct Connection
I01-11015-3,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11015-3,2022-09-01,None - Flow Infiltrates or Outfall is Dry
