FACILITYID,Date,FlowConnectivity,Plot Connectivitity
J03-9234-6,8/31/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9234-8,7/6/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9234-8,8/31/2022,Partial - Significant Distance,Partial - Significant Distance
J03-9368-1 (J03TBN1),6/23/2022,Direct Connection,Direct Connection
J03-9368-1 (J03TBN1),7/8/2022,Direct Connection,Direct Connection
J03-9368-1 (J03TBN1),8/4/2022,Direct Connection,Direct Connection
J03-9368-2 (J03TBN2),6/23/2022,Direct Connection,Direct Connection
J03-9368-2 (J03TBN2),7/6/2022,Direct Connection,Direct Connection
J03-9368-2 (J03TBN2),7/8/2022,Direct Connection,Direct Connection
J03-9368-2 (J03TBN2),8/4/2022,Direct Connection,Direct Connection
J04-9249-1,7/8/2022,Direct Connection,Direct Connection
J05-9255-1 (J05P01),8/2/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9255-1 (J05P01),9/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9271-6,8/2/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9271-6,9/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9800-2,7/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J05-9800-2,9/21/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
J06-10011-1 (J06P01),6/23/2022,Direct Connection,Direct Connection
J06-10011-1 (J06P01),7/13/2022,Direct Connection,Direct Connection
J06-10011-1 (J06P01),8/22/2022,Direct Connection,Direct Connection
J06-9079-1 (J06P03),6/23/2022,Direct Connection,Direct Connection
J06-9079-1 (J06P03),7/13/2022,Direct Connection,Direct Connection
J06-9079-1 (J06P03),8/22/2022,Direct Connection,Direct Connection
J07-9022-1,6/21/2022,Direct Connection,Direct Connection
J07-9022-1,8/9/2022,Partial - Significant Distance,Direct Connection
J07-9022-6,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9022-6,8/9/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9109-1,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9109-1,8/9/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
J07-9109-2,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9109-2,8/9/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
J07-9109-4 (J07P02),6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9109-4 (J07P02),6/30/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9109-4 (J07P02),8/9/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9110-1,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9110-2,6/21/2022,Direct Connection,Direct Connection
J07-9110-2,6/30/2022,Direct Connection,Direct Connection
J07-9110-2,8/9/2022,Direct Connection,Direct Connection
J07-9110-3,6/21/2022,Partial - Significant Distance,Partial - Significant Distance
J07-9110-3,6/30/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
J07-9110-3,8/9/2022,Direct Connection,Partial - Significant Distance
K01-12032-2 (K01P11),7/6/2022,Partial - Significant Distance,Partial - Significant Distance
K01-12032-2 (K01P11),8/31/2022,Partial - Significant Distance,Partial - Significant Distance
K01-12036-1,7/6/2022,Undetermined,Undetermined
K01-12036-1,8/31/2022,Undetermined,Undetermined
K01-12036-10,7/6/2022,None - Flow Infiltrates or Outfall is Dry,Undetermined
K01-12036-10,8/31/2022,Undetermined,Undetermined
K01-12036-5,7/6/2022,Undetermined,Undetermined
K01-12036-5,8/31/2022,Undetermined,Undetermined
K01-12058-1 (K01P08),8/2/2022,Direct Connection,Direct Connection
K01-12058-2 (K01P09),8/2/2022,Direct Connection,Direct Connection
K01-12062-1,8/2/2022,Direct Connection,Direct Connection
K01-12126-1 (K01S01),6/22/2022,Direct Connection,Direct Connection
K01-12138-1 (K01TBN1),8/2/2022,Undetermined,Undetermined
K01-12155-1,7/6/2022,Undetermined,Undetermined
K01-12155-1,8/31/2022,None - Flow Infiltrates or Outfall is Dry,Undetermined
K01-12155-5,7/6/2022,Undetermined,Undetermined
K01-12155-5,8/31/2022,Undetermined,Undetermined
K01-12156-1,NA,NA,Undetermined
K01-12156-3,NA,NA,Undetermined
K01-12156-6,7/20/2022,Direct Connection,Direct Connection
K01-12156-6,8/18/2022,Direct Connection,Direct Connection
K01-12159-2,6/22/2022,Direct Connection,Direct Connection
K01-12159-3,6/22/2022,Direct Connection,Direct Connection
K01-12177-1 (K01P07),6/15/2022,Undetermined,Undetermined
K01-12177-1 (K01P07),8/18/2022,Undetermined,Undetermined
L01-125-1,7/28/2022,Undetermined,Undetermined
L01-125-1,9/20/2022,Undetermined,Undetermined
L01-125-2,7/28/2022,Undetermined,Undetermined
L01-125-2,9/20/2022,Undetermined,Undetermined
L01-125-3,7/28/2022,Undetermined,Undetermined
L01-125-3,9/20/2022,Undetermined,Undetermined
L01-218-1,NA,NA,Undetermined
L01-218-2,NA,NA,Undetermined
L01-218-3,7/26/2022,Undetermined,Undetermined
L01-218-4,7/26/2022,Partial - Significant Distance,Partial - Significant Distance
L01-223-1 (L08TBN1),6/27/2022,Undetermined,Undetermined
L01-223-1 (L08TBN1),8/25/2022,Undetermined,Undetermined
L01-242-1 (L07P16),8/8/2022,Direct Connection,Direct Connection
L01-242-1 (L07P16),9/19/2022,Direct Connection,Direct Connection
L01-261-1,NA,NA,Undetermined
L01-303-1,NA,NA,Undetermined
L01-303-2,8/8/2022,Direct Connection,Direct Connection
L01-303-2,9/19/2022,Direct Connection,Direct Connection
L01-303-3,8/1/2022,Partial - Significant Distance,Partial - Significant Distance
L01-303-3,9/26/2022,Partial - Significant Distance,Partial - Significant Distance
L01-303-4,8/1/2022,Direct Connection,Direct Connection
L01-303-4,9/26/2022,Direct Connection,Direct Connection
L01-303-5,NA,NA,Undetermined
L01-335-1,6/17/2022,Direct Connection,Direct Connection
L01-335-1,9/27/2022,Direct Connection,Direct Connection
L01-335-2,6/17/2022,Direct Connection,Partial - Significant Distance
L01-335-2,9/27/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
L01-340-1,6/16/2022,Undetermined,Undetermined
L01-340-1,8/24/2022,Undetermined,Undetermined
L01-372-1,NA,NA,Undetermined
L01-391-1,8/1/2022,Direct Connection,Direct Connection
L01-391-1,9/19/2022,Direct Connection,Direct Connection
L01-391-3,8/1/2022,Direct Connection,Direct Connection
L01-391-3,9/19/2022,Direct Connection,Direct Connection
L01-399-1,NA,NA,Undetermined
L01-399-2,NA,NA,Undetermined
L01-404-1,6/16/2022,Undetermined,Undetermined
L01-404-1,8/24/2022,Undetermined,Undetermined
L01-404-2,6/16/2022,Undetermined,Undetermined
L01-404-2,8/24/2022,Undetermined,Undetermined
L01-414-1,9/19/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-414-1,7/21/2022,NA,None - Flow Infiltrates or Outfall is Dry
L01-414-2,8/1/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-414-2,9/19/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-414-3,6/16/2022,None - Flow Infiltrates or Outfall is Dry,Undetermined
L01-414-3,8/24/2022,Undetermined,Undetermined
L01-458-1,5/31/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-458-1,9/27/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-471-1,5/31/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-471-1,9/27/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-494-1,5/31/2022,Undetermined,None - Flow Infiltrates or Outfall is Dry
L01-494-1,9/27/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-514-1,6/17/2022,Undetermined,Undetermined
L01-514-1,9/23/2022,Undetermined,Undetermined
L01-517-1,NA,NA,Undetermined
L01-517-2,NA,NA,Undetermined
L01-517-3,5/31/2022,Undetermined,None - Flow Infiltrates or Outfall is Dry
L01-517-3,9/27/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-517-6,5/31/2022,Undetermined,Undetermined
L01-517-6,9/27/2022,Undetermined,Undetermined
L01-517-7,5/31/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-517-7,9/27/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-517-8,NA,NA,Undetermined
L01-556-1,7/28/2022,Undetermined,Undetermined
L01-556-1,8/10/2022,Undetermined,Undetermined
L01-601-1,6/28/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-601-1,9/14/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-602-2,8/10/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-613-1,NA,NA,Undetermined
L01-618-1,7/28/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-618-1,8/10/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-618-2,7/13/2022,Undetermined,Undetermined
L01-618-2,8/10/2022,Undetermined,Undetermined
L01-618-3,8/10/2022,Undetermined,Undetermined
L01-618-4,7/13/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-618-4,8/10/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-618-5 (L01S09),7/13/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
L01-618-5 (L01S09),8/10/2022,Direct Connection,Partial - Significant Distance
L01-724-1 (L01S01),6/22/2022,Partial - Significant Distance,Partial - Significant Distance
L01-724-2,NA,NA,Undetermined
L01-724-4 (L01P03),6/22/2022,Direct Connection,Direct Connection
L01-724-4 (L01P03),9/6/2022,Direct Connection,Direct Connection
L01-726-2,7/13/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-726-2,8/29/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-726-3,7/13/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-726-3,8/29/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-726-5,6/22/2022,Direct Connection,Direct Connection
L01-726-5,8/29/2022,Direct Connection,Direct Connection
L01-726-6,7/13/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-726-6,8/29/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-726-7,7/13/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-726-7,8/29/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-726-8,6/28/2022,Partial - Significant Distance,Partial - Significant Distance
L01-726-8,9/14/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
L01-726-9,6/28/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-726-9,9/14/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-727-1 (L01S04),7/12/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-727-1 (L01S04),8/29/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-727-2,7/12/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-727-2,8/29/2022,None - Flow Infiltrates or Outfall is Dry,None - Flow Infiltrates or Outfall is Dry
L01-727-3,7/12/2022,Direct Connection,Partial - Significant Distance
L01-727-3,9/14/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
L01-728-2,7/12/2022,Direct Connection,Partial - Significant Distance
L01-728-2,8/29/2022,None - Flow Infiltrates or Outfall is Dry,Partial - Significant Distance
